# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11n for E = 1000.0 keV, L* = 4.0, MLT = 16.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.7709e-20,1.0000e-31,3.0985e-12
1.4940,3.9727e-18,1.0000e-31,3.6597e-12
2.4890,4.5915e-17,1.0000e-31,4.7752e-12
3.4830,2.7067e-16,1.0000e-31,6.4698e-12
4.4780,1.1158e-15,1.0000e-31,8.7786e-12
5.4720,3.6611e-15,1.0000e-31,1.1748e-11
6.4670,1.0250e-14,1.0000e-31,1.5441e-11
7.4610,2.5554e-14,1.0000e-31,1.9947e-11
8.4560,5.8332e-14,1.0000e-31,2.5398e-11
9.4500,1.2428e-13,1.0000e-31,3.2001e-11
10.4440,2.5055e-13,1.0000e-31,4.0090e-11
11.4390,4.8279e-13,1.0000e-31,5.0255e-11
12.4330,8.9593e-13,1.0000e-31,6.3505e-11
13.4280,1.6105e-12,1.0000e-31,8.1406e-11
14.4220,2.8172e-12,1.0000e-31,1.0592e-10
15.4170,4.8129e-12,1.0000e-31,1.3853e-10
16.4110,8.0533e-12,1.0000e-31,1.7844e-10
17.4060,1.3237e-11,1.0000e-31,2.2233e-10
18.4000,2.1450e-11,1.0000e-31,2.6893e-10
19.3940,3.4310e-11,1.0000e-31,3.1825e-10
20.3890,5.4218e-11,1.0000e-31,3.7328e-10
21.3830,8.4703e-11,1.0000e-31,4.4047e-10
22.3780,1.3089e-10,1.0000e-31,5.1404e-10
23.3720,2.0010e-10,1.0000e-31,5.8164e-10
24.3670,3.0264e-10,1.0000e-31,6.5429e-10
25.3610,4.5254e-10,1.0000e-31,7.4650e-10
26.3560,6.6831e-10,1.0000e-31,8.3272e-10
27.3500,9.7372e-10,1.0000e-31,8.9067e-10
28.3440,1.3996e-09,1.0000e-31,9.4553e-10
29.3390,1.9860e-09,1.0000e-31,1.0143e-09
30.3330,2.7820e-09,1.0000e-31,1.0553e-09
31.3280,3.8457e-09,1.0000e-31,1.0980e-09
32.3220,5.2415e-09,1.0000e-31,1.1851e-09
33.3170,7.0330e-09,1.0000e-31,1.2592e-09
34.3110,9.2775e-09,1.0000e-31,1.2913e-09
35.3060,1.2028e-08,1.0000e-31,1.3438e-09
36.3000,1.5378e-08,1.0000e-31,1.3732e-09
37.2940,1.9556e-08,1.0000e-31,1.4098e-09
38.2890,2.4620e-08,1.0000e-31,1.4757e-09
39.2830,3.0066e-08,1.0000e-31,1.5374e-09
40.2780,3.5362e-08,1.0000e-31,1.5444e-09
41.2720,4.1929e-08,1.0000e-31,1.5521e-09
42.2670,4.9399e-08,1.0000e-31,1.5739e-09
43.2610,5.3720e-08,1.0000e-31,1.6206e-09
44.2560,5.7356e-08,1.0000e-31,1.6952e-09
45.2500,5.9886e-08,1.0000e-31,1.7639e-09
46.2440,6.2711e-08,1.0000e-31,1.8074e-09
47.2390,6.6044e-08,1.0000e-31,1.8551e-09
48.2330,6.9983e-08,1.0000e-31,1.9328e-09
49.2280,7.4538e-08,1.0000e-31,2.0441e-09
50.2220,7.9863e-08,1.0000e-31,2.2062e-09
51.2170,8.5894e-08,1.0000e-31,2.4251e-09
52.2110,9.5918e-08,1.0000e-31,2.7038e-09
53.2060,1.0392e-07,1.0000e-31,3.0554e-09
54.2000,1.1754e-07,1.0000e-31,3.5039e-09
55.1940,1.3459e-07,1.0000e-31,4.0434e-09
56.1890,1.5537e-07,1.0000e-31,4.7406e-09
57.1830,1.7763e-07,1.0000e-31,5.6079e-09
58.1780,2.0244e-07,1.0000e-31,6.4859e-09
59.1720,2.2975e-07,1.0000e-31,7.4527e-09
60.1670,2.5531e-07,1.0000e-31,8.4338e-09
61.1610,2.7869e-07,1.0000e-31,9.4266e-09
62.1560,3.0448e-07,1.0000e-31,1.0596e-08
63.1500,3.2771e-07,1.0000e-31,1.1790e-08
64.1440,3.4878e-07,1.0000e-31,1.3021e-08
65.1390,3.6047e-07,1.0000e-31,1.4639e-08
66.1330,3.6443e-07,1.0000e-31,1.7079e-08
67.1280,3.6519e-07,1.0000e-31,1.8254e-08
68.1220,3.5711e-07,1.0000e-31,1.9829e-08
69.1170,3.4903e-07,1.0000e-31,2.1732e-08
70.1110,3.3206e-07,1.0000e-31,2.4707e-08
71.1060,3.1815e-07,1.0000e-31,2.8184e-08
72.1000,2.9705e-07,1.0000e-31,3.0685e-08
73.0940,2.8282e-07,1.0000e-31,3.4122e-08
74.0890,2.7186e-07,1.0000e-31,3.8178e-08
75.0830,2.1733e-07,1.0000e-31,4.2801e-08
76.0780,1.8333e-07,1.0000e-31,4.7405e-08
77.0720,1.6516e-07,1.0000e-31,5.2852e-08
78.0670,1.6289e-07,1.0000e-31,6.1236e-08
79.0610,1.6669e-07,1.0000e-31,7.6469e-08
80.0560,1.7773e-07,1.0000e-31,7.8576e-08
81.0500,2.4380e-07,1.0000e-31,8.3547e-08
82.0440,2.2224e-07,1.0000e-31,7.6869e-08
83.0390,1.1725e-07,1.0000e-31,6.0152e-08
84.0330,9.7950e-08,1.0000e-31,3.6439e-08
85.0280,1.5840e-07,1.0000e-31,2.5054e-08
86.0220,2.3731e-07,1.0000e-31,2.2987e-08
87.0170,4.5233e-07,1.0000e-31,3.1072e-08
88.0110,9.6526e-08,1.0000e-31,1.0230e-07
89.0060,3.4337e-08,1.0000e-31,3.4150e-07
