# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11nn for E = 50.0 keV, L* = 4.0, MLT = 22.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.5428e-05,1.0865e-05,3.6188e-05
1.4940,1.5548e-05,1.0955e-05,3.6501e-05
2.4890,1.5672e-05,1.1053e-05,3.6859e-05
3.4830,1.5800e-05,1.1161e-05,3.7263e-05
4.4780,1.5934e-05,1.1277e-05,3.7714e-05
5.4720,1.6071e-05,1.1403e-05,3.8213e-05
6.4670,1.6214e-05,1.1538e-05,3.8763e-05
7.4610,1.6361e-05,1.1685e-05,3.9365e-05
8.4560,1.6513e-05,1.1840e-05,4.0021e-05
9.4500,1.6670e-05,1.2007e-05,4.0732e-05
10.4440,1.6832e-05,1.2185e-05,4.1500e-05
11.4390,1.6998e-05,1.2373e-05,4.2326e-05
12.4330,1.7169e-05,1.2575e-05,4.3211e-05
13.4280,1.7345e-05,1.2787e-05,4.4154e-05
14.4220,1.7526e-05,1.3014e-05,4.5154e-05
15.4170,1.7711e-05,1.3252e-05,4.6210e-05
16.4110,1.7901e-05,1.3508e-05,4.7319e-05
17.4060,1.8095e-05,1.3776e-05,4.8481e-05
18.4000,1.8293e-05,1.4065e-05,4.9694e-05
19.3940,1.8496e-05,1.4371e-05,5.0955e-05
20.3890,1.8702e-05,1.4696e-05,5.2255e-05
21.3830,1.8913e-05,1.5047e-05,5.3587e-05
22.3780,1.9127e-05,1.5419e-05,5.4942e-05
23.3720,1.9344e-05,1.5823e-05,5.6309e-05
24.3670,1.9565e-05,1.6252e-05,5.7687e-05
25.3610,1.9787e-05,1.6717e-05,5.9079e-05
26.3560,2.0013e-05,1.7212e-05,6.0475e-05
27.3500,2.0239e-05,1.7750e-05,6.1885e-05
28.3440,2.0467e-05,1.8327e-05,6.3310e-05
29.3390,2.0696e-05,1.8942e-05,6.4726e-05
30.3330,2.0924e-05,1.9608e-05,6.6112e-05
31.3280,2.1151e-05,2.0315e-05,6.7452e-05
32.3220,2.1377e-05,2.1077e-05,6.8743e-05
33.3170,2.1600e-05,2.1878e-05,7.0008e-05
34.3110,2.1818e-05,2.2737e-05,7.1314e-05
35.3060,2.2029e-05,2.3646e-05,7.2709e-05
36.3000,2.2234e-05,2.4630e-05,7.4209e-05
37.2940,2.2430e-05,2.5695e-05,7.5832e-05
38.2890,2.2617e-05,2.6849e-05,7.7603e-05
39.2830,2.2793e-05,2.8142e-05,7.9546e-05
40.2780,2.2956e-05,2.9572e-05,8.1624e-05
41.2720,2.3105e-05,3.1186e-05,8.3652e-05
42.2670,2.3236e-05,3.2960e-05,8.5603e-05
43.2610,2.3343e-05,3.4927e-05,8.7635e-05
44.2560,2.3440e-05,3.7059e-05,8.9912e-05
45.2500,2.3526e-05,3.9389e-05,9.2621e-05
46.2440,2.3597e-05,4.1892e-05,9.5827e-05
47.2390,2.3649e-05,4.4516e-05,9.9604e-05
48.2330,2.3679e-05,4.7344e-05,1.0408e-04
49.2280,2.3685e-05,5.0377e-05,1.0939e-04
50.2220,2.3667e-05,5.3723e-05,1.1568e-04
51.2170,2.3621e-05,5.7398e-05,1.2307e-04
52.2110,2.3544e-05,6.1461e-05,1.3156e-04
53.2060,2.3434e-05,6.5627e-05,1.4114e-04
54.2000,2.3292e-05,6.9868e-05,1.5141e-04
55.1940,2.3118e-05,7.4007e-05,1.6142e-04
56.1890,2.2911e-05,7.7959e-05,1.6965e-04
57.1830,2.2670e-05,8.1787e-05,1.7529e-04
58.1780,2.2391e-05,8.5367e-05,1.7730e-04
59.1720,2.2101e-05,8.8484e-05,1.7590e-04
60.1670,2.1793e-05,9.0730e-05,1.7300e-04
61.1610,2.1444e-05,9.1908e-05,1.6719e-04
62.1560,2.1046e-05,9.1693e-05,1.5675e-04
63.1500,2.0584e-05,9.0043e-05,1.4291e-04
64.1440,2.0007e-05,8.7592e-05,1.2617e-04
65.1390,1.9278e-05,8.4379e-05,1.0727e-04
66.1330,1.8538e-05,8.0153e-05,8.9675e-05
67.1280,1.7881e-05,7.6227e-05,7.8840e-05
68.1220,1.6751e-05,7.3571e-05,7.2115e-05
69.1170,1.5818e-05,7.1891e-05,7.0438e-05
70.1110,1.3992e-05,7.0639e-05,7.2880e-05
71.1060,1.2846e-05,7.2223e-05,7.4643e-05
72.1000,1.2669e-05,7.3096e-05,7.5935e-05
73.0940,1.4156e-05,6.9631e-05,7.5770e-05
74.0890,1.1290e-05,7.4476e-05,7.2833e-05
75.0830,8.8563e-06,6.6476e-05,6.7870e-05
76.0780,6.6257e-06,6.4167e-05,7.0713e-05
77.0720,4.2539e-06,6.1378e-05,7.0740e-05
78.0670,2.7931e-06,5.7461e-05,5.7512e-05
79.0610,2.1527e-06,5.1803e-05,4.7972e-05
80.0560,1.5239e-06,4.4132e-05,4.6948e-05
81.0500,8.4090e-07,3.4901e-05,2.9222e-05
82.0440,3.6903e-07,2.5768e-05,3.1145e-06
83.0390,1.2077e-07,1.8092e-05,4.3490e-07
84.0330,2.1309e-08,1.1921e-05,1.0000e-31
85.0280,3.5027e-10,7.6960e-06,1.0000e-31
86.0220,8.8807e-16,3.7279e-06,1.0000e-31
87.0170,1.4738e-16,1.2181e-06,1.0000e-31
88.0110,1.0000e-31,5.0805e-07,1.0000e-31
89.0060,1.0000e-31,2.3971e-07,1.0000e-31
