# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11o for E = 1000.0 keV, L* = 4.0, MLT = 19.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.1131e-14,1.0000e-31,5.5375e-25
1.4940,1.9289e-13,1.0000e-31,8.7591e-23
2.4890,5.5423e-13,1.0000e-31,9.3284e-22
3.4830,1.1395e-12,1.0000e-31,4.4582e-21
4.4780,2.0008e-12,1.0000e-31,1.4414e-20
5.4720,3.2113e-12,1.0000e-31,3.6959e-20
6.4670,4.8686e-12,1.0000e-31,8.1297e-20
7.4610,7.1001e-12,1.0000e-31,1.6039e-19
8.4560,1.0069e-11,1.0000e-31,2.9182e-19
9.4500,1.3981e-11,1.0000e-31,4.9876e-19
10.4440,1.9095e-11,1.0000e-31,8.1119e-19
11.4390,2.5731e-11,1.0000e-31,1.2674e-18
12.4330,3.4282e-11,1.0000e-31,1.9157e-18
13.4280,4.5227e-11,1.0000e-31,2.8172e-18
14.4220,5.9150e-11,1.0000e-31,4.0483e-18
15.4170,7.6747e-11,1.0000e-31,5.7043e-18
16.4110,9.8839e-11,1.0000e-31,7.9035e-18
17.4060,1.2638e-10,1.0000e-31,1.0791e-17
18.4000,1.6048e-10,1.0000e-31,1.4548e-17
19.3940,2.0235e-10,1.0000e-31,1.9395e-17
20.3890,2.5333e-10,1.0000e-31,2.5613e-17
21.3830,3.1476e-10,1.0000e-31,3.3703e-17
22.3780,3.8807e-10,1.0000e-31,4.7294e-17
23.3720,4.7458e-10,1.0000e-31,7.2950e-17
24.3670,5.7513e-10,1.0000e-31,1.1576e-16
25.3610,6.9004e-10,1.0000e-31,1.7759e-16
26.3560,8.2044e-10,1.0000e-31,2.6469e-16
27.3500,9.7129e-10,1.0000e-31,3.9976e-16
28.3440,1.1513e-09,1.0000e-31,6.3218e-16
29.3390,1.3735e-09,1.0000e-31,1.0618e-15
30.3330,1.7020e-09,1.0000e-31,1.8703e-15
31.3280,2.1633e-09,1.0000e-31,3.3534e-15
32.3220,2.7490e-09,1.0000e-31,6.0556e-15
33.3170,3.3408e-09,1.0000e-31,1.0837e-14
34.3110,3.8639e-09,1.0000e-31,1.8661e-14
35.3060,4.4122e-09,1.0000e-31,3.1866e-14
36.3000,5.0706e-09,1.0000e-31,6.0268e-14
37.2940,5.8431e-09,1.0000e-31,1.3065e-13
38.2890,6.6539e-09,1.0000e-31,2.8703e-13
39.2830,7.3473e-09,1.0000e-31,5.9580e-13
40.2780,8.0941e-09,1.0000e-31,1.1472e-12
41.2720,9.1643e-09,1.0000e-31,2.0433e-12
42.2670,1.0911e-08,1.0000e-31,3.4364e-12
43.2610,1.2641e-08,1.0000e-31,5.5716e-12
44.2560,1.4220e-08,1.0000e-31,8.9351e-12
45.2500,1.6161e-08,1.0000e-31,1.4490e-11
46.2440,1.8489e-08,1.0000e-31,2.3044e-11
47.2390,2.1208e-08,1.0000e-31,3.4596e-11
48.2330,2.4294e-08,1.0000e-31,4.9786e-11
49.2280,2.7854e-08,1.0000e-31,6.9161e-11
50.2220,3.1480e-08,1.0000e-31,9.3133e-11
51.2170,3.5342e-08,1.0000e-31,1.3028e-10
52.2110,4.0221e-08,1.0000e-31,1.8406e-10
53.2060,4.6061e-08,1.0000e-31,2.4950e-10
54.2000,5.1897e-08,1.0000e-31,3.1509e-10
55.1940,5.8470e-08,1.0000e-31,3.7540e-10
56.1890,6.5768e-08,1.0000e-31,4.7499e-10
57.1830,7.4279e-08,1.0000e-31,6.7734e-10
58.1780,8.3501e-08,1.0000e-31,9.0114e-10
59.1720,9.2172e-08,1.0000e-31,1.0101e-09
60.1670,9.9871e-08,1.0000e-31,1.1168e-09
61.1610,1.0778e-07,1.0000e-31,1.2737e-09
62.1560,1.1935e-07,1.0000e-31,1.7752e-09
63.1500,1.2844e-07,1.0000e-31,2.2969e-09
64.1440,1.3401e-07,1.0000e-31,2.4462e-09
65.1390,1.4088e-07,1.0000e-31,2.5026e-09
66.1330,1.4256e-07,1.0000e-31,2.8139e-09
67.1280,1.4491e-07,1.0000e-31,3.8009e-09
68.1220,1.4835e-07,1.0000e-31,4.8437e-09
69.1170,1.4573e-07,1.0000e-31,4.8942e-09
70.1110,1.4455e-07,1.0000e-31,5.0251e-09
71.1060,1.4844e-07,1.0000e-31,5.7402e-09
72.1000,1.5246e-07,1.0000e-31,7.3556e-09
73.0940,1.4165e-07,1.0000e-31,9.3682e-09
74.0890,1.2294e-07,1.0000e-31,9.1950e-09
75.0830,1.3854e-07,1.0000e-31,8.9392e-09
76.0780,1.3748e-07,1.0000e-31,1.0575e-08
77.0720,1.3039e-07,1.0000e-31,1.5678e-08
78.0670,1.4532e-07,1.0000e-31,1.8885e-08
79.0610,1.6648e-07,1.0000e-31,1.6205e-08
80.0560,1.5872e-07,1.0000e-31,1.3458e-08
81.0500,1.5983e-07,1.0000e-31,1.8959e-08
82.0440,1.9736e-07,1.0000e-31,2.4279e-08
83.0390,1.3749e-07,1.0000e-31,5.6075e-08
84.0330,1.6647e-07,1.0000e-31,1.5926e-08
85.0280,4.9424e-07,1.0000e-31,1.6287e-08
86.0220,1.5467e-07,1.0000e-31,2.0145e-08
87.0170,1.2739e-07,1.0000e-31,3.2524e-08
88.0110,2.9521e-07,1.0000e-31,2.2669e-08
89.0060,1.8595e-07,1.0000e-31,2.2165e-08
