# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11p for E = 1000.0 keV, L* = 4.0, MLT = 22.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,8.9364e-14,1.8114e-07,4.2483e-09
1.4940,8.2375e-13,1.8265e-07,4.4103e-09
2.4890,2.4118e-12,1.8430e-07,4.6889e-09
3.4830,5.0917e-12,1.8613e-07,5.0633e-09
4.4780,9.2362e-12,1.8810e-07,5.5148e-09
5.4720,1.5379e-11,1.9025e-07,6.0310e-09
6.4670,2.4251e-11,1.9256e-07,6.6057e-09
7.4610,3.6827e-11,1.9507e-07,7.2380e-09
8.4560,5.4381e-11,1.9773e-07,7.9310e-09
9.4500,7.8561e-11,2.0060e-07,8.6909e-09
10.4440,1.1147e-10,2.0365e-07,9.5270e-09
11.4390,1.5578e-10,2.0683e-07,1.0452e-08
12.4330,2.1486e-10,2.1019e-07,1.1480e-08
13.4280,2.9296e-10,2.1357e-07,1.2633e-08
14.4220,3.9548e-10,2.1681e-07,1.3934e-08
15.4170,5.2911e-10,2.1976e-07,1.5411e-08
16.4110,7.0213e-10,2.2296e-07,1.7097e-08
17.4060,9.2480e-10,2.2640e-07,1.9029e-08
18.4000,1.2098e-09,2.3017e-07,2.1244e-08
19.3940,1.5729e-09,2.3430e-07,2.3790e-08
20.3890,2.0332e-09,2.3881e-07,2.6735e-08
21.3830,2.6148e-09,2.4388e-07,3.0091e-08
22.3780,3.3471e-09,2.4955e-07,3.3808e-08
23.3720,4.2665e-09,2.5594e-07,3.7720e-08
24.3670,5.4163e-09,2.6304e-07,4.1691e-08
25.3610,6.8486e-09,2.7097e-07,4.5835e-08
26.3560,8.6295e-09,2.7976e-07,5.0269e-08
27.3500,1.0829e-08,2.8938e-07,5.5123e-08
28.3440,1.3526e-08,2.9969e-07,6.0542e-08
29.3390,1.6804e-08,3.1079e-07,6.6706e-08
30.3330,2.0748e-08,3.2317e-07,7.3820e-08
31.3280,2.5462e-08,3.3636e-07,8.2127e-08
32.3220,3.1058e-08,3.5091e-07,9.1914e-08
33.3170,3.7661e-08,3.6743e-07,1.0351e-07
34.3110,4.5399e-08,3.8670e-07,1.1729e-07
35.3060,5.4411e-08,4.0869e-07,1.3368e-07
36.3000,6.4871e-08,4.3399e-07,1.5320e-07
37.2940,7.7111e-08,4.6167e-07,1.7698e-07
38.2890,9.1421e-08,4.9143e-07,2.0670e-07
39.2830,1.0805e-07,5.2399e-07,2.4388e-07
40.2780,1.2741e-07,5.5896e-07,2.9033e-07
41.2720,1.4986e-07,5.9734e-07,3.4821e-07
42.2670,1.7571e-07,6.3780e-07,4.1981e-07
43.2610,2.0588e-07,6.8022e-07,5.0734e-07
44.2560,2.4151e-07,7.2858e-07,6.1281e-07
45.2500,2.8375e-07,7.8424e-07,7.3622e-07
46.2440,3.3227e-07,8.4764e-07,8.7644e-07
47.2390,3.8634e-07,9.1897e-07,1.0307e-06
48.2330,4.4628e-07,1.0015e-06,1.1958e-06
49.2280,5.1299e-07,1.0936e-06,1.3697e-06
50.2220,5.9124e-07,1.1960e-06,1.5489e-06
51.2170,6.7973e-07,1.3101e-06,1.7295e-06
52.2110,7.7769e-07,1.4394e-06,1.9114e-06
53.2060,8.8520e-07,1.5828e-06,2.0857e-06
54.2000,9.9764e-07,1.7382e-06,2.2587e-06
55.1940,1.1244e-06,1.9094e-06,2.4564e-06
56.1890,1.2678e-06,2.0984e-06,2.7076e-06
57.1830,1.4252e-06,2.3160e-06,3.0627e-06
58.1780,1.5848e-06,2.5654e-06,3.4965e-06
59.1720,1.7306e-06,2.8286e-06,3.9732e-06
60.1670,1.8670e-06,3.1028e-06,4.4465e-06
61.1610,2.0085e-06,3.3641e-06,4.9432e-06
62.1560,2.2075e-06,3.6151e-06,5.4561e-06
63.1500,2.3852e-06,3.8717e-06,5.9104e-06
64.1440,2.5643e-06,4.1987e-06,6.8952e-06
65.1390,2.6991e-06,4.4109e-06,7.5517e-06
66.1330,2.7537e-06,4.5277e-06,8.0406e-06
67.1280,2.8159e-06,4.6377e-06,8.5437e-06
68.1220,2.8924e-06,4.7588e-06,9.2542e-06
69.1170,3.0101e-06,4.8423e-06,1.0067e-05
70.1110,3.2000e-06,5.0105e-06,9.9826e-06
71.1060,3.4028e-06,5.3105e-06,1.0910e-05
72.1000,3.5936e-06,5.7849e-06,1.2478e-05
73.0940,3.7770e-06,6.1268e-06,1.3289e-05
74.0890,3.5966e-06,6.1418e-06,1.4193e-05
75.0830,3.2767e-06,6.4255e-06,1.6119e-05
76.0780,2.8978e-06,5.9409e-06,1.5121e-05
77.0720,2.8245e-06,5.7145e-06,1.5096e-05
78.0670,3.1780e-06,5.6035e-06,1.4982e-05
79.0610,3.7734e-06,5.9313e-06,1.2063e-05
80.0560,4.1903e-06,6.7283e-06,6.8240e-06
81.0500,4.9871e-06,8.6180e-06,4.8867e-06
82.0440,7.8109e-06,1.1358e-05,4.3090e-06
83.0390,7.4493e-06,6.5607e-06,2.8615e-06
84.0330,5.4887e-06,3.9866e-06,1.0000e-31
85.0280,2.8913e-06,3.9625e-06,1.0000e-31
86.0220,2.5963e-06,5.2628e-06,1.0000e-31
87.0170,2.7768e-06,7.8080e-06,1.0000e-31
88.0110,3.2860e-06,8.5375e-06,1.0000e-31
89.0060,3.6323e-06,1.0200e-05,1.0000e-31
