# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11r for E = 500.0 keV, L* = 4.0, MLT = 4.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.2046e-08,2.8168e-06,1.0000e-31
1.4940,3.2516e-08,2.8397e-06,1.0000e-31
2.4890,3.3224e-08,2.8641e-06,1.0000e-31
3.4830,3.4179e-08,2.8907e-06,1.0000e-31
4.4780,3.5389e-08,2.9190e-06,1.0000e-31
5.4720,3.6870e-08,2.9497e-06,1.0000e-31
6.4670,3.8634e-08,2.9823e-06,1.0000e-31
7.4610,4.0700e-08,3.0175e-06,1.0000e-31
8.4560,4.3088e-08,3.0550e-06,1.0000e-31
9.4500,4.5823e-08,3.0956e-06,1.0000e-31
10.4440,4.8934e-08,3.1392e-06,1.0000e-31
11.4390,5.2456e-08,3.1856e-06,1.0000e-31
12.4330,5.6431e-08,3.2360e-06,1.0000e-31
13.4280,6.0908e-08,3.2899e-06,1.0000e-31
14.4220,6.5950e-08,3.3486e-06,1.0000e-31
15.4170,7.1638e-08,3.4114e-06,1.0000e-31
16.4110,7.8085e-08,3.4800e-06,1.0000e-31
17.4060,8.5443e-08,3.5538e-06,1.0000e-31
18.4000,9.3922e-08,3.6345e-06,1.0000e-31
19.3940,1.0382e-07,3.7223e-06,1.0000e-31
20.3890,1.1558e-07,3.8171e-06,1.0000e-31
21.3830,1.2916e-07,3.9214e-06,1.0000e-31
22.3780,1.4416e-07,4.0344e-06,1.0000e-31
23.3720,1.6077e-07,4.1592e-06,1.0000e-31
24.3670,1.7922e-07,4.2947e-06,1.0000e-31
25.3610,1.9977e-07,4.4448e-06,1.0000e-31
26.3560,2.2269e-07,4.6084e-06,1.0000e-31
27.3500,2.4825e-07,4.7904e-06,1.0000e-31
28.3440,2.7687e-07,4.9913e-06,1.0000e-31
29.3390,3.0892e-07,5.2114e-06,1.0000e-31
30.3330,3.4472e-07,5.4576e-06,1.0000e-31
31.3280,3.8453e-07,5.7288e-06,1.0000e-31
32.3220,4.2862e-07,6.0340e-06,1.0000e-31
33.3170,4.7703e-07,6.3728e-06,1.0000e-31
34.3110,5.3020e-07,6.7559e-06,1.0000e-31
35.3060,5.8729e-07,7.1828e-06,1.0000e-31
36.3000,6.4752e-07,7.6678e-06,1.0000e-31
37.2940,7.1059e-07,8.2162e-06,1.0000e-31
38.2890,7.7680e-07,8.8334e-06,1.0000e-31
39.2830,8.4781e-07,9.5381e-06,1.0000e-31
40.2780,9.2696e-07,1.0318e-05,1.0000e-31
41.2720,1.0183e-06,1.1193e-05,1.0000e-31
42.2670,1.1277e-06,1.2154e-05,1.0000e-31
43.2610,1.2511e-06,1.3231e-05,1.0000e-31
44.2560,1.3910e-06,1.4421e-05,1.0000e-31
45.2500,1.5452e-06,1.5769e-05,1.0000e-31
46.2440,1.7174e-06,1.7286e-05,1.0000e-31
47.2390,1.9125e-06,1.8976e-05,1.0000e-31
48.2330,2.1332e-06,2.0886e-05,1.0000e-31
49.2280,2.3839e-06,2.2953e-05,1.0000e-31
50.2220,2.6711e-06,2.5169e-05,1.0000e-31
51.2170,3.0058e-06,2.7723e-05,1.0000e-31
52.2110,3.4029e-06,3.0221e-05,1.0000e-31
53.2060,3.8813e-06,3.2385e-05,1.0000e-31
54.2000,4.4407e-06,3.4325e-05,1.0000e-31
55.1940,5.0531e-06,3.6330e-05,1.0000e-31
56.1890,5.6992e-06,3.8386e-05,1.0000e-31
57.1830,6.3533e-06,4.0479e-05,1.0000e-31
58.1780,7.0553e-06,4.2581e-05,1.0000e-31
59.1720,7.8487e-06,4.4735e-05,1.0000e-31
60.1670,8.7187e-06,4.6877e-05,1.0000e-31
61.1610,9.6466e-06,4.8953e-05,1.0000e-31
62.1560,1.0669e-05,5.1180e-05,1.0000e-31
63.1500,1.2104e-05,5.3344e-05,1.0000e-31
64.1440,1.3360e-05,5.5514e-05,1.0000e-31
65.1390,1.4345e-05,5.6369e-05,1.0000e-31
66.1330,1.4911e-05,5.6817e-05,1.0000e-31
67.1280,1.5477e-05,5.7070e-05,1.0000e-31
68.1220,1.6378e-05,5.7191e-05,1.0000e-31
69.1170,1.7255e-05,5.7207e-05,1.0000e-31
70.1110,1.7927e-05,5.6992e-05,1.0000e-31
71.1060,1.8868e-05,5.6358e-05,1.0000e-31
72.1000,2.0421e-05,5.5435e-05,1.0000e-31
73.0940,2.0708e-05,4.6667e-05,1.0000e-31
74.0890,2.2221e-05,4.0913e-05,1.0000e-31
75.0830,2.2341e-05,3.4084e-05,1.0000e-31
76.0780,2.3875e-05,3.1134e-05,1.0000e-31
77.0720,2.5666e-05,3.3412e-05,1.0000e-31
78.0670,2.8865e-05,4.5634e-05,1.0000e-31
79.0610,4.1205e-05,3.2473e-05,1.0000e-31
80.0560,3.8460e-05,3.4383e-05,1.0000e-31
81.0500,2.6534e-05,3.5597e-05,1.0000e-31
82.0440,2.1306e-05,2.3023e-05,1.0000e-31
83.0390,2.1082e-05,2.2102e-05,1.0000e-31
84.0330,1.9431e-05,2.4373e-05,1.0000e-31
85.0280,1.7862e-05,2.7149e-05,1.0000e-31
86.0220,1.6791e-05,2.8546e-05,1.0000e-31
87.0170,2.1737e-05,3.3477e-05,1.0000e-31
88.0110,4.1915e-05,4.5607e-05,1.0000e-31
89.0060,3.3736e-05,5.6421e-05,1.0000e-31
