# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11s for E = 500.0 keV, L* = 4.0, MLT = 7.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.4859e-07,1.3003e-06,2.6945e-06
1.4940,2.5249e-07,1.3111e-06,2.7247e-06
2.4890,2.5849e-07,1.3227e-06,2.7653e-06
3.4830,2.6664e-07,1.3354e-06,2.8167e-06
4.4780,2.7702e-07,1.3491e-06,2.8794e-06
5.4720,2.8972e-07,1.3640e-06,2.9539e-06
6.4670,3.0481e-07,1.3798e-06,3.0408e-06
7.4610,3.2243e-07,1.3970e-06,3.1410e-06
8.4560,3.4270e-07,1.4151e-06,3.2552e-06
9.4500,3.6576e-07,1.4346e-06,3.3845e-06
10.4440,3.9181e-07,1.4553e-06,3.5297e-06
11.4390,4.2102e-07,1.4771e-06,3.6924e-06
12.4330,4.5361e-07,1.5005e-06,3.8734e-06
13.4280,4.8981e-07,1.5251e-06,4.0746e-06
14.4220,5.2984e-07,1.5514e-06,4.2973e-06
15.4170,5.7392e-07,1.5789e-06,4.5431e-06
16.4110,6.2220e-07,1.6083e-06,4.8139e-06
17.4060,6.7477e-07,1.6390e-06,5.1116e-06
18.4000,7.3154e-07,1.6717e-06,5.4384e-06
19.3940,7.9223e-07,1.7062e-06,5.7966e-06
20.3890,8.5672e-07,1.7422e-06,6.1881e-06
21.3830,9.2453e-07,1.7804e-06,6.6158e-06
22.3780,9.9468e-07,1.8202e-06,7.0819e-06
23.3720,1.0658e-06,1.8622e-06,7.5891e-06
24.3670,1.1362e-06,1.9056e-06,8.1402e-06
25.3610,1.2040e-06,1.9512e-06,8.7379e-06
26.3560,1.2674e-06,1.9982e-06,9.3848e-06
27.3500,1.3257e-06,2.0478e-06,1.0083e-05
28.3440,1.3775e-06,2.1002e-06,1.0835e-05
29.3390,1.4221e-06,2.1556e-06,1.1645e-05
30.3330,1.4650e-06,2.2149e-06,1.2512e-05
31.3280,1.5098e-06,2.2777e-06,1.3435e-05
32.3220,1.5617e-06,2.3468e-06,1.4411e-05
33.3170,1.6280e-06,2.4214e-06,1.5437e-05
34.3110,1.6956e-06,2.5019e-06,1.6513e-05
35.3060,1.7685e-06,2.5866e-06,1.7633e-05
36.3000,1.8346e-06,2.6772e-06,1.8791e-05
37.2940,1.8836e-06,2.7739e-06,1.9980e-05
38.2890,1.9281e-06,2.8772e-06,2.1198e-05
39.2830,1.9643e-06,2.9899e-06,2.2447e-05
40.2780,1.9935e-06,3.1092e-06,2.3729e-05
41.2720,2.0380e-06,3.2373e-06,2.5049e-05
42.2670,2.1239e-06,3.3729e-06,2.6420e-05
43.2610,2.3152e-06,3.5198e-06,2.7897e-05
44.2560,2.5932e-06,3.6683e-06,2.9394e-05
45.2500,3.0199e-06,3.8202e-06,3.0970e-05
46.2440,3.4856e-06,3.9770e-06,3.2651e-05
47.2390,3.9591e-06,4.1434e-06,3.4465e-05
48.2330,4.4101e-06,4.3269e-06,3.6543e-05
49.2280,4.8288e-06,4.5329e-06,3.8740e-05
50.2220,5.2011e-06,4.7746e-06,4.1084e-05
51.2170,5.5362e-06,5.0540e-06,4.3575e-05
52.2110,5.8285e-06,5.4066e-06,4.6196e-05
53.2060,6.1962e-06,5.7474e-06,4.8998e-05
54.2000,6.2949e-06,5.9639e-06,5.2075e-05
55.1940,6.3484e-06,6.1651e-06,5.5487e-05
56.1890,6.4207e-06,6.3633e-06,5.9418e-05
57.1830,6.5732e-06,6.5614e-06,6.3951e-05
58.1780,6.7496e-06,6.7711e-06,6.9198e-05
59.1720,6.7728e-06,7.0018e-06,7.5498e-05
60.1670,6.5864e-06,7.2524e-06,8.2320e-05
61.1610,6.4582e-06,7.5191e-06,8.9732e-05
62.1560,6.3446e-06,7.7970e-06,9.7769e-05
63.1500,6.2575e-06,8.1053e-06,1.0583e-04
64.1440,6.2927e-06,8.3042e-06,1.1356e-04
65.1390,6.3415e-06,8.6091e-06,1.2142e-04
66.1330,6.4801e-06,8.9412e-06,1.2921e-04
67.1280,6.4903e-06,9.2742e-06,1.3730e-04
68.1220,6.2571e-06,9.6105e-06,1.4683e-04
69.1170,5.9734e-06,9.8973e-06,1.5842e-04
70.1110,6.1011e-06,1.0070e-05,1.7307e-04
71.1060,6.3136e-06,1.0099e-05,1.8995e-04
72.1000,6.3379e-06,9.9779e-06,2.0707e-04
73.0940,6.1721e-06,9.7010e-06,2.2525e-04
74.0890,5.9361e-06,9.3756e-06,2.4413e-04
75.0830,5.2237e-06,9.6223e-06,2.5982e-04
76.0780,4.2779e-06,9.7829e-06,2.6990e-04
77.0720,4.0954e-06,1.0473e-05,2.8213e-04
78.0670,4.1482e-06,1.1645e-05,2.9211e-04
79.0610,4.5145e-06,1.3674e-05,2.9429e-04
80.0560,5.0964e-06,1.7758e-05,2.9595e-04
81.0500,6.8468e-06,2.2536e-05,2.9321e-04
82.0440,7.6530e-06,1.8148e-05,3.0371e-04
83.0390,3.8383e-06,1.3085e-05,3.6685e-04
84.0330,3.4741e-06,1.2455e-05,4.2494e-04
85.0280,3.5402e-06,1.3512e-05,4.6494e-04
86.0220,3.3122e-06,1.4569e-05,1.6535e-04
87.0170,3.2585e-06,1.3487e-05,9.6442e-06
88.0110,6.2421e-06,1.2403e-05,2.4842e-06
89.0060,6.7153e-06,1.5597e-05,4.7821e-06
