# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11t for E = 500.0 keV, L* = 4.0, MLT = 10.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,8.5576e-07,1.3556e-05,3.8124e-06
1.4940,8.7002e-07,1.3650e-05,3.8443e-06
2.4890,8.9234e-07,1.3735e-05,3.8798e-06
3.4830,9.2295e-07,1.3812e-05,3.9189e-06
4.4780,9.6212e-07,1.3881e-05,3.9618e-06
5.4720,1.0102e-06,1.3941e-05,4.0086e-06
6.4670,1.0674e-06,1.3991e-05,4.0592e-06
7.4610,1.1343e-06,1.4031e-05,4.1139e-06
8.4560,1.2113e-06,1.4059e-05,4.1730e-06
9.4500,1.2990e-06,1.4077e-05,4.2366e-06
10.4440,1.3978e-06,1.4082e-05,4.3047e-06
11.4390,1.5084e-06,1.4074e-05,4.3779e-06
12.4330,1.6314e-06,1.4052e-05,4.4556e-06
13.4280,1.7674e-06,1.4016e-05,4.5382e-06
14.4220,1.9170e-06,1.3964e-05,4.6255e-06
15.4170,2.0806e-06,1.3897e-05,4.7178e-06
16.4110,2.2583e-06,1.3813e-05,4.8150e-06
17.4060,2.4499e-06,1.3712e-05,4.9172e-06
18.4000,2.6554e-06,1.3593e-05,5.0245e-06
19.3940,2.8735e-06,1.3454e-05,5.1369e-06
20.3890,3.1020e-06,1.3297e-05,5.2544e-06
21.3830,3.3375e-06,1.3117e-05,5.3768e-06
22.3780,3.5751e-06,1.2916e-05,5.5048e-06
23.3720,3.8085e-06,1.2689e-05,5.6382e-06
24.3670,4.0301e-06,1.2443e-05,5.7772e-06
25.3610,4.2327e-06,1.2177e-05,5.9218e-06
26.3560,4.4118e-06,1.1897e-05,6.0723e-06
27.3500,4.5705e-06,1.1601e-05,6.2319e-06
28.3440,4.7283e-06,1.1293e-05,6.3984e-06
29.3390,4.9066e-06,1.0982e-05,6.5701e-06
30.3330,5.0782e-06,1.0675e-05,6.7470e-06
31.3280,5.2517e-06,1.0387e-05,6.9296e-06
32.3220,5.4380e-06,1.0127e-05,7.1199e-06
33.3170,5.6481e-06,9.9153e-06,7.3200e-06
34.3110,5.8436e-06,9.7340e-06,7.5322e-06
35.3060,6.0195e-06,9.5762e-06,7.7533e-06
36.3000,6.1159e-06,9.4437e-06,7.9802e-06
37.2940,6.1631e-06,9.3473e-06,8.2118e-06
38.2890,6.1578e-06,9.2983e-06,8.4471e-06
39.2830,6.0788e-06,9.2880e-06,8.6767e-06
40.2780,5.9198e-06,9.2900e-06,8.9051e-06
41.2720,5.7262e-06,9.2944e-06,9.1494e-06
42.2670,5.5766e-06,9.2578e-06,9.4332e-06
43.2610,5.5534e-06,9.1885e-06,9.7453e-06
44.2560,5.5372e-06,9.1513e-06,1.0053e-05
45.2500,5.5451e-06,9.0984e-06,1.0373e-05
46.2440,5.5638e-06,9.0252e-06,1.0705e-05
47.2390,5.5585e-06,8.9275e-06,1.1039e-05
48.2330,5.3694e-06,8.7968e-06,1.1403e-05
49.2280,5.1312e-06,8.6268e-06,1.1806e-05
50.2220,4.9013e-06,8.4206e-06,1.2243e-05
51.2170,4.6962e-06,8.2339e-06,1.2731e-05
52.2110,4.5282e-06,8.0997e-06,1.3163e-05
53.2060,4.3174e-06,7.9228e-06,1.3401e-05
54.2000,4.3395e-06,7.9388e-06,1.3584e-05
55.1940,4.3675e-06,7.9517e-06,1.3753e-05
56.1890,4.3874e-06,7.9333e-06,1.3936e-05
57.1830,4.4161e-06,7.8742e-06,1.4127e-05
58.1780,4.4498e-06,7.7731e-06,1.4337e-05
59.1720,4.4402e-06,7.6356e-06,1.4528e-05
60.1670,4.3891e-06,7.4688e-06,1.4711e-05
61.1610,4.3161e-06,7.2771e-06,1.4940e-05
62.1560,4.2345e-06,7.0849e-06,1.5210e-05
63.1500,4.1338e-06,6.7055e-06,1.5420e-05
64.1440,3.8633e-06,6.3150e-06,1.5498e-05
65.1390,3.7832e-06,6.1212e-06,1.5759e-05
66.1330,3.7418e-06,6.0106e-06,1.6129e-05
67.1280,3.6714e-06,5.8702e-06,1.6510e-05
68.1220,3.6056e-06,5.6886e-06,1.6862e-05
69.1170,3.5089e-06,5.4819e-06,1.7089e-05
70.1110,3.4391e-06,5.2848e-06,1.7080e-05
71.1060,3.4038e-06,5.1414e-06,1.7254e-05
72.1000,3.4255e-06,4.9935e-06,1.7447e-05
73.0940,3.4191e-06,4.8429e-06,1.7478e-05
74.0890,3.2961e-06,4.4333e-06,1.7457e-05
75.0830,2.5822e-06,4.2976e-06,1.7345e-05
76.0780,1.9425e-06,4.2871e-06,1.7228e-05
77.0720,1.7707e-06,4.3576e-06,1.7358e-05
78.0670,1.8069e-06,4.6062e-06,1.7561e-05
79.0610,1.9371e-06,5.3031e-06,1.9251e-05
80.0560,2.2049e-06,6.0236e-06,1.8126e-05
81.0500,2.8683e-06,6.1339e-06,1.9999e-05
82.0440,4.2658e-06,8.0452e-06,1.9475e-05
83.0390,2.6079e-06,9.1450e-06,2.1595e-05
84.0330,1.9215e-06,8.5059e-06,1.7782e-05
85.0280,1.0190e-06,7.8736e-06,1.4818e-05
86.0220,8.9159e-07,5.9039e-06,1.1360e-05
87.0170,8.2575e-07,3.6701e-06,8.1989e-06
88.0110,1.0850e-06,3.3564e-06,5.4231e-06
89.0060,1.1028e-06,3.9768e-06,5.7216e-06
