# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11v for E = 500.0 keV, L* = 4.0, MLT = 16.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.1437e-15,1.0000e-31,1.3638e-09
1.4940,2.6624e-14,1.0000e-31,1.3813e-09
2.4890,1.4674e-13,1.0000e-31,1.4065e-09
3.4830,4.7747e-13,1.0000e-31,1.4395e-09
4.4780,1.1877e-12,1.0000e-31,1.4809e-09
5.4720,2.5180e-12,1.0000e-31,1.5310e-09
6.4670,4.8076e-12,1.0000e-31,1.5902e-09
7.4610,8.5326e-12,1.0000e-31,1.6586e-09
8.4560,1.4356e-11,1.0000e-31,1.7360e-09
9.4500,2.3197e-11,1.0000e-31,1.8214e-09
10.4440,3.6314e-11,1.0000e-31,1.9139e-09
11.4390,5.5426e-11,1.0000e-31,2.0120e-09
12.4330,8.2856e-11,1.0000e-31,2.1135e-09
13.4280,1.2172e-10,1.0000e-31,2.2151e-09
14.4220,1.7619e-10,1.0000e-31,2.3126e-09
15.4170,2.5175e-10,1.0000e-31,2.4019e-09
16.4110,3.5564e-10,1.0000e-31,2.4804e-09
17.4060,4.9730e-10,1.0000e-31,2.5508e-09
18.4000,6.8890e-10,1.0000e-31,2.6216e-09
19.3940,9.4608e-10,1.0000e-31,2.6993e-09
20.3890,1.2887e-09,1.0000e-31,2.7937e-09
21.3830,1.7425e-09,1.0000e-31,2.9191e-09
22.3780,2.3400e-09,1.0000e-31,3.0839e-09
23.3720,3.1220e-09,1.0000e-31,3.2794e-09
24.3670,4.1396e-09,1.0000e-31,3.4797e-09
25.3610,5.4570e-09,1.0000e-31,3.6608e-09
26.3560,7.1541e-09,1.0000e-31,3.7959e-09
27.3500,9.3283e-09,1.0000e-31,3.8909e-09
28.3440,1.2092e-08,1.0000e-31,3.9720e-09
29.3390,1.5553e-08,1.0000e-31,4.0443e-09
30.3330,1.9826e-08,1.0000e-31,4.1381e-09
31.3280,2.5046e-08,1.0000e-31,4.2944e-09
32.3220,3.1347e-08,1.0000e-31,4.4968e-09
33.3170,3.8844e-08,1.0000e-31,4.6571e-09
34.3110,4.7610e-08,1.0000e-31,4.7284e-09
35.3060,5.7698e-08,1.0000e-31,4.7827e-09
36.3000,6.9228e-08,1.0000e-31,4.8336e-09
37.2940,8.2189e-08,1.0000e-31,4.8900e-09
38.2890,9.6850e-08,1.0000e-31,5.0101e-09
39.2830,1.1396e-07,1.0000e-31,5.2424e-09
40.2780,1.3432e-07,1.0000e-31,5.4583e-09
41.2720,1.5386e-07,1.0000e-31,5.6000e-09
42.2670,1.7163e-07,1.0000e-31,5.8009e-09
43.2610,1.9084e-07,1.0000e-31,6.1092e-09
44.2560,2.0410e-07,1.0000e-31,6.5073e-09
45.2500,2.1731e-07,1.0000e-31,6.9168e-09
46.2440,2.3185e-07,1.0000e-31,7.3778e-09
47.2390,2.4701e-07,1.0000e-31,7.7818e-09
48.2330,2.6241e-07,1.0000e-31,8.2423e-09
49.2280,2.7907e-07,1.0000e-31,8.8004e-09
50.2220,2.9910e-07,1.0000e-31,9.4062e-09
51.2170,3.2103e-07,1.0000e-31,1.0175e-08
52.2110,3.3898e-07,1.0000e-31,1.1421e-08
53.2060,3.7038e-07,1.0000e-31,1.3101e-08
54.2000,4.0287e-07,1.0000e-31,1.4193e-08
55.1940,4.4396e-07,1.0000e-31,1.5589e-08
56.1890,4.9053e-07,1.0000e-31,1.7144e-08
57.1830,5.4640e-07,1.0000e-31,1.8815e-08
58.1780,5.9796e-07,1.0000e-31,2.1299e-08
59.1720,6.4371e-07,1.0000e-31,2.4072e-08
60.1670,6.8528e-07,1.0000e-31,2.7061e-08
61.1610,7.3793e-07,1.0000e-31,3.0131e-08
62.1560,7.9340e-07,1.0000e-31,3.2892e-08
63.1500,8.2949e-07,1.0000e-31,3.5669e-08
64.1440,8.5762e-07,1.0000e-31,3.8231e-08
65.1390,8.7611e-07,1.0000e-31,4.0519e-08
66.1330,8.7453e-07,1.0000e-31,4.3799e-08
67.1280,8.7411e-07,1.0000e-31,4.7563e-08
68.1220,8.5959e-07,1.0000e-31,5.2711e-08
69.1170,8.1748e-07,1.0000e-31,6.5297e-08
70.1110,7.8198e-07,1.0000e-31,7.9393e-08
71.1060,7.6733e-07,1.0000e-31,9.0593e-08
72.1000,7.7238e-07,1.0000e-31,1.1124e-07
73.0940,6.7236e-07,1.0000e-31,1.5195e-07
74.0890,5.4992e-07,1.0000e-31,1.5865e-07
75.0830,4.9930e-07,1.0000e-31,1.6215e-07
76.0780,4.5311e-07,1.0000e-31,1.6199e-07
77.0720,4.4462e-07,1.0000e-31,1.5851e-07
78.0670,4.7737e-07,1.0000e-31,1.5221e-07
79.0610,4.6191e-07,1.0000e-31,1.4261e-07
80.0560,3.9932e-07,1.0000e-31,1.2865e-07
81.0500,3.0896e-07,1.0000e-31,1.0605e-07
82.0440,3.3568e-07,1.0000e-31,7.9231e-08
83.0390,3.9732e-07,1.0000e-31,5.2594e-08
84.0330,3.9753e-07,1.0000e-31,2.9206e-08
85.0280,4.3188e-07,1.0000e-31,1.9231e-08
86.0220,6.0049e-07,1.0000e-31,2.7528e-08
87.0170,1.4160e-06,1.0000e-31,6.8468e-08
88.0110,6.1828e-09,1.0000e-31,3.4320e-07
89.0060,1.5103e-10,1.0000e-31,3.3257e-07
