# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11w for E = 500.0 keV, L* = 4.0, MLT = 19.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.7612e-11,1.0000e-31,6.3646e-18
1.4940,3.7534e-11,1.0000e-31,5.7419e-17
2.4890,5.5474e-11,1.0000e-31,1.6121e-16
3.4830,8.0123e-11,1.0000e-31,3.2038e-16
4.4780,1.1104e-10,1.0000e-31,5.3839e-16
5.4720,1.4835e-10,1.0000e-31,8.1959e-16
6.4670,1.9256e-10,1.0000e-31,1.1692e-15
7.4610,2.4441e-10,1.0000e-31,1.5936e-15
8.4560,3.0489e-10,1.0000e-31,2.0999e-15
9.4500,3.7518e-10,1.0000e-31,2.6967e-15
10.4440,4.5666e-10,1.0000e-31,3.3937e-15
11.4390,5.5093e-10,1.0000e-31,4.2022e-15
12.4330,6.5981e-10,1.0000e-31,5.1349e-15
13.4280,7.8537e-10,1.0000e-31,6.2066e-15
14.4220,9.2991e-10,1.0000e-31,7.4341e-15
15.4170,1.0960e-09,1.0000e-31,8.8371e-15
16.4110,1.2866e-09,1.0000e-31,1.0438e-14
17.4060,1.5055e-09,1.0000e-31,1.2265e-14
18.4000,1.7571e-09,1.0000e-31,1.4352e-14
19.3940,2.0477e-09,1.0000e-31,1.6741e-14
20.3890,2.3870e-09,1.0000e-31,1.9493e-14
21.3830,2.7929e-09,1.0000e-31,2.2745e-14
22.3780,3.3005e-09,1.0000e-31,2.6998e-14
23.3720,3.9541e-09,1.0000e-31,3.3619e-14
24.3670,4.7298e-09,1.0000e-31,4.5302e-14
25.3610,5.6503e-09,1.0000e-31,6.3649e-14
26.3560,6.7287e-09,1.0000e-31,8.7335e-14
27.3500,7.9799e-09,1.0000e-31,1.1304e-13
28.3440,9.4030e-09,1.0000e-31,1.4437e-13
29.3390,1.0959e-08,1.0000e-31,1.8963e-13
30.3330,1.2556e-08,1.0000e-31,2.5896e-13
31.3280,1.4082e-08,1.0000e-31,3.6974e-13
32.3220,1.5532e-08,1.0000e-31,5.4905e-13
33.3170,1.7051e-08,1.0000e-31,8.3706e-13
34.3110,1.8784e-08,1.0000e-31,1.2917e-12
35.3060,2.0629e-08,1.0000e-31,1.9976e-12
36.3000,2.2718e-08,1.0000e-31,3.0689e-12
37.2940,2.5423e-08,1.0000e-31,4.6495e-12
38.2890,2.9123e-08,1.0000e-31,6.9149e-12
39.2830,3.3519e-08,1.0000e-31,1.0075e-11
40.2780,3.8545e-08,1.0000e-31,1.4391e-11
41.2720,4.3520e-08,1.0000e-31,2.0591e-11
42.2670,4.7716e-08,1.0000e-31,3.0500e-11
43.2610,5.2190e-08,1.0000e-31,4.6975e-11
44.2560,5.7397e-08,1.0000e-31,7.3260e-11
45.2500,6.3244e-08,1.0000e-31,1.0975e-10
46.2440,6.9648e-08,1.0000e-31,1.5355e-10
47.2390,7.6690e-08,1.0000e-31,2.0481e-10
48.2330,8.4471e-08,1.0000e-31,2.6263e-10
49.2280,9.3456e-08,1.0000e-31,3.2574e-10
50.2220,1.0479e-07,1.0000e-31,3.9454e-10
51.2170,1.1719e-07,1.0000e-31,4.9246e-10
52.2110,1.2959e-07,1.0000e-31,6.8161e-10
53.2060,1.4236e-07,1.0000e-31,9.7557e-10
54.2000,1.5683e-07,1.0000e-31,1.3001e-09
55.1940,1.7312e-07,1.0000e-31,1.6061e-09
56.1890,1.9106e-07,1.0000e-31,1.8611e-09
57.1830,2.1025e-07,1.0000e-31,2.0563e-09
58.1780,2.3057e-07,1.0000e-31,2.2275e-09
59.1720,2.5349e-07,1.0000e-31,2.4669e-09
60.1670,2.8142e-07,1.0000e-31,3.2920e-09
61.1610,3.0978e-07,1.0000e-31,4.3791e-09
62.1560,3.3219e-07,1.0000e-31,5.0218e-09
63.1500,3.4955e-07,1.0000e-31,5.8024e-09
64.1440,3.6397e-07,1.0000e-31,6.3671e-09
65.1390,3.8721e-07,1.0000e-31,6.9428e-09
66.1330,3.9688e-07,1.0000e-31,7.1176e-09
67.1280,4.0259e-07,1.0000e-31,8.0454e-09
68.1220,4.0784e-07,1.0000e-31,1.1891e-08
69.1170,4.1561e-07,1.0000e-31,1.3490e-08
70.1110,4.2394e-07,1.0000e-31,1.3388e-08
71.1060,4.2188e-07,1.0000e-31,1.3893e-08
72.1000,4.0235e-07,1.0000e-31,1.5751e-08
73.0940,3.9747e-07,1.0000e-31,1.8835e-08
74.0890,4.0828e-07,1.0000e-31,2.4455e-08
75.0830,4.3426e-07,1.0000e-31,3.1231e-08
76.0780,4.5332e-07,1.0000e-31,3.4292e-08
77.0720,3.9690e-07,1.0000e-31,2.9211e-08
78.0670,3.6272e-07,1.0000e-31,2.6750e-08
79.0610,3.5452e-07,1.0000e-31,2.7252e-08
80.0560,4.2559e-07,1.0000e-31,3.5089e-08
81.0500,4.2197e-07,1.0000e-31,6.2180e-08
82.0440,3.7915e-07,1.0000e-31,1.0159e-07
83.0390,4.3121e-07,1.0000e-31,4.6363e-08
84.0330,6.9806e-07,1.0000e-31,2.9534e-08
85.0280,4.1979e-07,1.0000e-31,2.5489e-08
86.0220,3.2243e-07,1.0000e-31,2.4784e-08
87.0170,2.5544e-07,1.0000e-31,2.9010e-08
88.0110,2.3664e-07,1.0000e-31,6.3912e-08
89.0060,7.0376e-07,1.0000e-31,9.7646e-08
