# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11x for E = 500.0 keV, L* = 4.0, MLT = 22.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.7880e-10,6.5953e-07,1.0793e-07
1.4940,3.0582e-10,6.6477e-07,1.0892e-07
2.4890,5.2662e-10,6.7028e-07,1.1009e-07
3.4830,8.2853e-10,6.7615e-07,1.1145e-07
4.4780,1.2142e-09,6.8231e-07,1.1302e-07
5.4720,1.6935e-09,6.8886e-07,1.1480e-07
6.4670,2.2813e-09,6.9571e-07,1.1681e-07
7.4610,2.9962e-09,7.0298e-07,1.1907e-07
8.4560,3.8606e-09,7.1058e-07,1.2159e-07
9.4500,4.9011e-09,7.1866e-07,1.2440e-07
10.4440,6.1493e-09,7.2716e-07,1.2752e-07
11.4390,7.6419e-09,7.3604e-07,1.3099e-07
12.4330,9.4225e-09,7.4548e-07,1.3485e-07
13.4280,1.1542e-08,7.5533e-07,1.3912e-07
14.4220,1.4058e-08,7.6581e-07,1.4388e-07
15.4170,1.7040e-08,7.7676e-07,1.4916e-07
16.4110,2.0567e-08,7.8843e-07,1.5505e-07
17.4060,2.4729e-08,8.0067e-07,1.6161e-07
18.4000,2.9629e-08,8.1376e-07,1.6894e-07
19.3940,3.5381e-08,8.2761e-07,1.7717e-07
20.3890,4.2107e-08,8.4216e-07,1.8641e-07
21.3830,4.9943e-08,8.5770e-07,1.9683e-07
22.3780,5.9021e-08,8.7404e-07,2.0864e-07
23.3720,6.9477e-08,8.9154e-07,2.2208e-07
24.3670,8.1503e-08,9.1001e-07,2.3743e-07
25.3610,9.5326e-08,9.2982e-07,2.5505e-07
26.3560,1.1123e-07,9.5089e-07,2.7539e-07
27.3500,1.2952e-07,9.7365e-07,2.9896e-07
28.3440,1.5040e-07,9.9807e-07,3.2640e-07
29.3390,1.7416e-07,1.0241e-06,3.5846e-07
30.3330,2.0114e-07,1.0524e-06,3.9603e-07
31.3280,2.3175e-07,1.0828e-06,4.4019e-07
32.3220,2.6646e-07,1.1161e-06,4.9234e-07
33.3170,3.0570e-07,1.1524e-06,5.5423e-07
34.3110,3.4992e-07,1.1930e-06,6.2793e-07
35.3060,3.9962e-07,1.2378e-06,7.1546e-07
36.3000,4.5523e-07,1.2884e-06,8.1899e-07
37.2940,5.1707e-07,1.3451e-06,9.4134e-07
38.2890,5.8543e-07,1.4083e-06,1.0862e-06
39.2830,6.6088e-07,1.4800e-06,1.2575e-06
40.2780,7.4492e-07,1.5597e-06,1.4591e-06
41.2720,8.4065e-07,1.6501e-06,1.6939e-06
42.2670,9.4827e-07,1.7507e-06,1.9649e-06
43.2610,1.0672e-06,1.8649e-06,2.2765e-06
44.2560,1.1964e-06,1.9919e-06,2.6352e-06
45.2500,1.3360e-06,2.1359e-06,3.0440e-06
46.2440,1.4885e-06,2.2981e-06,3.4996e-06
47.2390,1.6534e-06,2.4800e-06,3.9990e-06
48.2330,1.8310e-06,2.6886e-06,4.5356e-06
49.2280,2.0195e-06,2.9246e-06,5.1145e-06
50.2220,2.2147e-06,3.1953e-06,5.7618e-06
51.2170,2.4135e-06,3.4964e-06,6.5182e-06
52.2110,2.6206e-06,3.8376e-06,7.3806e-06
53.2060,2.8533e-06,4.2094e-06,8.3163e-06
54.2000,3.0971e-06,4.6188e-06,9.3054e-06
55.1940,3.3667e-06,5.0626e-06,1.0302e-05
56.1890,3.7439e-06,5.5173e-06,1.1307e-05
57.1830,4.1873e-06,5.9697e-06,1.2281e-05
58.1780,4.6262e-06,6.4239e-06,1.3135e-05
59.1720,5.0171e-06,6.8936e-06,1.3973e-05
60.1670,5.3917e-06,7.3719e-06,1.4936e-05
61.1610,5.7451e-06,7.8620e-06,1.6111e-05
62.1560,6.0684e-06,8.3886e-06,1.7379e-05
63.1500,6.3698e-06,9.0451e-06,1.8620e-05
64.1440,6.7884e-06,9.9552e-06,2.0588e-05
65.1390,7.1196e-06,1.0678e-05,2.1105e-05
66.1330,7.4541e-06,1.1364e-05,2.1559e-05
67.1280,7.9175e-06,1.2021e-05,2.2088e-05
68.1220,8.1542e-06,1.2684e-05,2.2644e-05
69.1170,8.2287e-06,1.3304e-05,2.2710e-05
70.1110,8.2973e-06,1.3701e-05,2.1984e-05
71.1060,8.4615e-06,1.3705e-05,2.4583e-05
72.1000,8.5248e-06,1.3394e-05,2.8066e-05
73.0940,8.3265e-06,1.2942e-05,3.2303e-05
74.0890,8.2766e-06,1.2251e-05,3.5281e-05
75.0830,8.6454e-06,1.2567e-05,3.5039e-05
76.0780,8.5783e-06,1.2217e-05,3.3950e-05
77.0720,9.0644e-06,1.2680e-05,3.0328e-05
78.0670,9.6874e-06,1.3766e-05,2.5179e-05
79.0610,1.0659e-05,1.5938e-05,2.2475e-05
80.0560,1.2672e-05,2.0641e-05,1.8941e-05
81.0500,1.5384e-05,3.0749e-05,1.4466e-05
82.0440,1.7759e-05,2.3854e-05,1.1651e-05
83.0390,1.2230e-05,1.3388e-05,6.1468e-06
84.0330,7.7548e-06,1.4344e-05,1.0000e-31
85.0280,4.9578e-06,1.6999e-05,1.0000e-31
86.0220,4.2914e-06,1.8255e-05,1.0000e-31
87.0170,3.4905e-06,1.6765e-05,1.0000e-31
88.0110,2.4003e-06,1.5145e-05,1.0000e-31
89.0060,2.1283e-06,1.6709e-05,1.0000e-31
