# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11y for E = 100.0 keV, L* = 4.0, MLT = 1.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.7433e-05,1.2319e-05,2.4332e-07
1.4940,2.7683e-05,1.2412e-05,2.5475e-07
2.4890,2.7981e-05,1.2506e-05,2.7605e-07
3.4830,2.8327e-05,1.2602e-05,3.0758e-07
4.4780,2.8723e-05,1.2699e-05,3.4983e-07
5.4720,2.9172e-05,1.2797e-05,4.0351e-07
6.4670,2.9674e-05,1.2896e-05,4.6946e-07
7.4610,3.0233e-05,1.2998e-05,5.4873e-07
8.4560,3.0852e-05,1.3100e-05,6.4271e-07
9.4500,3.1532e-05,1.3205e-05,7.5304e-07
10.4440,3.2278e-05,1.3311e-05,8.8145e-07
11.4390,3.3093e-05,1.3419e-05,1.0303e-06
12.4330,3.3980e-05,1.3529e-05,1.2022e-06
13.4280,3.4944e-05,1.3641e-05,1.4005e-06
14.4220,3.5990e-05,1.3756e-05,1.6285e-06
15.4170,3.7121e-05,1.3873e-05,1.8899e-06
16.4110,3.8343e-05,1.3994e-05,2.1886e-06
17.4060,3.9660e-05,1.4118e-05,2.5281e-06
18.4000,4.1079e-05,1.4247e-05,2.9120e-06
19.3940,4.2605e-05,1.4381e-05,3.3461e-06
20.3890,4.4242e-05,1.4518e-05,3.8352e-06
21.3830,4.5997e-05,1.4662e-05,4.3806e-06
22.3780,4.7876e-05,1.4811e-05,4.9836e-06
23.3720,4.9883e-05,1.4968e-05,5.6546e-06
24.3670,5.2022e-05,1.5129e-05,6.4088e-06
25.3610,5.4298e-05,1.5300e-05,7.2521e-06
26.3560,5.6714e-05,1.5477e-05,8.1832e-06
27.3500,5.9272e-05,1.5665e-05,9.1997e-06
28.3440,6.1971e-05,1.5865e-05,1.0299e-05
29.3390,6.4810e-05,1.6075e-05,1.1488e-05
30.3330,6.7784e-05,1.6302e-05,1.2742e-05
31.3280,7.0885e-05,1.6544e-05,1.4031e-05
32.3220,7.4103e-05,1.6807e-05,1.5388e-05
33.3170,7.7420e-05,1.7088e-05,1.6834e-05
34.3110,8.0816e-05,1.7393e-05,1.8385e-05
35.3060,8.4265e-05,1.7713e-05,2.0050e-05
36.3000,8.7733e-05,1.8055e-05,2.1843e-05
37.2940,9.1180e-05,1.8416e-05,2.3768e-05
38.2890,9.4555e-05,1.8797e-05,2.5897e-05
39.2830,9.7803e-05,1.9206e-05,2.8292e-05
40.2780,1.0086e-04,1.9644e-05,3.0939e-05
41.2720,1.0367e-04,2.0124e-05,3.3846e-05
42.2670,1.0615e-04,2.0642e-05,3.6946e-05
43.2610,1.0823e-04,2.1213e-05,4.0223e-05
44.2560,1.0982e-04,2.1835e-05,4.3763e-05
45.2500,1.1085e-04,2.2523e-05,4.7577e-05
46.2440,1.1123e-04,2.3282e-05,5.1653e-05
47.2390,1.1094e-04,2.4110e-05,5.6011e-05
48.2330,1.0996e-04,2.5007e-05,6.1004e-05
49.2280,1.0821e-04,2.5946e-05,6.6714e-05
50.2220,1.0568e-04,2.6968e-05,7.2639e-05
51.2170,1.0238e-04,2.8113e-05,7.8819e-05
52.2110,9.8323e-05,2.9458e-05,8.5028e-05
53.2060,9.3588e-05,3.1059e-05,9.0995e-05
54.2000,8.8275e-05,3.3004e-05,9.6247e-05
55.1940,8.2511e-05,3.5336e-05,1.0137e-04
56.1890,7.6453e-05,3.8122e-05,1.0606e-04
57.1830,7.0279e-05,4.1458e-05,1.0999e-04
58.1780,6.4252e-05,4.5126e-05,1.1353e-04
59.1720,5.9068e-05,4.9255e-05,1.1702e-04
60.1670,5.4403e-05,5.3624e-05,1.2091e-04
61.1610,5.0222e-05,5.8475e-05,1.2547e-04
62.1560,4.6838e-05,6.3860e-05,1.2978e-04
63.1500,4.4471e-05,6.9679e-05,1.3426e-04
64.1440,4.3193e-05,7.5846e-05,1.4012e-04
65.1390,4.3027e-05,8.2197e-05,1.4740e-04
66.1330,4.3995e-05,8.8831e-05,1.5602e-04
67.1280,4.6003e-05,9.5712e-05,1.6757e-04
68.1220,4.9212e-05,1.0289e-04,1.8319e-04
69.1170,4.9712e-05,1.1117e-04,2.0326e-04
70.1110,5.1506e-05,1.1960e-04,2.3013e-04
71.1060,5.5574e-05,1.3074e-04,2.6290e-04
72.1000,6.3606e-05,1.4237e-04,2.8660e-04
73.0940,6.2950e-05,1.5910e-04,2.9412e-04
74.0890,6.0219e-05,1.7313e-04,2.7622e-04
75.0830,6.0254e-05,1.7934e-04,2.3562e-04
76.0780,5.9377e-05,1.9365e-04,1.8866e-04
77.0720,5.7924e-05,2.0169e-04,1.3623e-04
78.0670,5.6464e-05,2.0040e-04,1.0264e-04
79.0610,5.5801e-05,1.8006e-04,7.2777e-05
80.0560,6.1805e-05,1.7797e-04,7.2679e-05
81.0500,6.1221e-05,1.8084e-04,8.1437e-05
82.0440,5.1426e-05,1.8138e-04,6.6200e-05
83.0390,3.4577e-05,1.7262e-04,5.5688e-05
84.0330,1.7259e-05,1.5686e-04,4.9123e-05
85.0280,5.4777e-06,1.3105e-04,4.0906e-05
86.0220,1.0816e-07,1.0123e-04,3.4453e-05
87.0170,1.9914e-08,6.7771e-05,2.7361e-05
88.0110,4.2662e-11,3.2974e-05,1.4440e-05
89.0060,1.0000e-31,9.6663e-06,2.8429e-06
