# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11z for E = 100.0 keV, L* = 4.0, MLT = 4.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,6.1369e-06,7.4209e-05,1.0000e-31
1.4940,6.1902e-06,7.4861e-05,1.0000e-31
2.4890,6.2510e-06,7.5605e-05,1.0000e-31
3.4830,6.3198e-06,7.6456e-05,1.0000e-31
4.4780,6.3967e-06,7.7402e-05,1.0000e-31
5.4720,6.4821e-06,7.8462e-05,1.0000e-31
6.4670,6.5763e-06,7.9620e-05,1.0000e-31
7.4610,6.6797e-06,8.0899e-05,1.0000e-31
8.4560,6.7927e-06,8.2279e-05,1.0000e-31
9.4500,6.9158e-06,8.3787e-05,1.0000e-31
10.4440,7.0496e-06,8.5416e-05,1.0000e-31
11.4390,7.1947e-06,8.7150e-05,1.0000e-31
12.4330,7.3517e-06,8.9024e-05,1.0000e-31
13.4280,7.5213e-06,9.1009e-05,1.0000e-31
14.4220,7.7043e-06,9.3142e-05,1.0000e-31
15.4170,7.9016e-06,9.5389e-05,1.0000e-31
16.4110,8.1141e-06,9.7794e-05,1.0000e-31
17.4060,8.3428e-06,1.0032e-04,1.0000e-31
18.4000,8.5888e-06,1.0301e-04,1.0000e-31
19.3940,8.8531e-06,1.0584e-04,1.0000e-31
20.3890,9.1371e-06,1.0880e-04,1.0000e-31
21.3830,9.4420e-06,1.1193e-04,1.0000e-31
22.3780,9.7693e-06,1.1519e-04,1.0000e-31
23.3720,1.0120e-05,1.1863e-04,1.0000e-31
24.3670,1.0497e-05,1.2219e-04,1.0000e-31
25.3610,1.0901e-05,1.2593e-04,1.0000e-31
26.3560,1.1333e-05,1.2977e-04,1.0000e-31
27.3500,1.1796e-05,1.3377e-04,1.0000e-31
28.3440,1.2291e-05,1.3790e-04,1.0000e-31
29.3390,1.2819e-05,1.4210e-04,1.0000e-31
30.3330,1.3382e-05,1.4643e-04,1.0000e-31
31.3280,1.3984e-05,1.5080e-04,1.0000e-31
32.3220,1.4626e-05,1.5528e-04,1.0000e-31
33.3170,1.5310e-05,1.5976e-04,1.0000e-31
34.3110,1.6040e-05,1.6429e-04,1.0000e-31
35.3060,1.6817e-05,1.6877e-04,1.0000e-31
36.3000,1.7644e-05,1.7326e-04,1.0000e-31
37.2940,1.8523e-05,1.7766e-04,1.0000e-31
38.2890,1.9457e-05,1.8193e-04,1.0000e-31
39.2830,2.0450e-05,1.8609e-04,1.0000e-31
40.2780,2.1503e-05,1.9004e-04,1.0000e-31
41.2720,2.2618e-05,1.9381e-04,1.0000e-31
42.2670,2.3796e-05,1.9731e-04,1.0000e-31
43.2610,2.5041e-05,2.0056e-04,1.0000e-31
44.2560,2.6353e-05,2.0347e-04,1.0000e-31
45.2500,2.7789e-05,2.0604e-04,1.0000e-31
46.2440,2.9387e-05,2.0826e-04,1.0000e-31
47.2390,3.1129e-05,2.1008e-04,1.0000e-31
48.2330,3.3025e-05,2.1148e-04,1.0000e-31
49.2280,3.5088e-05,2.1240e-04,1.0000e-31
50.2220,3.7343e-05,2.1283e-04,1.0000e-31
51.2170,3.9866e-05,2.1267e-04,1.0000e-31
52.2110,4.2948e-05,2.1206e-04,1.0000e-31
53.2060,4.5882e-05,2.1105e-04,1.0000e-31
54.2000,4.8620e-05,2.0960e-04,1.0000e-31
55.1940,5.1223e-05,2.0762e-04,1.0000e-31
56.1890,5.3662e-05,2.0506e-04,1.0000e-31
57.1830,5.5869e-05,2.0181e-04,1.0000e-31
58.1780,5.7805e-05,1.9801e-04,1.0000e-31
59.1720,5.9418e-05,1.9363e-04,1.0000e-31
60.1670,6.1194e-05,1.8908e-04,1.0000e-31
61.1610,6.2222e-05,1.8495e-04,1.0000e-31
62.1560,6.2506e-05,1.8071e-04,1.0000e-31
63.1500,6.2544e-05,1.7579e-04,1.0000e-31
64.1440,6.2274e-05,1.7055e-04,1.0000e-31
65.1390,6.1845e-05,1.6558e-04,1.0000e-31
66.1330,6.1434e-05,1.6050e-04,1.0000e-31
67.1280,6.1010e-05,1.5697e-04,1.0000e-31
68.1220,6.0855e-05,1.5084e-04,1.0000e-31
69.1170,6.1575e-05,1.4719e-04,1.0000e-31
70.1110,6.6247e-05,1.4477e-04,1.0000e-31
71.1060,7.0294e-05,1.4497e-04,1.0000e-31
72.1000,7.5437e-05,1.5525e-04,1.0000e-31
73.0940,8.5662e-05,1.4786e-04,1.0000e-31
74.0890,1.1176e-04,1.5782e-04,1.0000e-31
75.0830,1.1527e-04,1.6259e-04,1.0000e-31
76.0780,1.0400e-04,1.8814e-04,1.0000e-31
77.0720,1.0303e-04,1.6296e-04,1.0000e-31
78.0670,1.0819e-04,1.5886e-04,1.0000e-31
79.0610,1.2054e-04,1.5912e-04,1.0000e-31
80.0560,1.6073e-04,1.5927e-04,1.0000e-31
81.0500,1.6710e-04,1.5585e-04,1.0000e-31
82.0440,1.5871e-04,1.4294e-04,1.0000e-31
83.0390,1.3533e-04,1.2176e-04,1.0000e-31
84.0330,9.9502e-05,9.4006e-05,1.0000e-31
85.0280,5.8253e-05,6.7924e-05,1.0000e-31
86.0220,1.3499e-05,4.4355e-05,1.0000e-31
87.0170,2.4397e-07,2.8264e-05,1.0000e-31
88.0110,6.3903e-10,1.3614e-05,1.0000e-31
89.0060,1.0000e-31,4.9952e-06,1.0000e-31
