# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12a for E = 5000.0 keV, L* = 4.0, MLT = 1.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.0132e-25,5.2359e-14,7.8477e-18
1.4940,2.1840e-22,4.7985e-13,6.3680e-16
2.4890,8.5015e-21,1.3709e-12,5.0271e-15
3.4830,1.0231e-19,2.8251e-12,1.9975e-14
4.4780,6.9792e-19,4.9459e-12,5.7023e-14
5.4720,3.4022e-18,7.9567e-12,1.3423e-13
6.4670,1.3272e-17,1.2054e-11,2.7891e-13
7.4610,4.4169e-17,1.7656e-11,5.3163e-13
8.4560,1.3045e-16,2.5115e-11,9.5191e-13
9.4500,3.5104e-16,3.5187e-11,1.6257e-12
10.4440,8.7667e-16,4.8653e-11,2.6748e-12
11.4390,2.0589e-15,6.6488e-11,4.2675e-12
12.4330,4.5924e-15,9.0602e-11,6.6292e-12
13.4280,9.8020e-15,1.2279e-10,1.0052e-11
14.4220,2.0136e-14,1.6691e-10,1.4903e-11
15.4170,3.9991e-14,2.2635e-10,2.1632e-11
16.4110,7.7056e-14,3.0626e-10,3.0794e-11
17.4060,1.4443e-13,4.1057e-10,4.3086e-11
18.4000,2.6383e-13,5.4724e-10,5.9399e-11
19.3940,4.7060e-13,7.2389e-10,8.0873e-11
20.3890,8.2343e-13,9.5427e-10,1.0895e-10
21.3830,1.4140e-12,1.2624e-09,1.4539e-10
22.3780,2.3816e-12,1.6710e-09,1.9226e-10
23.3720,3.9319e-12,2.2359e-09,2.5172e-10
24.3670,6.3572e-12,3.0785e-09,3.2595e-10
25.3610,1.0061e-11,4.5657e-09,4.1778e-10
26.3560,1.5590e-11,6.5064e-09,5.3429e-10
27.3500,2.3686e-11,7.3567e-09,6.9144e-10
28.3440,3.5353e-11,8.3529e-09,9.1707e-10
29.3390,5.1853e-11,9.6344e-09,1.2614e-09
30.3330,7.4443e-11,1.1273e-08,1.8136e-09
31.3280,1.0357e-10,1.3368e-08,2.7317e-09
32.3220,1.3841e-10,1.6407e-08,4.1884e-09
33.3170,1.8037e-10,2.2013e-08,6.1488e-09
34.3110,2.4540e-10,3.1923e-08,8.3960e-09
35.3060,3.7333e-10,3.1702e-08,1.2874e-08
36.3000,5.8883e-10,3.1096e-08,2.3405e-08
37.2940,7.4519e-10,3.0537e-08,3.5155e-08
38.2890,8.7668e-10,3.0296e-08,4.1118e-08
39.2830,1.1440e-09,3.0604e-08,4.5323e-08
40.2780,1.8817e-09,3.0503e-08,4.6118e-08
41.2720,2.1561e-09,3.0389e-08,4.2121e-08
42.2670,3.7311e-09,3.0546e-08,4.7542e-08
43.2610,5.3154e-09,3.3772e-08,3.8927e-08
44.2560,7.5596e-09,3.4478e-08,4.0037e-08
45.2500,7.2415e-09,3.3270e-08,8.5074e-08
46.2440,7.0463e-09,3.1907e-08,1.8656e-07
47.2390,6.8908e-09,3.0916e-08,3.4126e-07
48.2330,6.7927e-09,2.9627e-08,4.8213e-07
49.2280,6.7185e-09,2.8850e-08,5.8656e-07
50.2220,6.6858e-09,2.7267e-08,6.4693e-07
51.2170,6.8478e-09,2.5452e-08,6.5877e-07
52.2110,7.0991e-09,2.4622e-08,7.3720e-07
53.2060,7.6889e-09,2.1440e-08,1.0784e-06
54.2000,8.6329e-09,1.6247e-08,1.7349e-06
55.1940,9.2499e-09,1.5661e-08,1.6122e-06
56.1890,1.0250e-08,1.5104e-08,1.4899e-06
57.1830,1.1441e-08,1.4607e-08,1.3072e-06
58.1780,1.2798e-08,1.4171e-08,9.9419e-07
59.1720,1.4329e-08,1.3588e-08,3.6754e-07
60.1670,1.5800e-08,1.3000e-08,2.9982e-09
61.1610,1.9488e-08,1.2580e-08,4.1684e-09
62.1560,2.2846e-08,1.1556e-08,5.5801e-09
63.1500,2.5100e-08,1.1298e-08,7.3323e-09
64.1440,3.2173e-08,9.9711e-09,9.3979e-09
65.1390,4.7983e-08,7.4922e-09,1.1576e-08
66.1330,5.2360e-08,7.3002e-09,1.4159e-08
67.1280,5.1346e-08,7.5048e-09,1.6675e-08
68.1220,5.0791e-08,7.7237e-09,1.9047e-08
69.1170,5.0073e-08,8.2195e-09,2.2380e-08
70.1110,5.0609e-08,9.0000e-09,2.5013e-08
71.1060,4.7929e-08,1.0262e-08,3.1830e-08
72.1000,4.8313e-08,1.1949e-08,3.1981e-08
73.0940,4.5857e-08,1.3954e-08,3.6857e-08
74.0890,4.6724e-08,1.6053e-08,4.3318e-08
75.0830,4.2254e-08,1.8267e-08,4.8219e-08
76.0780,4.0309e-08,2.1654e-08,6.6319e-08
77.0720,2.9474e-08,2.5719e-08,8.6572e-08
78.0670,2.0708e-08,2.8571e-08,1.1049e-07
79.0610,2.1005e-08,2.7829e-08,1.0531e-07
80.0560,2.1461e-08,2.8484e-08,1.0028e-07
81.0500,2.0957e-08,2.8127e-08,9.1499e-08
82.0440,2.2589e-08,2.6834e-08,7.8223e-08
83.0390,2.4118e-08,2.9259e-08,5.3066e-08
84.0330,2.2160e-08,2.9863e-08,9.5881e-09
85.0280,2.2764e-08,3.0116e-08,1.0084e-08
86.0220,2.3182e-08,3.0348e-08,1.0397e-08
87.0170,2.3748e-08,3.0851e-08,1.1103e-08
88.0110,2.2659e-08,3.0290e-08,1.1205e-08
89.0060,2.1835e-08,2.8292e-08,1.1099e-08
