# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12aa for E = 100.0 keV, L* = 4.0, MLT = 7.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.7552e-10,2.8387e-10,1.2766e-09
1.4940,2.4785e-09,1.9722e-09,1.0938e-08
2.4890,6.9192e-09,5.3298e-09,3.0470e-08
3.4830,1.3634e-08,1.0469e-08,6.0148e-08
4.4780,2.2656e-08,1.7354e-08,1.0028e-07
5.4720,3.4011e-08,2.6166e-08,1.5121e-07
6.4670,4.7723e-08,3.6816e-08,2.1332e-07
7.4610,6.3817e-08,4.9590e-08,2.8702e-07
8.4560,8.2317e-08,6.4345e-08,3.7276e-07
9.4500,1.0325e-07,8.1465e-08,4.7105e-07
10.4440,1.2666e-07,1.0093e-07,5.8238e-07
11.4390,1.5259e-07,1.2265e-07,7.0730e-07
12.4330,1.8111e-07,1.4710e-07,8.4646e-07
13.4280,2.1231e-07,1.7394e-07,1.0005e-06
14.4220,2.4636e-07,2.0391e-07,1.1701e-06
15.4170,2.8356e-07,2.3681e-07,1.3561e-06
16.4110,3.2430e-07,2.7334e-07,1.5592e-06
17.4060,3.6871e-07,3.1268e-07,1.7805e-06
18.4000,4.1650e-07,3.5562e-07,2.0207e-06
19.3940,4.6754e-07,4.0216e-07,2.2808e-06
20.3890,5.2251e-07,4.5222e-07,2.5619e-06
21.3830,5.8216e-07,5.0724e-07,2.8650e-06
22.3780,6.4701e-07,5.6721e-07,3.1914e-06
23.3720,7.1754e-07,6.3347e-07,3.5423e-06
24.3670,7.9424e-07,7.0504e-07,3.9195e-06
25.3610,8.7762e-07,7.8420e-07,4.3244e-06
26.3560,9.6818e-07,8.7038e-07,4.7567e-06
27.3500,1.0662e-06,9.6464e-07,5.2189e-06
28.3440,1.1726e-06,1.0679e-06,5.7142e-06
29.3390,1.2884e-06,1.1813e-06,6.2443e-06
30.3330,1.4199e-06,1.3087e-06,6.8038e-06
31.3280,1.5634e-06,1.4482e-06,7.3984e-06
32.3220,1.7120e-06,1.6035e-06,8.0312e-06
33.3170,1.8713e-06,1.7733e-06,8.7087e-06
34.3110,2.0421e-06,1.9624e-06,9.4234e-06
35.3060,2.2252e-06,2.1682e-06,1.0180e-05
36.3000,2.4211e-06,2.3968e-06,1.0983e-05
37.2940,2.6307e-06,2.6483e-06,1.1845e-05
38.2890,2.8546e-06,2.9217e-06,1.2776e-05
39.2830,3.0817e-06,3.2204e-06,1.3733e-05
40.2780,3.2789e-06,3.5451e-06,1.4740e-05
41.2720,3.5284e-06,3.9063e-06,1.5821e-05
42.2670,3.8113e-06,4.2914e-06,1.7075e-05
43.2610,4.1141e-06,4.6945e-06,1.8348e-05
44.2560,4.4408e-06,5.1009e-06,1.9570e-05
45.2500,4.7948e-06,5.5117e-06,2.0854e-05
46.2440,5.1805e-06,5.9236e-06,2.2226e-05
47.2390,5.6028e-06,6.3203e-06,2.3818e-05
48.2330,6.0683e-06,6.6998e-06,2.5464e-05
49.2280,6.5842e-06,7.0780e-06,2.6985e-05
50.2220,7.3853e-06,7.4779e-06,2.8529e-05
51.2170,7.9271e-06,7.8190e-06,3.0092e-05
52.2110,8.3490e-06,8.0200e-06,3.1809e-05
53.2060,8.7605e-06,8.1747e-06,3.3639e-05
54.2000,9.3063e-06,8.3179e-06,3.5135e-05
55.1940,1.0040e-05,8.4262e-06,3.6612e-05
56.1890,1.0962e-05,8.5166e-06,3.8037e-05
57.1830,1.2029e-05,8.5913e-06,3.9478e-05
58.1780,1.3170e-05,8.6857e-06,4.1212e-05
59.1720,1.4200e-05,8.7942e-06,4.2385e-05
60.1670,1.4928e-05,8.9201e-06,4.3069e-05
61.1610,1.5221e-05,9.1250e-06,4.3595e-05
62.1560,1.5287e-05,9.3107e-06,4.4164e-05
63.1500,1.4678e-05,9.7614e-06,4.3675e-05
64.1440,1.4296e-05,1.0228e-05,4.2286e-05
65.1390,1.4383e-05,1.0609e-05,4.1725e-05
66.1330,1.4224e-05,1.0955e-05,4.0897e-05
67.1280,1.3800e-05,1.1320e-05,3.9514e-05
68.1220,1.3093e-05,1.1703e-05,3.7646e-05
69.1170,1.2086e-05,1.2086e-05,3.5641e-05
70.1110,1.0768e-05,1.2427e-05,3.3181e-05
71.1060,9.2414e-06,1.2855e-05,2.9973e-05
72.1000,6.4218e-06,1.3479e-05,2.6357e-05
73.0940,4.8977e-06,1.4087e-05,2.2842e-05
74.0890,4.4534e-06,1.5025e-05,1.8986e-05
75.0830,4.9965e-06,1.5438e-05,1.4476e-05
76.0780,6.0154e-06,1.7698e-05,1.1923e-05
77.0720,6.9998e-06,1.5596e-05,1.1346e-05
78.0670,5.8746e-06,1.4381e-05,1.2166e-05
79.0610,4.4576e-06,1.2401e-05,1.4603e-05
80.0560,4.2252e-06,1.1710e-05,1.7127e-05
81.0500,4.2808e-06,1.1247e-05,1.8249e-05
82.0440,5.1687e-06,1.0427e-05,1.5391e-05
83.0390,4.9685e-06,9.1241e-06,6.8902e-06
84.0330,4.1181e-06,7.2219e-06,1.4952e-06
85.0280,2.7231e-06,4.9266e-06,9.2554e-08
86.0220,1.2317e-06,2.9659e-06,2.0666e-08
87.0170,1.3979e-08,1.5555e-06,3.0749e-08
88.0110,4.8288e-11,6.9020e-07,2.9184e-08
89.0060,1.0000e-31,2.1267e-07,6.5007e-09
