# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12b for E = 5000.0 keV, L* = 4.0, MLT = 4.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.3041e-19,2.8544e-14,1.0000e-31
1.4940,1.0597e-17,2.6129e-13,1.0000e-31
2.4890,6.5013e-17,7.4483e-13,1.0000e-31
3.4830,2.2172e-16,1.5297e-12,1.0000e-31
4.4780,5.7239e-16,2.6660e-12,1.0000e-31
5.4720,1.2607e-15,4.2649e-12,1.0000e-31
6.4670,2.5138e-15,6.4179e-12,1.0000e-31
7.4610,4.6944e-15,9.3260e-12,1.0000e-31
8.4560,8.3860e-15,1.3146e-11,1.0000e-31
9.4500,1.4528e-14,1.8230e-11,1.0000e-31
10.4440,2.4621e-14,2.4927e-11,1.0000e-31
11.4390,4.1131e-14,3.3660e-11,1.0000e-31
12.4330,6.9060e-14,4.5269e-11,1.0000e-31
13.4280,1.2125e-13,6.0476e-11,1.0000e-31
14.4220,2.3326e-13,8.0860e-11,1.0000e-31
15.4170,4.7726e-13,1.0783e-10,1.0000e-31
16.4110,9.2536e-13,1.4405e-10,1.0000e-31
17.4060,1.4735e-12,1.9087e-10,1.0000e-31
18.4000,2.0548e-12,2.5317e-10,1.0000e-31
19.3940,2.8617e-12,3.3709e-10,1.0000e-31
20.3890,4.0274e-12,4.5042e-10,1.0000e-31
21.3830,5.8352e-12,6.0919e-10,1.0000e-31
22.3780,9.1685e-12,8.5451e-10,1.0000e-31
23.3720,2.3488e-11,1.3671e-09,1.0000e-31
24.3670,3.4167e-11,2.1585e-09,1.0000e-31
25.3610,4.6013e-11,3.2129e-09,1.0000e-31
26.3560,1.3216e-10,5.5443e-09,1.0000e-31
27.3500,1.3125e-10,5.3553e-09,1.0000e-31
28.3440,1.3291e-10,5.1453e-09,1.0000e-31
29.3390,1.6068e-10,4.9509e-09,1.0000e-31
30.3330,1.9958e-10,4.7014e-09,1.0000e-31
31.3280,2.0484e-10,4.4139e-09,1.0000e-31
32.3220,2.5252e-10,3.7954e-09,1.0000e-31
33.3170,3.8772e-10,3.3218e-09,1.0000e-31
34.3110,6.3627e-10,1.6069e-09,1.0000e-31
35.3060,7.2176e-10,1.4465e-09,1.0000e-31
36.3000,7.0732e-10,1.6054e-09,1.0000e-31
37.2940,7.4364e-10,1.8212e-09,1.0000e-31
38.2890,7.8071e-10,2.0867e-09,1.0000e-31
39.2830,7.9354e-10,2.3920e-09,1.0000e-31
40.2780,8.9651e-10,2.6007e-09,1.0000e-31
41.2720,1.0212e-09,2.9425e-09,1.0000e-31
42.2670,1.2189e-09,3.3262e-09,1.0000e-31
43.2610,1.6624e-09,3.8404e-09,1.0000e-31
44.2560,2.2227e-09,4.4250e-09,1.0000e-31
45.2500,2.0839e-09,5.3422e-09,1.0000e-31
46.2440,1.9587e-09,6.3078e-09,1.0000e-31
47.2390,1.8519e-09,8.0615e-09,1.0000e-31
48.2330,1.7472e-09,1.0221e-08,1.0000e-31
49.2280,1.6635e-09,1.1356e-08,1.0000e-31
50.2220,1.4777e-09,1.6844e-08,1.0000e-31
51.2170,1.4026e-09,1.8051e-08,1.0000e-31
52.2110,1.2171e-09,2.9121e-08,1.0000e-31
53.2060,8.7412e-10,3.7085e-08,1.0000e-31
54.2000,2.1214e-10,5.8782e-08,1.0000e-31
55.1940,3.4154e-10,5.6285e-08,1.0000e-31
56.1890,5.4439e-10,5.5741e-08,1.0000e-31
57.1830,8.5611e-10,5.7002e-08,1.0000e-31
58.1780,1.3019e-09,5.7523e-08,1.0000e-31
59.1720,1.8707e-09,5.9887e-08,1.0000e-31
60.1670,2.5424e-09,6.2854e-08,1.0000e-31
61.1610,3.2358e-09,6.5857e-08,1.0000e-31
62.1560,4.3847e-09,6.9620e-08,1.0000e-31
63.1500,5.6685e-09,7.7541e-08,1.0000e-31
64.1440,7.8042e-09,8.6086e-08,1.0000e-31
65.1390,1.2502e-08,1.1181e-07,1.0000e-31
66.1330,1.4263e-08,1.1137e-07,1.0000e-31
67.1280,1.4180e-08,1.0802e-07,1.0000e-31
68.1220,1.4439e-08,1.0757e-07,1.0000e-31
69.1170,1.4586e-08,1.0646e-07,1.0000e-31
70.1110,1.7055e-08,1.0271e-07,1.0000e-31
71.1060,1.5883e-08,1.0250e-07,1.0000e-31
72.1000,1.6907e-08,9.7879e-08,1.0000e-31
73.0940,1.7972e-08,9.7352e-08,1.0000e-31
74.0890,1.9052e-08,9.0814e-08,1.0000e-31
75.0830,2.0426e-08,8.7169e-08,1.0000e-31
76.0780,2.1400e-08,7.6161e-08,1.0000e-31
77.0720,2.2707e-08,5.3556e-08,1.0000e-31
78.0670,2.3915e-08,3.5534e-08,1.0000e-31
79.0610,2.2854e-08,3.3172e-08,1.0000e-31
80.0560,2.4982e-08,3.5904e-08,1.0000e-31
81.0500,2.2644e-08,3.3484e-08,1.0000e-31
82.0440,2.1697e-08,4.0326e-08,1.0000e-31
83.0390,2.3449e-08,3.6756e-08,1.0000e-31
84.0330,2.5794e-08,3.6763e-08,1.0000e-31
85.0280,2.5032e-08,3.8854e-08,1.0000e-31
86.0220,2.5067e-08,4.1195e-08,1.0000e-31
87.0170,2.3526e-08,3.8184e-08,1.0000e-31
88.0110,2.1457e-08,3.4142e-08,1.0000e-31
89.0060,1.9331e-08,3.1985e-08,1.0000e-31
