# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12bb for E = 100.0 keV, L* = 4.0, MLT = 10.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.1360e-09,1.1348e-08,3.5158e-08
1.4940,1.0219e-08,3.3112e-08,4.3120e-08
2.4890,2.8523e-08,6.1293e-08,5.8780e-08
3.4830,5.6190e-08,9.8030e-08,8.2188e-08
4.4780,9.3332e-08,1.4338e-07,1.1345e-07
5.4720,1.4003e-07,1.9867e-07,1.5274e-07
6.4670,1.9635e-07,2.6243e-07,2.0037e-07
7.4610,2.6230e-07,3.3515e-07,2.5661e-07
8.4560,3.3789e-07,4.1406e-07,3.2157e-07
9.4500,4.2309e-07,4.9960e-07,3.9555e-07
10.4440,5.1786e-07,5.9060e-07,4.7865e-07
11.4390,6.2216e-07,6.8526e-07,5.7068e-07
12.4330,7.3592e-07,7.8461e-07,6.7190e-07
13.4280,8.5909e-07,8.8679e-07,7.8226e-07
14.4220,9.9159e-07,9.9458e-07,9.0240e-07
15.4170,1.1333e-06,1.1087e-06,1.0329e-06
16.4110,1.2839e-06,1.2323e-06,1.1739e-06
17.4060,1.4433e-06,1.3623e-06,1.3260e-06
18.4000,1.6112e-06,1.5051e-06,1.4896e-06
19.3940,1.7874e-06,1.6633e-06,1.6655e-06
20.3890,1.9716e-06,1.8343e-06,1.8542e-06
21.3830,2.1635e-06,2.0183e-06,2.0567e-06
22.3780,2.3624e-06,2.2096e-06,2.2728e-06
23.3720,2.5676e-06,2.4093e-06,2.5033e-06
24.3670,2.7784e-06,2.6112e-06,2.7491e-06
25.3610,2.9936e-06,2.8186e-06,3.0098e-06
26.3560,3.2119e-06,3.0244e-06,3.2858e-06
27.3500,3.4322e-06,3.2297e-06,3.5778e-06
28.3440,3.6526e-06,3.4336e-06,3.8868e-06
29.3390,3.8754e-06,3.6387e-06,4.2151e-06
30.3330,4.1138e-06,3.8562e-06,4.5630e-06
31.3280,4.3481e-06,4.0904e-06,4.9292e-06
32.3220,4.5671e-06,4.3465e-06,5.3122e-06
33.3170,4.7802e-06,4.5916e-06,5.7099e-06
34.3110,4.9865e-06,4.8092e-06,6.1204e-06
35.3060,5.1850e-06,5.0105e-06,6.5412e-06
36.3000,5.3751e-06,5.2057e-06,6.9653e-06
37.2940,5.5562e-06,5.3862e-06,7.3807e-06
38.2890,5.7290e-06,5.5374e-06,7.7957e-06
39.2830,5.8677e-06,5.6439e-06,8.2190e-06
40.2780,5.9803e-06,5.7051e-06,8.6673e-06
41.2720,6.1969e-06,5.7159e-06,9.1349e-06
42.2670,6.3511e-06,5.6681e-06,9.6033e-06
43.2610,6.4898e-06,5.6688e-06,1.0050e-05
44.2560,6.6274e-06,5.6963e-06,1.0492e-05
45.2500,6.7639e-06,5.7045e-06,1.0919e-05
46.2440,6.9054e-06,5.6956e-06,1.1335e-05
47.2390,7.0447e-06,5.6848e-06,1.1722e-05
48.2330,7.1861e-06,5.6978e-06,1.2027e-05
49.2280,7.3231e-06,5.7418e-06,1.2319e-05
50.2220,7.3290e-06,5.8086e-06,1.2541e-05
51.2170,7.1349e-06,5.7793e-06,1.2681e-05
52.2110,7.0995e-06,5.6908e-06,1.2761e-05
53.2060,7.1084e-06,5.6827e-06,1.2917e-05
54.2000,7.0871e-06,5.6514e-06,1.3048e-05
55.1940,7.0365e-06,5.5878e-06,1.3149e-05
56.1890,6.9533e-06,5.5223e-06,1.3268e-05
57.1830,6.8256e-06,5.4597e-06,1.3392e-05
58.1780,6.6877e-06,5.3995e-06,1.3505e-05
59.1720,6.5291e-06,5.3546e-06,1.3576e-05
60.1670,6.3585e-06,5.2357e-06,1.3599e-05
61.1610,6.0348e-06,5.1207e-06,1.3502e-05
62.1560,5.6203e-06,4.9337e-06,1.3071e-05
63.1500,5.4076e-06,4.7495e-06,1.2492e-05
64.1440,5.4601e-06,4.5226e-06,1.1721e-05
65.1390,5.3805e-06,4.3477e-06,1.1045e-05
66.1330,5.2203e-06,4.3598e-06,1.0714e-05
67.1280,5.0316e-06,4.3509e-06,1.0220e-05
68.1220,4.8212e-06,4.2828e-06,9.5766e-06
69.1170,4.5845e-06,4.2009e-06,8.8188e-06
70.1110,4.3264e-06,3.9864e-06,8.0572e-06
71.1060,4.0389e-06,3.8245e-06,7.1867e-06
72.1000,2.9690e-06,3.6744e-06,6.2420e-06
73.0940,2.3474e-06,3.4290e-06,5.2848e-06
74.0890,1.9756e-06,3.3787e-06,4.3768e-06
75.0830,1.7488e-06,3.3880e-06,3.8058e-06
76.0780,1.6727e-06,3.6345e-06,3.3773e-06
77.0720,2.3135e-06,4.2388e-06,3.2718e-06
78.0670,1.1959e-06,4.2982e-06,2.8501e-06
79.0610,1.0044e-06,4.2784e-06,2.5313e-06
80.0560,9.0043e-07,3.8537e-06,2.0512e-06
81.0500,8.1323e-07,3.6844e-06,1.9421e-06
82.0440,7.3479e-07,3.5649e-06,1.8383e-06
83.0390,6.5157e-07,3.3043e-06,1.7661e-06
84.0330,5.3278e-07,2.8739e-06,1.4689e-06
85.0280,3.8338e-07,2.3275e-06,1.2410e-06
86.0220,2.1136e-07,1.7054e-06,9.7588e-07
87.0170,1.7947e-09,1.0892e-06,7.0391e-07
88.0110,7.2403e-12,4.9287e-07,4.1634e-07
89.0060,1.0000e-31,1.7407e-07,1.7835e-07
