# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12c for E = 5000.0 keV, L* = 4.0, MLT = 7.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,5.5408e-19,7.5320e-16,4.1819e-13
1.4940,2.7475e-17,9.0993e-15,3.8328e-12
2.4890,1.9346e-16,3.4951e-14,1.1106e-11
3.4830,7.9212e-16,9.2149e-14,2.3140e-11
4.4780,2.5272e-15,1.9612e-13,4.1371e-11
5.4720,6.9908e-15,3.7011e-13,6.7780e-11
6.4670,1.7606e-14,6.3924e-13,1.0474e-10
7.4610,4.1363e-14,1.0480e-12,1.5496e-10
8.4560,9.1720e-14,1.6439e-12,2.2179e-10
9.4500,1.9270e-13,2.5178e-12,3.0977e-10
10.4440,3.8313e-13,3.7810e-12,4.2216e-10
11.4390,7.1832e-13,5.5828e-12,5.5554e-10
12.4330,1.2667e-12,8.1971e-12,7.0829e-10
13.4280,2.1097e-12,1.1920e-11,8.9667e-10
14.4220,3.3740e-12,1.7303e-11,1.1361e-09
15.4170,5.2988e-12,2.4899e-11,1.4284e-09
16.4110,8.2859e-12,3.5704e-11,1.6579e-09
17.4060,1.2953e-11,5.0424e-11,1.8348e-09
18.4000,2.1703e-11,7.2431e-11,2.0695e-09
19.3940,4.6065e-11,1.0307e-10,2.3792e-09
20.3890,9.0377e-11,1.4118e-10,2.5569e-09
21.3830,1.2814e-10,1.9640e-10,2.7332e-09
22.3780,1.8682e-10,2.7534e-10,3.0216e-09
23.3720,2.4701e-10,3.9486e-10,3.3265e-09
24.3670,5.7895e-10,6.2949e-10,3.6577e-09
25.3610,7.9626e-10,9.6543e-10,4.1690e-09
26.3560,2.0873e-09,1.5221e-09,5.1033e-09
27.3500,2.2372e-09,1.7002e-09,5.3115e-09
28.3440,2.5086e-09,1.9789e-09,5.5162e-09
29.3390,2.6241e-09,2.8535e-09,5.9834e-09
30.3330,2.8435e-09,3.1068e-09,7.2496e-09
31.3280,4.2212e-09,3.3915e-09,7.3805e-09
32.3220,5.1263e-09,3.9585e-09,7.6519e-09
33.3170,8.5463e-09,5.4761e-09,8.0090e-09
34.3110,1.3896e-08,7.5307e-09,9.0297e-09
35.3060,1.5923e-08,7.0364e-09,9.6463e-09
36.3000,1.4216e-08,6.7978e-09,1.0560e-08
37.2940,1.3155e-08,6.2917e-09,1.1762e-08
38.2890,1.2136e-08,5.8779e-09,1.2974e-08
39.2830,1.1190e-08,5.5784e-09,1.4733e-08
40.2780,9.7024e-09,5.3158e-09,1.5872e-08
41.2720,8.8545e-09,5.0315e-09,1.7301e-08
42.2670,7.4070e-09,4.5767e-09,1.8854e-08
43.2610,4.4878e-09,4.1638e-09,2.0763e-08
44.2560,1.8505e-09,4.1509e-09,2.1798e-08
45.2500,1.8460e-09,3.7719e-09,2.1981e-08
46.2440,1.9168e-09,3.7324e-09,2.2151e-08
47.2390,2.0719e-09,3.7279e-09,2.2637e-08
48.2330,2.3691e-09,3.8049e-09,2.3462e-08
49.2280,2.8607e-09,3.9584e-09,2.3899e-08
50.2220,3.4427e-09,4.2812e-09,2.3764e-08
51.2170,4.4749e-09,4.5429e-09,2.3896e-08
52.2110,5.7623e-09,5.0204e-09,2.4470e-08
53.2060,8.1573e-09,6.1223e-09,2.5267e-08
54.2000,1.3635e-08,8.1323e-09,2.7051e-08
55.1940,1.2989e-08,7.9125e-09,2.7275e-08
56.1890,1.2498e-08,7.6378e-09,2.7467e-08
57.1830,1.2007e-08,7.2963e-09,2.8304e-08
58.1780,1.1542e-08,7.2255e-09,3.0126e-08
59.1720,1.1043e-08,6.9312e-09,3.2488e-08
60.1670,1.0777e-08,6.8456e-09,3.4929e-08
61.1610,1.0384e-08,6.6866e-09,3.7247e-08
62.1560,1.0123e-08,6.6601e-09,4.0561e-08
63.1500,9.4884e-09,6.5262e-09,4.4310e-08
64.1440,9.0124e-09,6.4489e-09,4.9168e-08
65.1390,7.4843e-09,6.3316e-09,5.6558e-08
66.1330,7.0862e-09,6.3147e-09,5.8470e-08
67.1280,7.0842e-09,6.3322e-09,5.9722e-08
68.1220,7.0817e-09,6.4526e-09,6.2169e-08
69.1170,7.0104e-09,6.6952e-09,6.4504e-08
70.1110,7.0180e-09,6.8318e-09,6.6955e-08
71.1060,6.9485e-09,7.1296e-09,7.0722e-08
72.1000,6.6636e-09,7.5371e-09,7.4391e-08
73.0940,6.4248e-09,7.9729e-09,7.9252e-08
74.0890,6.0257e-09,8.5138e-09,8.2919e-08
75.0830,5.6950e-09,8.8638e-09,8.9815e-08
76.0780,5.2105e-09,9.8940e-09,9.5399e-08
77.0720,4.0038e-09,9.8293e-09,1.0402e-07
78.0670,2.5758e-09,1.0745e-08,1.0967e-07
79.0610,2.6365e-09,1.0710e-08,1.1275e-07
80.0560,2.7201e-09,1.0033e-08,1.0935e-07
81.0500,2.5321e-09,1.0381e-08,1.1061e-07
82.0440,2.6589e-09,1.0615e-08,1.2234e-07
83.0390,3.0450e-09,1.1089e-08,1.0438e-07
84.0330,2.5896e-09,1.1051e-08,1.1221e-07
85.0280,2.9586e-09,1.1675e-08,1.1166e-07
86.0220,2.8983e-09,1.2579e-08,1.1279e-07
87.0170,2.8860e-09,1.3014e-08,1.0508e-07
88.0110,2.7540e-09,1.1882e-08,1.0948e-07
89.0060,2.3970e-09,1.0849e-08,1.0691e-07
