# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12cc for E = 100.0 keV, L* = 4.0, MLT = 13.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,5.7173e-10,6.1340e-09,1.6863e-08
1.4940,5.1454e-09,1.1653e-08,2.3498e-08
2.4890,1.4376e-08,1.9846e-08,3.6608e-08
3.4830,2.8362e-08,3.1058e-08,5.6335e-08
4.4780,4.7200e-08,4.5317e-08,8.2787e-08
5.4720,7.0981e-08,6.3005e-08,1.1589e-07
6.4670,9.9794e-08,8.3878e-08,1.5599e-07
7.4610,1.3372e-07,1.0831e-07,2.0342e-07
8.4560,1.7282e-07,1.3573e-07,2.5852e-07
9.4500,2.1715e-07,1.6633e-07,3.2048e-07
10.4440,2.6676e-07,1.9948e-07,3.9028e-07
11.4390,3.2164e-07,2.3466e-07,4.6809e-07
12.4330,3.8180e-07,2.7238e-07,5.5442e-07
13.4280,4.4718e-07,3.1189e-07,6.4957e-07
14.4220,5.1768e-07,3.5374e-07,7.5419e-07
15.4170,5.9318e-07,3.9718e-07,8.6873e-07
16.4110,6.7349e-07,4.4321e-07,9.9347e-07
17.4060,7.5860e-07,4.9133e-07,1.1289e-06
18.4000,8.4850e-07,5.4211e-07,1.2754e-06
19.3940,9.4279e-07,5.9503e-07,1.4332e-06
20.3890,1.0407e-06,6.4969e-07,1.6022e-06
21.3830,1.1419e-06,7.0638e-07,1.7830e-06
22.3780,1.2464e-06,7.6341e-07,1.9757e-06
23.3720,1.3538e-06,8.2161e-07,2.1798e-06
24.3670,1.4637e-06,8.7985e-07,2.3940e-06
25.3610,1.5756e-06,9.3828e-07,2.6206e-06
26.3560,1.6888e-06,9.9581e-07,2.8591e-06
27.3500,1.8027e-06,1.0531e-06,3.1091e-06
28.3440,1.9164e-06,1.1093e-06,3.3665e-06
29.3390,2.0291e-06,1.1640e-06,3.6368e-06
30.3330,2.1403e-06,1.2185e-06,3.9224e-06
31.3280,2.2555e-06,1.2727e-06,4.2158e-06
32.3220,2.3646e-06,1.3379e-06,4.5180e-06
33.3170,2.4645e-06,1.4131e-06,4.8280e-06
34.3110,2.5579e-06,1.4786e-06,5.1455e-06
35.3060,2.6437e-06,1.5319e-06,5.4684e-06
36.3000,2.7206e-06,1.5848e-06,5.7949e-06
37.2940,2.7877e-06,1.6377e-06,6.1282e-06
38.2890,2.8443e-06,1.6907e-06,6.4585e-06
39.2830,2.8899e-06,1.7453e-06,6.7790e-06
40.2780,2.9242e-06,1.8105e-06,7.0945e-06
41.2720,3.0208e-06,1.9108e-06,7.4211e-06
42.2670,3.1230e-06,2.0033e-06,7.7812e-06
43.2610,3.1442e-06,2.1384e-06,8.1088e-06
44.2560,3.1589e-06,2.2137e-06,8.4208e-06
45.2500,3.1681e-06,2.2936e-06,8.6972e-06
46.2440,3.1724e-06,2.3756e-06,8.9596e-06
47.2390,3.1710e-06,2.4482e-06,9.2536e-06
48.2330,3.1613e-06,2.5160e-06,9.5005e-06
49.2280,3.1377e-06,2.5793e-06,9.6920e-06
50.2220,3.0948e-06,2.6459e-06,9.9033e-06
51.2170,2.9732e-06,2.6315e-06,1.0122e-05
52.2110,2.7460e-06,2.4745e-06,1.0342e-05
53.2060,2.6532e-06,2.4111e-06,1.0542e-05
54.2000,2.4985e-06,2.4843e-06,1.0610e-05
55.1940,2.3236e-06,2.4604e-06,1.0613e-05
56.1890,2.1312e-06,2.4274e-06,1.0571e-05
57.1830,1.9282e-06,2.3844e-06,1.0486e-05
58.1780,1.7263e-06,2.3334e-06,1.0382e-05
59.1720,1.5352e-06,2.2745e-06,1.0258e-05
60.1670,1.3592e-06,2.2014e-06,1.0154e-05
61.1610,1.2185e-06,2.1084e-06,1.0045e-05
62.1560,1.0430e-06,2.0177e-06,9.8486e-06
63.1500,5.1546e-07,1.8219e-06,9.4231e-06
64.1440,4.2800e-07,1.5323e-06,8.7152e-06
65.1390,4.3836e-07,1.0665e-06,8.3865e-06
66.1330,4.3138e-07,1.0408e-06,8.2191e-06
67.1280,4.2840e-07,1.0118e-06,8.0644e-06
68.1220,4.2848e-07,9.8052e-07,7.9257e-06
69.1170,4.3065e-07,9.4868e-07,7.6917e-06
70.1110,4.3420e-07,9.0843e-07,7.5060e-06
71.1060,4.3921e-07,8.5645e-07,7.3953e-06
72.1000,4.4620e-07,7.7694e-07,7.2287e-06
73.0940,4.5697e-07,6.9276e-07,6.9289e-06
74.0890,3.7546e-07,5.8438e-07,6.4296e-06
75.0830,2.2897e-07,5.0809e-07,5.4854e-06
76.0780,2.0370e-07,4.0089e-07,4.7706e-06
77.0720,1.5714e-07,3.3054e-07,4.0448e-06
78.0670,1.7116e-07,3.3280e-07,3.3005e-06
79.0610,2.7209e-07,3.4135e-07,2.4479e-06
80.0560,2.0790e-07,3.5114e-07,1.9702e-06
81.0500,1.1783e-07,3.2983e-07,1.6582e-06
82.0440,4.9628e-08,2.8990e-07,9.4201e-07
83.0390,3.8070e-09,2.4182e-07,6.5169e-07
84.0330,4.4122e-14,1.8131e-07,6.1057e-07
85.0280,1.0000e-31,1.1731e-07,5.1340e-07
86.0220,1.0000e-31,6.0638e-08,4.3550e-07
87.0170,1.0000e-31,2.0320e-08,3.9795e-07
88.0110,1.0000e-31,4.1406e-09,3.1933e-07
89.0060,1.0000e-31,6.4666e-10,1.1622e-07
