# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12d for E = 5000.0 keV, L* = 4.0, MLT = 10.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.4337e-19,3.9336e-13,1.1134e-11
1.4940,1.2363e-17,3.6200e-12,1.0059e-10
2.4890,8.8659e-17,1.0426e-11,2.8316e-10
3.4830,3.6341e-16,2.1746e-11,5.6464e-10
4.4780,1.1489e-15,3.8665e-11,9.5226e-10
5.4720,3.1499e-15,6.3402e-11,1.4540e-09
6.4670,7.9209e-15,9.8199e-11,2.0786e-09
7.4610,1.8799e-14,1.4754e-10,2.8357e-09
8.4560,4.2749e-14,2.1585e-10,3.7333e-09
9.4500,9.3743e-14,3.1202e-10,4.7810e-09
10.4440,1.9870e-13,4.4647e-10,6.0029e-09
11.4390,4.0741e-13,6.3307e-10,7.4285e-09
12.4330,8.0888e-13,8.9837e-10,8.9901e-09
13.4280,1.5593e-12,1.2722e-09,1.0804e-08
14.4220,2.9323e-12,1.8162e-09,1.2948e-08
15.4170,5.4052e-12,2.6142e-09,1.5317e-08
16.4110,9.7965e-12,4.0307e-09,1.7531e-08
17.4060,1.7573e-11,6.4492e-09,1.9797e-08
18.4000,3.1830e-11,9.8702e-09,2.2240e-08
19.3940,5.8620e-11,1.5801e-08,2.4561e-08
20.3890,9.9989e-11,1.7878e-08,2.6271e-08
21.3830,1.6124e-10,2.0249e-08,2.8172e-08
22.3780,2.4901e-10,2.2807e-08,3.0266e-08
23.3720,3.7431e-10,2.5734e-08,3.1384e-08
24.3670,5.7088e-10,2.8008e-08,3.1764e-08
25.3610,8.4489e-10,2.8867e-08,3.1936e-08
26.3560,1.5891e-09,2.0384e-08,3.3300e-08
27.3500,2.5942e-09,2.3452e-08,3.1725e-08
28.3440,3.6180e-09,2.7488e-08,3.0420e-08
29.3390,4.4466e-09,3.1612e-08,2.9327e-08
30.3330,5.7695e-09,3.8255e-08,2.8778e-08
31.3280,1.1251e-08,4.8133e-08,2.7850e-08
32.3220,1.4389e-08,6.2308e-08,2.7544e-08
33.3170,2.8260e-08,9.3038e-08,2.7772e-08
34.3110,4.5901e-08,1.6628e-07,2.8329e-08
35.3060,5.2992e-08,1.6228e-07,2.7780e-08
36.3000,4.9342e-08,1.5326e-07,2.7483e-08
37.2940,4.6351e-08,1.4422e-07,2.7293e-08
38.2890,4.3531e-08,1.3606e-07,2.7501e-08
39.2830,4.1695e-08,1.2460e-07,2.7738e-08
40.2780,3.9073e-08,1.1215e-07,2.7406e-08
41.2720,3.7205e-08,1.0048e-07,2.7229e-08
42.2670,3.6275e-08,8.4400e-08,2.7252e-08
43.2610,3.4588e-08,5.0833e-08,2.8461e-08
44.2560,3.4138e-08,3.0684e-08,2.8021e-08
45.2500,3.2114e-08,2.9630e-08,2.6560e-08
46.2440,3.0308e-08,2.8022e-08,2.5299e-08
47.2390,2.8435e-08,2.7218e-08,2.4287e-08
48.2330,2.6762e-08,2.5844e-08,2.4263e-08
49.2280,2.5031e-08,2.5110e-08,2.3514e-08
50.2220,2.3421e-08,2.4408e-08,2.3468e-08
51.2170,2.1161e-08,2.3404e-08,2.3710e-08
52.2110,1.9133e-08,2.1995e-08,2.5706e-08
53.2060,1.6157e-08,2.0002e-08,2.9361e-08
54.2000,1.0920e-08,1.5245e-08,3.4577e-08
55.1940,1.0483e-08,1.4725e-08,3.3858e-08
56.1890,1.0064e-08,1.4269e-08,3.3515e-08
57.1830,9.7248e-09,1.3830e-08,3.2883e-08
58.1780,9.3647e-09,1.3491e-08,3.2510e-08
59.1720,8.9583e-09,1.2845e-08,3.2055e-08
60.1670,8.5901e-09,1.2158e-08,3.1391e-08
61.1610,8.1764e-09,1.1405e-08,3.0277e-08
62.1560,7.9045e-09,1.0773e-08,2.9058e-08
63.1500,7.2786e-09,9.7384e-09,2.7889e-08
64.1440,6.5827e-09,8.3640e-09,2.6691e-08
65.1390,5.0530e-09,4.9204e-09,2.3862e-08
66.1330,4.4590e-09,4.5282e-09,2.3413e-08
67.1280,4.4325e-09,4.6118e-09,2.3416e-08
68.1220,4.6011e-09,4.6724e-09,2.3155e-08
69.1170,4.3929e-09,4.7585e-09,2.2254e-08
70.1110,4.3099e-09,4.8434e-09,2.1549e-08
71.1060,4.2115e-09,4.9094e-09,2.0390e-08
72.1000,4.0482e-09,5.0005e-09,2.0754e-08
73.0940,3.9938e-09,5.1291e-09,2.0699e-08
74.0890,3.6546e-09,5.2217e-09,2.0297e-08
75.0830,3.3935e-09,5.4157e-09,2.0573e-08
76.0780,2.9559e-09,5.5102e-09,2.0239e-08
77.0720,2.0835e-09,5.6829e-09,2.1824e-08
78.0670,1.1261e-09,5.8521e-09,2.3959e-08
79.0610,1.2003e-09,6.0858e-09,2.0743e-08
80.0560,1.2052e-09,5.3416e-09,2.0881e-08
81.0500,1.1321e-09,5.6647e-09,2.0180e-08
82.0440,1.2307e-09,6.3078e-09,2.0845e-08
83.0390,1.3051e-09,5.6348e-09,1.8374e-08
84.0330,1.3585e-09,6.3507e-09,1.5869e-08
85.0280,1.3629e-09,6.5260e-09,1.5286e-08
86.0220,1.2862e-09,6.5988e-09,1.5399e-08
87.0170,1.3546e-09,6.1619e-09,1.5079e-08
88.0110,1.4060e-09,5.3689e-09,1.4695e-08
89.0060,1.2894e-09,5.3568e-09,1.4540e-08
