# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12dd for E = 100.0 keV, L* = 4.0, MLT = 16.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.9676e-13,1.0000e-31,4.1170e-14
1.4940,2.7215e-12,1.0000e-31,3.7035e-13
2.4890,7.8882e-12,1.0000e-31,1.0338e-12
3.4830,1.6412e-11,1.0000e-31,2.0368e-12
4.4780,2.9219e-11,1.0000e-31,3.3837e-12
5.4720,4.7581e-11,1.0000e-31,5.0776e-12
6.4670,7.3154e-11,1.0000e-31,7.1207e-12
7.4610,1.0803e-10,1.0000e-31,9.5138e-12
8.4560,1.5480e-10,1.0000e-31,1.2257e-11
9.4500,2.1664e-10,1.0000e-31,1.5351e-11
10.4440,2.9737e-10,1.0000e-31,1.8791e-11
11.4390,4.0163e-10,1.0000e-31,2.2580e-11
12.4330,5.3496e-10,1.0000e-31,2.6712e-11
13.4280,7.0401e-10,1.0000e-31,3.1187e-11
14.4220,9.1678e-10,1.0000e-31,3.6001e-11
15.4170,1.1828e-09,1.0000e-31,4.1152e-11
16.4110,1.5137e-09,1.0000e-31,4.6647e-11
17.4060,1.9235e-09,1.0000e-31,5.2496e-11
18.4000,2.4292e-09,1.0000e-31,5.8721e-11
19.3940,3.0518e-09,1.0000e-31,6.5315e-11
20.3890,3.8171e-09,1.0000e-31,7.2213e-11
21.3830,4.7575e-09,1.0000e-31,7.9440e-11
22.3780,5.9136e-09,1.0000e-31,8.7050e-11
23.3720,7.3376e-09,1.0000e-31,9.5199e-11
24.3670,9.0961e-09,1.0000e-31,1.0425e-10
25.3610,1.1276e-08,1.0000e-31,1.1438e-10
26.3560,1.3991e-08,1.0000e-31,1.2524e-10
27.3500,1.7391e-08,1.0000e-31,1.3549e-10
28.3440,2.1673e-08,1.0000e-31,1.4544e-10
29.3390,2.7095e-08,1.0000e-31,1.5563e-10
30.3330,3.3994e-08,1.0000e-31,1.7907e-10
31.3280,4.2797e-08,1.0000e-31,1.9137e-10
32.3220,5.4029e-08,1.0000e-31,2.0426e-10
33.3170,6.8297e-08,1.0000e-31,2.1808e-10
34.3110,8.6160e-08,1.0000e-31,2.3994e-10
35.3060,1.0802e-07,1.0000e-31,2.5728e-10
36.3000,1.3378e-07,1.0000e-31,2.7561e-10
37.2940,1.6231e-07,1.0000e-31,2.9661e-10
38.2890,1.9086e-07,1.0000e-31,3.2513e-10
39.2830,2.1506e-07,1.0000e-31,3.6190e-10
40.2780,2.3067e-07,1.0000e-31,3.8842e-10
41.2720,2.3749e-07,1.0000e-31,4.1533e-10
42.2670,2.3973e-07,1.0000e-31,4.4504e-10
43.2610,2.8125e-07,1.0000e-31,4.7799e-10
44.2560,2.8312e-07,1.0000e-31,5.0463e-10
45.2500,2.8330e-07,1.0000e-31,5.4456e-10
46.2440,2.8117e-07,1.0000e-31,5.8814e-10
47.2390,2.7565e-07,1.0000e-31,6.3576e-10
48.2330,2.6565e-07,1.0000e-31,6.8787e-10
49.2280,2.4921e-07,1.0000e-31,7.2979e-10
50.2220,2.2286e-07,1.0000e-31,7.9170e-10
51.2170,1.8732e-07,1.0000e-31,8.5967e-10
52.2110,1.5338e-07,1.0000e-31,9.3398e-10
53.2060,9.2429e-08,1.0000e-31,1.0131e-09
54.2000,9.9881e-08,1.0000e-31,1.0599e-09
55.1940,1.1398e-07,1.0000e-31,1.1418e-09
56.1890,1.2969e-07,1.0000e-31,1.2204e-09
57.1830,1.4687e-07,1.0000e-31,1.2913e-09
58.1780,1.6514e-07,1.0000e-31,1.3550e-09
59.1720,1.8397e-07,1.0000e-31,1.4057e-09
60.1670,2.0131e-07,1.0000e-31,1.4386e-09
61.1610,2.1220e-07,1.0000e-31,1.4886e-09
62.1560,2.1684e-07,1.0000e-31,1.5394e-09
63.1500,2.1626e-07,1.0000e-31,1.5900e-09
64.1440,2.1113e-07,1.0000e-31,1.6384e-09
65.1390,2.5692e-07,1.0000e-31,1.8005e-09
66.1330,2.4821e-07,1.0000e-31,1.8480e-09
67.1280,2.3714e-07,1.0000e-31,1.8719e-09
68.1220,2.2360e-07,1.0000e-31,1.8675e-09
69.1170,2.0786e-07,1.0000e-31,1.8125e-09
70.1110,1.9058e-07,1.0000e-31,1.7035e-09
71.1060,1.7274e-07,1.0000e-31,1.5013e-09
72.1000,1.5650e-07,1.0000e-31,1.2507e-09
73.0940,1.4381e-07,1.0000e-31,9.3724e-10
74.0890,1.3640e-07,1.0000e-31,6.9240e-10
75.0830,1.3468e-07,1.0000e-31,5.5457e-10
76.0780,1.3541e-07,1.0000e-31,4.1333e-10
77.0720,3.5403e-08,1.0000e-31,3.5568e-10
78.0670,3.1188e-08,1.0000e-31,2.7417e-10
79.0610,2.9082e-08,1.0000e-31,3.0107e-10
80.0560,2.8716e-08,1.0000e-31,3.3296e-10
81.0500,3.0462e-08,1.0000e-31,3.7184e-10
82.0440,3.4748e-08,1.0000e-31,4.2279e-10
83.0390,4.2792e-08,1.0000e-31,5.2276e-10
84.0330,6.0226e-08,1.0000e-31,7.9304e-10
85.0280,1.0604e-07,1.0000e-31,9.8622e-10
86.0220,3.3086e-08,1.0000e-31,1.3662e-09
87.0170,1.0000e-31,1.0000e-31,2.8072e-09
88.0110,1.0000e-31,1.0000e-31,1.2263e-09
89.0060,1.0000e-31,1.0000e-31,7.5296e-12
