# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12e for E = 5000.0 keV, L* = 4.0, MLT = 13.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.3890e-21,8.6768e-13,2.8121e-11
1.4940,8.8869e-19,7.9069e-12,2.5432e-10
2.4890,1.5033e-17,2.2345e-11,7.1734e-10
3.4830,1.0056e-16,4.5317e-11,1.4346e-09
4.4780,4.3042e-16,7.7760e-11,2.4276e-09
5.4720,1.4217e-15,1.2216e-10,3.7216e-09
6.4670,3.9785e-15,1.8029e-10,5.3623e-09
7.4610,9.9659e-15,2.5671e-10,7.3844e-09
8.4560,2.3213e-14,3.5468e-10,9.7993e-09
9.4500,5.1745e-14,4.8228e-10,1.2603e-08
10.4440,1.1310e-13,6.4721e-10,1.5983e-08
11.4390,2.4701e-13,8.5889e-10,2.0191e-08
12.4330,5.4295e-13,1.1367e-09,2.4572e-08
13.4280,1.1871e-12,1.4970e-09,2.8271e-08
14.4220,2.5018e-12,1.9759e-09,3.1730e-08
15.4170,4.8694e-12,2.6142e-09,3.6122e-08
16.4110,8.4264e-12,3.5472e-09,4.0530e-08
17.4060,1.3028e-11,5.0538e-09,4.3319e-08
18.4000,1.9216e-11,7.2351e-09,4.6027e-08
19.3940,2.8246e-11,1.1094e-08,4.8809e-08
20.3890,4.6182e-11,1.1036e-08,5.0105e-08
21.3830,1.1217e-10,1.0926e-08,5.0548e-08
22.3780,1.6157e-10,1.0753e-08,4.9298e-08
23.3720,2.2393e-10,1.0430e-08,4.7883e-08
24.3670,3.5655e-10,9.7183e-09,4.5632e-08
25.3610,7.6792e-10,8.4818e-09,4.1893e-08
26.3560,1.9975e-09,6.0356e-09,3.3372e-08
27.3500,1.8650e-09,6.7043e-09,3.0453e-08
28.3440,1.7908e-09,7.6033e-09,2.7686e-08
29.3390,1.8709e-09,9.0646e-09,2.4460e-08
30.3330,1.9032e-09,1.1356e-08,1.8687e-08
31.3280,1.9732e-09,1.3543e-08,1.7791e-08
32.3220,2.4921e-09,1.6508e-08,1.6967e-08
33.3170,3.1391e-09,2.2089e-08,1.6909e-08
34.3110,4.9292e-09,3.5437e-08,1.5537e-08
35.3060,5.4934e-09,3.5911e-08,1.4934e-08
36.3000,5.2771e-09,3.6318e-08,1.4783e-08
37.2940,5.1315e-09,3.7427e-08,1.4806e-08
38.2890,5.0964e-09,3.9718e-08,1.5270e-08
39.2830,5.1425e-09,4.2404e-08,1.6286e-08
40.2780,5.3261e-09,4.5720e-08,1.6041e-08
41.2720,6.0304e-09,4.8737e-08,1.6887e-08
42.2670,7.1264e-09,4.9385e-08,1.8511e-08
43.2610,9.6499e-09,5.2049e-08,2.1254e-08
44.2560,1.1964e-08,4.9899e-08,2.3076e-08
45.2500,1.1430e-08,4.9112e-08,2.2613e-08
46.2440,1.0666e-08,4.8430e-08,2.2326e-08
47.2390,1.0127e-08,4.7582e-08,2.2280e-08
48.2330,9.6365e-09,4.6913e-08,2.2802e-08
49.2280,9.1227e-09,4.6647e-08,2.2913e-08
50.2220,8.6659e-09,4.5873e-08,2.2390e-08
51.2170,8.1807e-09,4.5219e-08,2.2218e-08
52.2110,7.7330e-09,4.4657e-08,2.1871e-08
53.2060,7.2118e-09,4.2542e-08,2.1475e-08
54.2000,6.3387e-09,3.2856e-08,2.1049e-08
55.1940,6.0798e-09,3.2187e-08,2.0219e-08
56.1890,5.8767e-09,3.1419e-08,1.9506e-08
57.1830,5.6431e-09,3.0663e-08,1.8769e-08
58.1780,5.4510e-09,2.9809e-08,1.8026e-08
59.1720,5.2639e-09,2.8791e-08,1.7185e-08
60.1670,5.0357e-09,2.7717e-08,1.6403e-08
61.1610,4.7434e-09,2.6344e-08,1.5698e-08
62.1560,4.3865e-09,2.4956e-08,1.4878e-08
63.1500,3.9781e-09,2.2702e-08,1.4122e-08
64.1440,3.3603e-09,1.8643e-08,1.3153e-08
65.1390,1.8809e-09,6.8790e-09,1.1484e-08
66.1330,1.3415e-09,5.8521e-09,1.1539e-08
67.1280,1.3426e-09,5.8362e-09,1.0654e-08
68.1220,1.3379e-09,5.8487e-09,1.0246e-08
69.1170,1.3295e-09,5.8624e-09,9.8209e-09
70.1110,1.3165e-09,5.8648e-09,9.2219e-09
71.1060,1.2928e-09,5.8490e-09,8.3705e-09
72.1000,1.2642e-09,5.8009e-09,8.3094e-09
73.0940,1.2275e-09,5.6782e-09,8.5073e-09
74.0890,1.2140e-09,5.4216e-09,8.5966e-09
75.0830,1.1113e-09,5.1505e-09,8.7870e-09
76.0780,9.9084e-10,4.9844e-09,9.1483e-09
77.0720,6.7507e-10,3.7898e-09,9.8422e-09
78.0670,3.9219e-10,2.7971e-09,9.9474e-09
79.0610,3.9370e-10,2.8721e-09,1.0123e-08
80.0560,4.0147e-10,2.9580e-09,9.9782e-09
81.0500,4.7467e-10,2.9583e-09,9.7699e-09
82.0440,3.8604e-10,2.7421e-09,9.4038e-09
83.0390,5.0252e-10,2.4853e-09,8.6912e-09
84.0330,4.5224e-10,2.7265e-09,7.4258e-09
85.0280,5.1321e-10,3.0769e-09,7.5619e-09
86.0220,4.8555e-10,3.4326e-09,7.3633e-09
87.0170,4.8785e-10,3.6370e-09,7.4625e-09
88.0110,5.3415e-10,2.9185e-09,7.0105e-09
89.0060,5.2622e-10,1.8181e-09,6.6931e-09
