# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12ee for E = 100.0 keV, L* = 4.0, MLT = 19.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.3955e-12,1.0000e-31,4.8169e-18
1.4940,3.9582e-11,1.0000e-31,4.3713e-17
2.4890,1.1072e-10,1.0000e-31,1.2416e-16
3.4830,2.1882e-10,1.0000e-31,2.5102e-16
4.4780,3.6500e-10,1.0000e-31,4.3137e-16
5.4720,5.5046e-10,1.0000e-31,6.7490e-16
6.4670,7.7649e-10,1.0000e-31,9.9452e-16
7.4610,1.0444e-09,1.0000e-31,1.4075e-15
8.4560,1.3555e-09,1.0000e-31,1.9375e-15
9.4500,1.7111e-09,1.0000e-31,2.6179e-15
10.4440,2.1123e-09,1.0000e-31,3.4980e-15
11.4390,2.5600e-09,1.0000e-31,4.6525e-15
12.4330,3.0550e-09,1.0000e-31,6.1951e-15
13.4280,3.5973e-09,1.0000e-31,8.2982e-15
14.4220,4.1867e-09,1.0000e-31,1.1222e-14
15.4170,4.8222e-09,1.0000e-31,1.5349e-14
16.4110,5.5019e-09,1.0000e-31,2.1186e-14
17.4060,6.2229e-09,1.0000e-31,2.9319e-14
18.4000,6.9811e-09,1.0000e-31,4.0517e-14
19.3940,7.7710e-09,1.0000e-31,5.5788e-14
20.3890,8.5856e-09,1.0000e-31,7.6413e-14
21.3830,9.4210e-09,1.0000e-31,1.0398e-13
22.3780,1.0272e-08,1.0000e-31,1.4137e-13
23.3720,1.1133e-08,1.0000e-31,1.9638e-13
24.3670,1.1998e-08,1.0000e-31,2.8008e-13
25.3610,1.2866e-08,1.0000e-31,4.0912e-13
26.3560,1.3734e-08,1.0000e-31,6.0723e-13
27.3500,1.4607e-08,1.0000e-31,8.7067e-13
28.3440,1.5492e-08,1.0000e-31,1.2006e-12
29.3390,1.6402e-08,1.0000e-31,1.6038e-12
30.3330,1.7340e-08,1.0000e-31,2.1029e-12
31.3280,1.8317e-08,1.0000e-31,2.7457e-12
32.3220,1.9575e-08,1.0000e-31,3.6087e-12
33.3170,2.0877e-08,1.0000e-31,4.7788e-12
34.3110,2.2057e-08,1.0000e-31,6.2115e-12
35.3060,2.3270e-08,1.0000e-31,7.9194e-12
36.3000,2.4487e-08,1.0000e-31,9.9382e-12
37.2940,2.5672e-08,1.0000e-31,1.2392e-11
38.2890,2.6797e-08,1.0000e-31,1.7120e-11
39.2830,2.7889e-08,1.0000e-31,2.6090e-11
40.2780,2.8975e-08,1.0000e-31,4.0187e-11
41.2720,3.0083e-08,1.0000e-31,5.4433e-11
42.2670,3.1514e-08,1.0000e-31,6.8881e-11
43.2610,3.3789e-08,1.0000e-31,8.4199e-11
44.2560,3.5810e-08,1.0000e-31,1.0069e-10
45.2500,3.8380e-08,1.0000e-31,1.1877e-10
46.2440,4.1612e-08,1.0000e-31,1.3917e-10
47.2390,4.5548e-08,1.0000e-31,1.6180e-10
48.2330,5.0336e-08,1.0000e-31,1.8686e-10
49.2280,5.6122e-08,1.0000e-31,2.1458e-10
50.2220,6.2978e-08,1.0000e-31,2.4556e-10
51.2170,7.1161e-08,1.0000e-31,2.8032e-10
52.2110,8.0648e-08,1.0000e-31,3.1918e-10
53.2060,9.0350e-08,1.0000e-31,3.6921e-10
54.2000,1.0391e-07,1.0000e-31,4.4171e-10
55.1940,1.1957e-07,1.0000e-31,5.0986e-10
56.1890,1.3670e-07,1.0000e-31,5.8400e-10
57.1830,1.5488e-07,1.0000e-31,7.2534e-10
58.1780,1.7310e-07,1.0000e-31,1.0567e-09
59.1720,1.8981e-07,1.0000e-31,1.4954e-09
60.1670,2.0312e-07,1.0000e-31,1.7371e-09
61.1610,2.1129e-07,1.0000e-31,1.9195e-09
62.1560,2.1357e-07,1.0000e-31,2.2208e-09
63.1500,2.1178e-07,1.0000e-31,3.1361e-09
64.1440,2.4727e-07,1.0000e-31,4.1100e-09
65.1390,2.4993e-07,1.0000e-31,4.3515e-09
66.1330,2.4669e-07,1.0000e-31,4.4533e-09
67.1280,2.4281e-07,1.0000e-31,4.5333e-09
68.1220,2.3410e-07,1.0000e-31,4.5995e-09
69.1170,2.2289e-07,1.0000e-31,4.6553e-09
70.1110,2.1690e-07,1.0000e-31,4.7193e-09
71.1060,2.0305e-07,1.0000e-31,4.8382e-09
72.1000,1.8525e-07,1.0000e-31,5.1835e-09
73.0940,1.7388e-07,1.0000e-31,6.2665e-09
74.0890,1.7092e-07,1.0000e-31,7.9450e-09
75.0830,1.7426e-07,1.0000e-31,1.0078e-08
76.0780,1.6268e-07,1.0000e-31,1.5696e-08
77.0720,2.2381e-07,1.0000e-31,3.0227e-08
78.0670,2.2481e-07,1.0000e-31,4.1443e-08
79.0610,2.4329e-07,1.0000e-31,4.0629e-08
80.0560,2.7616e-07,1.0000e-31,3.5868e-08
81.0500,3.6110e-07,1.0000e-31,4.6123e-08
82.0440,2.4306e-07,1.0000e-31,5.5205e-08
83.0390,2.0184e-07,1.0000e-31,6.2140e-08
84.0330,2.3375e-07,1.0000e-31,5.5010e-08
85.0280,2.8509e-07,1.0000e-31,4.4510e-08
86.0220,2.2534e-07,1.0000e-31,3.3154e-08
87.0170,1.3157e-07,1.0000e-31,2.0626e-08
88.0110,2.0136e-09,1.0000e-31,8.1990e-09
89.0060,1.0000e-31,1.0000e-31,1.2566e-09
