# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12f for E = 5000.0 keV, L* = 4.0, MLT = 16.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.0000e-31,1.0000e-31,1.4713e-20
1.4940,1.0000e-31,1.0000e-31,2.4679e-19
2.4890,1.0000e-31,1.0000e-31,1.1013e-18
3.4830,1.0000e-31,1.0000e-31,3.1952e-18
4.4780,1.0000e-31,1.0000e-31,7.4464e-18
5.4720,1.0000e-31,1.0000e-31,1.5162e-17
6.4670,1.0000e-31,1.0000e-31,2.8210e-17
7.4610,1.0000e-31,1.0000e-31,4.9389e-17
8.4560,1.0000e-31,1.0000e-31,8.2995e-17
9.4500,1.0000e-31,1.0000e-31,1.3488e-16
10.4440,1.0000e-31,1.0000e-31,2.1336e-16
11.4390,1.0000e-31,1.0000e-31,3.5595e-16
12.4330,1.0000e-31,1.0000e-31,7.9974e-16
13.4280,1.0000e-31,1.0000e-31,2.0929e-15
14.4220,1.0000e-31,1.0000e-31,3.9323e-15
15.4170,1.0000e-31,1.0000e-31,5.8551e-15
16.4110,1.0000e-31,1.0000e-31,1.0724e-14
17.4060,1.0000e-31,1.0000e-31,1.6724e-14
18.4000,1.0000e-31,1.0000e-31,1.9650e-14
19.3940,1.0000e-31,1.0000e-31,2.8945e-14
20.3890,1.0000e-31,1.0000e-31,3.4609e-14
21.3830,1.0000e-31,1.0000e-31,4.0456e-14
22.3780,1.0000e-31,1.0000e-31,5.0188e-14
23.3720,1.0000e-31,1.0000e-31,7.4878e-14
24.3670,1.0000e-31,1.0000e-31,1.1220e-13
25.3610,1.0000e-31,1.0000e-31,1.7217e-13
26.3560,1.0000e-31,1.0000e-31,2.5472e-13
27.3500,7.8607e-28,1.0000e-31,3.9066e-13
28.3440,1.7091e-27,1.0000e-31,5.5476e-13
29.3390,2.6238e-27,1.0000e-31,8.4075e-13
30.3330,3.6269e-27,1.0000e-31,1.2268e-12
31.3280,4.7467e-27,1.0000e-31,1.2008e-12
32.3220,6.0171e-27,1.0000e-31,1.2068e-12
33.3170,7.4935e-27,1.0000e-31,1.2191e-12
34.3110,9.2923e-27,1.0000e-31,1.2786e-12
35.3060,1.1605e-26,1.0000e-31,1.2486e-12
36.3000,1.4598e-26,1.0000e-31,1.2091e-12
37.2940,1.8251e-26,1.0000e-31,1.1798e-12
38.2890,7.5989e-17,1.0000e-31,1.1559e-12
39.2830,6.9654e-14,1.0000e-31,1.1166e-12
40.2780,1.4059e-12,1.0000e-31,1.0512e-12
41.2720,1.0699e-11,1.0000e-31,9.8739e-13
42.2670,4.1195e-11,1.0000e-31,9.2611e-13
43.2610,1.0342e-10,1.0000e-31,8.5106e-13
44.2560,1.9806e-10,1.0000e-31,7.9367e-13
45.2500,1.8309e-10,1.0000e-31,7.4651e-13
46.2440,1.6896e-10,1.0000e-31,6.9798e-13
47.2390,1.5651e-10,1.0000e-31,6.4640e-13
48.2330,1.4550e-10,1.0000e-31,5.8864e-13
49.2280,1.3549e-10,1.0000e-31,5.3373e-13
50.2220,1.2623e-10,1.0000e-31,4.9298e-13
51.2170,1.1707e-10,1.0000e-31,4.4862e-13
52.2110,1.0735e-10,1.0000e-31,4.0009e-13
53.2060,8.2440e-11,1.0000e-31,3.4351e-13
54.2000,1.9874e-11,1.0000e-31,2.8225e-13
55.1940,1.8917e-11,1.0000e-31,2.7686e-13
56.1890,1.8165e-11,1.0000e-31,2.8046e-13
57.1830,1.7540e-11,1.0000e-31,2.9651e-13
58.1780,1.7056e-11,1.0000e-31,3.3093e-13
59.1720,1.6846e-11,1.0000e-31,3.8563e-13
60.1670,1.6825e-11,1.0000e-31,4.7340e-13
61.1610,1.7348e-11,1.0000e-31,5.9298e-13
62.1560,1.8180e-11,1.0000e-31,7.3188e-13
63.1500,2.2434e-11,1.0000e-31,8.8628e-13
64.1440,3.8645e-11,1.0000e-31,1.0573e-12
65.1390,9.1407e-11,1.0000e-31,1.3271e-12
66.1330,1.0971e-10,1.0000e-31,1.3721e-12
67.1280,1.0986e-10,1.0000e-31,1.3541e-12
68.1220,1.0985e-10,1.0000e-31,1.3348e-12
69.1170,1.1067e-10,1.0000e-31,1.3235e-12
70.1110,1.1191e-10,1.0000e-31,1.3355e-12
71.1060,1.1329e-10,1.0000e-31,1.3963e-12
72.1000,1.1488e-10,1.0000e-31,1.5514e-12
73.0940,1.1650e-10,1.0000e-31,1.8409e-12
74.0890,1.1795e-10,1.0000e-31,2.2659e-12
75.0830,1.1370e-10,1.0000e-31,2.8116e-12
76.0780,9.9960e-11,1.0000e-31,3.4379e-12
77.0720,6.9319e-11,1.0000e-31,4.1880e-12
78.0670,2.6701e-11,1.0000e-31,4.7384e-12
79.0610,2.8743e-11,1.0000e-31,4.9461e-12
80.0560,3.1975e-11,1.0000e-31,5.0684e-12
81.0500,3.6017e-11,1.0000e-31,5.1495e-12
82.0440,4.0138e-11,1.0000e-31,5.1119e-12
83.0390,4.2115e-11,1.0000e-31,5.1779e-12
84.0330,4.3607e-11,1.0000e-31,5.2568e-12
85.0280,5.0231e-11,1.0000e-31,5.0503e-12
86.0220,4.7248e-11,1.0000e-31,4.9316e-12
87.0170,5.1034e-11,1.0000e-31,5.3898e-12
88.0110,4.9861e-11,1.0000e-31,4.3613e-12
89.0060,5.7847e-11,1.0000e-31,5.2212e-12
