# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12ff for E = 100.0 keV, L* = 4.0, MLT = 22.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,8.7831e-11,1.3412e-08,1.2091e-10
1.4940,7.9098e-10,1.4117e-08,1.0900e-09
2.4890,2.2129e-09,1.5369e-08,3.0558e-09
3.4830,4.3747e-09,1.7116e-08,6.0595e-09
4.4780,7.3002e-09,1.9236e-08,1.0153e-08
5.4720,1.1016e-08,2.1690e-08,1.5400e-08
6.4670,1.5552e-08,2.4362e-08,2.1875e-08
7.4610,2.0941e-08,2.7266e-08,2.9666e-08
8.4560,2.7218e-08,3.0332e-08,3.8877e-08
9.4500,3.4422e-08,3.3639e-08,4.9622e-08
10.4440,4.2594e-08,3.7208e-08,6.2036e-08
11.4390,5.1779e-08,4.0905e-08,7.6268e-08
12.4330,6.2025e-08,4.4817e-08,9.2486e-08
13.4280,7.3383e-08,4.9019e-08,1.1088e-07
14.4220,8.5904e-08,5.3856e-08,1.3165e-07
15.4170,9.9647e-08,5.9499e-08,1.5505e-07
16.4110,1.1467e-07,6.6360e-08,1.8131e-07
17.4060,1.3104e-07,7.4733e-08,2.1074e-07
18.4000,1.4881e-07,8.4982e-08,2.4366e-07
19.3940,1.6807e-07,9.7031e-08,2.8042e-07
20.3890,1.8887e-07,1.1070e-07,3.2141e-07
21.3830,2.1130e-07,1.2619e-07,3.6705e-07
22.3780,2.3544e-07,1.4319e-07,4.1784e-07
23.3720,2.6138e-07,1.6194e-07,4.7429e-07
24.3670,2.8920e-07,1.8224e-07,5.3700e-07
25.3610,3.1900e-07,2.0503e-07,6.0663e-07
26.3560,3.5088e-07,2.3015e-07,6.8394e-07
27.3500,3.8496e-07,2.5802e-07,7.6956e-07
28.3440,4.2135e-07,2.8865e-07,8.6439e-07
29.3390,4.6018e-07,3.2194e-07,9.6960e-07
30.3330,5.0158e-07,3.5861e-07,1.0864e-06
31.3280,5.4570e-07,3.9836e-07,1.2162e-06
32.3220,5.9268e-07,4.4205e-07,1.3605e-06
33.3170,6.4268e-07,4.8883e-07,1.5208e-06
34.3110,6.9589e-07,5.4064e-07,1.6986e-06
35.3060,7.5246e-07,5.9687e-07,1.8969e-06
36.3000,8.1258e-07,6.5886e-07,2.1193e-06
37.2940,8.7644e-07,7.2664e-07,2.3672e-06
38.2890,9.4421e-07,8.0005e-07,2.6432e-06
39.2830,1.0162e-06,8.8093e-07,2.9506e-06
40.2780,1.0929e-06,9.6849e-07,3.2907e-06
41.2720,1.1740e-06,1.0646e-06,3.6649e-06
42.2670,1.2593e-06,1.1696e-06,4.0758e-06
43.2610,1.3491e-06,1.2849e-06,4.5267e-06
44.2560,1.4435e-06,1.4089e-06,5.0153e-06
45.2500,1.5423e-06,1.5464e-06,5.5339e-06
46.2440,1.6454e-06,1.6995e-06,6.0711e-06
47.2390,1.7522e-06,1.8695e-06,6.5952e-06
48.2330,1.8622e-06,2.0631e-06,7.0858e-06
49.2280,1.9747e-06,2.2809e-06,7.5308e-06
50.2220,2.0884e-06,2.5308e-06,7.8989e-06
51.2170,2.2110e-06,2.8099e-06,8.1622e-06
52.2110,2.3312e-06,3.1177e-06,8.2943e-06
53.2060,2.4417e-06,3.4566e-06,8.2613e-06
54.2000,2.5486e-06,3.8411e-06,8.0842e-06
55.1940,2.6505e-06,4.2676e-06,7.8316e-06
56.1890,2.7457e-06,4.7223e-06,7.4697e-06
57.1830,2.8318e-06,5.1917e-06,6.9937e-06
58.1780,2.9113e-06,5.6687e-06,6.5736e-06
59.1720,2.9905e-06,6.1719e-06,6.2544e-06
60.1670,3.0645e-06,6.7073e-06,6.1433e-06
61.1610,3.2037e-06,7.4389e-06,6.5978e-06
62.1560,3.4084e-06,8.2631e-06,7.4532e-06
63.1500,3.5781e-06,9.1040e-06,8.2008e-06
64.1440,3.6743e-06,9.8944e-06,9.0892e-06
65.1390,3.7637e-06,1.0712e-05,1.0202e-05
66.1330,3.8563e-06,1.1621e-05,1.1116e-05
67.1280,3.9478e-06,1.2602e-05,1.1493e-05
68.1220,4.0422e-06,1.3575e-05,1.2262e-05
69.1170,4.1353e-06,1.4472e-05,1.3155e-05
70.1110,4.2221e-06,1.5280e-05,1.4341e-05
71.1060,4.4199e-06,1.6083e-05,1.4908e-05
72.1000,4.6990e-06,1.6683e-05,1.3960e-05
73.0940,4.6825e-06,1.7675e-05,1.2757e-05
74.0890,4.6153e-06,1.8337e-05,1.1596e-05
75.0830,4.7162e-06,1.8011e-05,9.3656e-06
76.0780,5.4602e-06,2.0049e-05,7.3619e-06
77.0720,4.3042e-06,1.6266e-05,7.8250e-06
78.0670,2.8733e-06,1.5217e-05,6.4240e-06
79.0610,1.9911e-06,1.1513e-05,5.1604e-06
80.0560,1.3378e-06,1.0697e-05,4.6267e-06
81.0500,7.1357e-07,1.0131e-05,4.1427e-06
82.0440,4.8151e-07,9.3044e-06,2.1461e-06
83.0390,4.4834e-07,8.0786e-06,2.6934e-07
84.0330,3.0588e-07,6.3605e-06,1.0000e-31
85.0280,1.2972e-07,4.2989e-06,1.0000e-31
86.0220,2.6323e-08,2.5519e-06,1.0000e-31
87.0170,1.9373e-10,1.2938e-06,1.0000e-31
88.0110,2.6654e-13,4.8148e-07,1.0000e-31
89.0060,1.0000e-31,8.8104e-08,1.0000e-31
