# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12g for E = 5000.0 keV, L* = 4.0, MLT = 19.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.0737e-30,1.0000e-31,3.3689e-53
1.4940,2.3502e-29,1.0000e-31,2.5215e-47
2.4890,5.4913e-29,1.0000e-31,1.4223e-44
3.4830,9.8887e-29,1.0000e-31,9.5624e-43
4.4780,1.5717e-28,1.0000e-31,2.2859e-41
5.4720,2.3195e-28,1.0000e-31,2.9604e-40
6.4670,3.2572e-28,1.0000e-31,2.5534e-39
7.4610,1.1228e-21,1.0000e-31,1.6478e-38
8.4560,1.3498e-20,1.0000e-31,8.5517e-38
9.4500,8.7337e-20,1.0000e-31,3.7449e-37
10.4440,4.2365e-19,1.0000e-31,1.4312e-36
11.4390,1.7164e-18,1.0000e-31,4.8922e-36
12.4330,6.1240e-18,1.0000e-31,1.5240e-35
13.4280,1.9865e-17,1.0000e-31,4.3891e-35
14.4220,5.9834e-17,1.0000e-31,1.1823e-34
15.4170,1.6986e-16,1.0000e-31,3.0072e-34
16.4110,4.5912e-16,1.0000e-31,7.2776e-34
17.4060,1.1887e-15,1.0000e-31,1.6565e-33
18.4000,2.9524e-15,1.0000e-31,3.5498e-33
19.3940,7.0183e-15,1.0000e-31,7.2639e-33
20.3890,1.6025e-14,1.0000e-31,1.4365e-32
21.3830,3.4700e-14,1.0000e-31,2.7639e-32
22.3780,7.0467e-14,1.0000e-31,5.1913e-32
23.3720,1.3407e-13,1.0000e-31,9.5429e-32
24.3670,2.4195e-13,1.0000e-31,2.1296e-31
25.3610,4.2218e-13,1.0000e-31,5.7973e-31
26.3560,7.1841e-13,1.0000e-31,1.3419e-30
27.3500,1.1646e-12,1.0000e-31,2.7415e-30
28.3440,1.8002e-12,1.0000e-31,5.2235e-30
29.3390,2.9356e-12,1.0000e-31,9.5340e-30
30.3330,4.0970e-12,1.0000e-31,1.6913e-29
31.3280,7.2163e-12,1.0000e-31,2.8297e-29
32.3220,1.0791e-11,1.0000e-31,1.1943e-29
33.3170,1.8333e-11,1.0000e-31,9.0918e-29
34.3110,3.7482e-11,1.0000e-31,2.6536e-28
35.3060,4.3366e-11,1.0000e-31,6.7068e-28
36.3000,4.0680e-11,1.0000e-31,2.1409e-27
37.2940,3.8128e-11,1.0000e-31,1.3835e-26
38.2890,3.6249e-11,1.0000e-31,5.4021e-26
39.2830,3.5019e-11,1.0000e-31,1.4871e-25
40.2780,3.4059e-11,1.0000e-31,3.6401e-25
41.2720,3.3647e-11,1.0000e-31,7.9190e-25
42.2670,3.7302e-11,1.0000e-31,1.5624e-24
43.2610,4.6891e-11,1.0000e-31,2.9620e-24
44.2560,5.3168e-11,1.0000e-31,6.6621e-24
45.2500,5.0016e-11,1.0000e-31,1.9289e-23
46.2440,4.7009e-11,1.0000e-31,4.8412e-23
47.2390,4.4367e-11,1.0000e-31,1.0978e-22
48.2330,4.2135e-11,1.0000e-31,2.2990e-22
49.2280,4.0060e-11,1.0000e-31,4.2392e-22
50.2220,3.7842e-11,1.0000e-31,8.3395e-22
51.2170,3.5273e-11,1.0000e-31,1.6875e-21
52.2110,3.2586e-11,1.0000e-31,3.6426e-21
53.2060,3.0096e-11,1.0000e-31,8.1784e-21
54.2000,2.3387e-11,1.0000e-31,1.6454e-20
55.1940,2.2580e-11,1.0000e-31,3.2422e-20
56.1890,2.2005e-11,1.0000e-31,6.8463e-20
57.1830,2.1635e-11,1.0000e-31,1.4280e-19
58.1780,2.1647e-11,1.0000e-31,4.8743e-19
59.1720,2.1929e-11,1.0000e-31,1.9459e-18
60.1670,2.2666e-11,1.0000e-31,7.3826e-18
61.1610,2.4424e-11,1.0000e-31,2.4677e-17
62.1560,3.1179e-11,1.0000e-31,8.0389e-17
63.1500,4.4835e-11,1.0000e-31,6.1545e-16
64.1440,6.6994e-11,1.0000e-31,2.8635e-15
65.1390,1.2203e-10,1.0000e-31,1.1937e-14
66.1330,1.4269e-10,1.0000e-31,4.1011e-14
67.1280,1.4226e-10,1.0000e-31,1.1947e-13
68.1220,1.4251e-10,1.0000e-31,2.9706e-13
69.1170,1.4259e-10,1.0000e-31,6.8302e-13
70.1110,1.4375e-10,1.0000e-31,1.3933e-12
71.1060,1.4408e-10,1.0000e-31,2.3156e-12
72.1000,1.4465e-10,1.0000e-31,3.4435e-12
73.0940,1.4222e-10,1.0000e-31,4.6678e-12
74.0890,1.3560e-10,1.0000e-31,5.7194e-12
75.0830,1.2900e-10,1.0000e-31,6.7315e-12
76.0780,1.2351e-10,1.0000e-31,7.7317e-12
77.0720,9.8679e-11,1.0000e-31,9.1536e-12
78.0670,6.7483e-11,1.0000e-31,1.0322e-11
79.0610,7.3385e-11,1.0000e-31,1.1350e-11
80.0560,8.0216e-11,1.0000e-31,1.2867e-11
81.0500,8.8255e-11,1.0000e-31,1.5232e-11
82.0440,9.6969e-11,1.0000e-31,1.9809e-11
83.0390,1.0505e-10,1.0000e-31,2.4286e-11
84.0330,1.0492e-10,1.0000e-31,3.4700e-11
85.0280,9.8469e-11,1.0000e-31,3.7559e-11
86.0220,1.3713e-10,1.0000e-31,4.2160e-11
87.0170,9.4600e-11,1.0000e-31,4.2327e-11
88.0110,1.0716e-10,1.0000e-31,4.2747e-11
89.0060,7.0584e-11,1.0000e-31,4.2190e-11
