# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12gg for E = 50.0 keV, L* = 4.0, MLT = 1.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.2717e-09,3.2558e-09,2.0222e-05
1.4940,2.0451e-08,9.6556e-09,2.0286e-05
2.4890,5.7171e-08,1.9805e-08,2.0261e-05
3.4830,1.1289e-07,3.4480e-08,2.0144e-05
4.4780,1.8809e-07,5.3712e-08,1.9932e-05
5.4720,2.8327e-07,7.8062e-08,1.9624e-05
6.4670,3.9896e-07,1.0730e-07,1.9218e-05
7.4610,5.3570e-07,1.4215e-07,1.8715e-05
8.4560,6.9402e-07,1.8218e-07,1.8119e-05
9.4500,8.7448e-07,2.2837e-07,1.7435e-05
10.4440,1.0776e-06,2.8061e-07,1.6676e-05
11.4390,1.3039e-06,3.3865e-07,1.5853e-05
12.4330,1.5539e-06,4.0380e-07,1.4984e-05
13.4280,1.8280e-06,4.7522e-07,1.4086e-05
14.4220,2.1265e-06,5.5448e-07,1.3178e-05
15.4170,2.4499e-06,6.4042e-07,1.2276e-05
16.4110,2.7983e-06,7.3484e-07,1.1391e-05
17.4060,3.1718e-06,8.3619e-07,1.0535e-05
18.4000,3.5703e-06,9.4654e-07,9.7172e-06
19.3940,3.9935e-06,1.0653e-06,8.9477e-06
20.3890,4.4406e-06,1.1920e-06,8.2388e-06
21.3830,4.9108e-06,1.3294e-06,7.6035e-06
22.3780,5.4028e-06,1.4758e-06,7.0551e-06
23.3720,5.9146e-06,1.6336e-06,6.6094e-06
24.3670,6.4442e-06,1.8001e-06,6.2840e-06
25.3610,6.9887e-06,1.9796e-06,6.0938e-06
26.3560,7.5454e-06,2.1705e-06,6.0463e-06
27.3500,8.1111e-06,2.3780e-06,6.1387e-06
28.3440,8.6824e-06,2.6018e-06,6.3636e-06
29.3390,9.2561e-06,2.8403e-06,6.7142e-06
30.3330,9.8284e-06,3.0998e-06,7.1820e-06
31.3280,1.0396e-05,3.3798e-06,7.7574e-06
32.3220,1.0955e-05,3.6876e-06,8.4307e-06
33.3170,1.1510e-05,4.0170e-06,9.1982e-06
34.3110,1.2041e-05,4.3726e-06,1.0061e-05
35.3060,1.2545e-05,4.7525e-06,1.1017e-05
36.3000,1.3017e-05,5.1668e-06,1.2066e-05
37.2940,1.3456e-05,5.6176e-06,1.3198e-05
38.2890,1.3855e-05,6.1127e-06,1.4415e-05
39.2830,1.4211e-05,6.6620e-06,1.5707e-05
40.2780,1.4521e-05,7.2416e-06,1.7079e-05
41.2720,1.4780e-05,7.8594e-06,1.8543e-05
42.2670,1.4986e-05,8.5123e-06,2.0131e-05
43.2610,1.5135e-05,9.2254e-06,2.1853e-05
44.2560,1.5228e-05,9.9898e-06,2.3690e-05
45.2500,1.5272e-05,1.0840e-05,2.5646e-05
46.2440,1.5264e-05,1.1782e-05,2.7762e-05
47.2390,1.5249e-05,1.2823e-05,3.0091e-05
48.2330,1.5180e-05,1.4009e-05,3.2715e-05
49.2280,1.5046e-05,1.5315e-05,3.5666e-05
50.2220,1.4871e-05,1.6789e-05,3.8900e-05
51.2170,1.4689e-05,1.8436e-05,4.2660e-05
52.2110,1.4523e-05,2.0277e-05,4.6568e-05
53.2060,1.4400e-05,2.2307e-05,5.0856e-05
54.2000,1.4335e-05,2.4591e-05,5.5679e-05
55.1940,1.4411e-05,2.7047e-05,6.0619e-05
56.1890,1.4873e-05,2.9719e-05,6.5307e-05
57.1830,1.5630e-05,3.2690e-05,7.0761e-05
58.1780,1.6390e-05,3.6021e-05,7.6802e-05
59.1720,1.7259e-05,3.9902e-05,8.3160e-05
60.1670,1.8333e-05,4.3899e-05,8.9981e-05
61.1610,1.9482e-05,4.8148e-05,9.7961e-05
62.1560,2.0912e-05,5.2337e-05,1.0589e-04
63.1500,2.2561e-05,5.6191e-05,1.1749e-04
64.1440,2.4356e-05,5.9773e-05,1.3292e-04
65.1390,2.6025e-05,6.3207e-05,1.5034e-04
66.1330,2.7586e-05,6.6784e-05,1.5291e-04
67.1280,2.9391e-05,7.1405e-05,1.6258e-04
68.1220,3.1941e-05,7.6957e-05,1.7210e-04
69.1170,3.2576e-05,8.3489e-05,1.6992e-04
70.1110,3.4084e-05,9.1519e-05,1.6287e-04
71.1060,3.5632e-05,1.0007e-04,1.6723e-04
72.1000,3.6333e-05,1.0803e-04,1.6191e-04
73.0940,3.5495e-05,1.1875e-04,1.5977e-04
74.0890,3.3491e-05,1.2448e-04,1.5432e-04
75.0830,3.1329e-05,1.2665e-04,1.3870e-04
76.0780,2.7524e-05,1.2924e-04,1.1840e-04
77.0720,2.2346e-05,1.2712e-04,9.5293e-05
78.0670,1.5651e-05,1.2031e-04,7.3858e-05
79.0610,9.3695e-06,1.1154e-04,4.9558e-05
80.0560,5.1985e-06,1.0066e-04,2.8904e-05
81.0500,2.4886e-06,8.6789e-05,2.0837e-05
82.0440,9.3455e-07,7.1874e-05,1.6167e-05
83.0390,1.4727e-07,5.6436e-05,1.2828e-05
84.0330,1.1402e-08,4.0554e-05,9.1916e-06
85.0280,1.7952e-15,2.5661e-05,5.8688e-06
86.0220,7.3665e-16,1.3068e-05,3.0383e-06
87.0170,1.0000e-31,5.1239e-06,1.0801e-06
88.0110,1.0000e-31,1.9210e-06,2.8429e-07
89.0060,1.0000e-31,3.8283e-07,4.3681e-08
