# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12hh for E = 50.0 keV, L* = 4.0, MLT = 4.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.4355e-09,5.9325e-08,1.0000e-31
1.4940,7.7873e-09,1.1051e-07,1.0000e-31
2.4890,1.4540e-08,2.1230e-07,1.0000e-31
3.4830,2.4810e-08,3.6761e-07,1.0000e-31
4.4780,3.8739e-08,5.7534e-07,1.0000e-31
5.4720,5.6487e-08,8.4102e-07,1.0000e-31
6.4670,7.8225e-08,1.1615e-06,1.0000e-31
7.4610,1.0419e-07,1.5437e-06,1.0000e-31
8.4560,1.3463e-07,1.9833e-06,1.0000e-31
9.4500,1.6978e-07,2.4902e-06,1.0000e-31
10.4440,2.0999e-07,3.0622e-06,1.0000e-31
11.4390,2.5558e-07,3.6962e-06,1.0000e-31
12.4330,3.0695e-07,4.4052e-06,1.0000e-31
13.4280,3.6448e-07,5.1790e-06,1.0000e-31
14.4220,4.2857e-07,6.0339e-06,1.0000e-31
15.4170,4.9970e-07,6.9550e-06,1.0000e-31
16.4110,5.7846e-07,7.9620e-06,1.0000e-31
17.4060,6.6554e-07,9.0395e-06,1.0000e-31
18.4000,7.6168e-07,1.0210e-05,1.0000e-31
19.3940,8.6773e-07,1.1465e-05,1.0000e-31
20.3890,9.8461e-07,1.2794e-05,1.0000e-31
21.3830,1.1132e-06,1.4222e-05,1.0000e-31
22.3780,1.2544e-06,1.5724e-05,1.0000e-31
23.3720,1.4090e-06,1.7326e-05,1.0000e-31
24.3670,1.5780e-06,1.9002e-05,1.0000e-31
25.3610,1.7628e-06,2.0778e-05,1.0000e-31
26.3560,1.9648e-06,2.2623e-05,1.0000e-31
27.3500,2.1857e-06,2.4571e-05,1.0000e-31
28.3440,2.4272e-06,2.6598e-05,1.0000e-31
29.3390,2.6909e-06,2.8681e-05,1.0000e-31
30.3330,2.9788e-06,3.0856e-05,1.0000e-31
31.3280,3.2928e-06,3.3071e-05,1.0000e-31
32.3220,3.6357e-06,3.5365e-05,1.0000e-31
33.3170,4.0118e-06,3.7696e-05,1.0000e-31
34.3110,4.4225e-06,4.0105e-05,1.0000e-31
35.3060,4.8653e-06,4.2588e-05,1.0000e-31
36.3000,5.3433e-06,4.5308e-05,1.0000e-31
37.2940,5.8591e-06,4.7949e-05,1.0000e-31
38.2890,6.4148e-06,5.0519e-05,1.0000e-31
39.2830,7.0114e-06,5.3099e-05,1.0000e-31
40.2780,7.6508e-06,5.5669e-05,1.0000e-31
41.2720,8.3348e-06,5.8318e-05,1.0000e-31
42.2670,9.0643e-06,6.0852e-05,1.0000e-31
43.2610,9.8399e-06,6.3376e-05,1.0000e-31
44.2560,1.0662e-05,6.5864e-05,1.0000e-31
45.2500,1.1532e-05,6.8340e-05,1.0000e-31
46.2440,1.2447e-05,7.0797e-05,1.0000e-31
47.2390,1.3404e-05,7.3183e-05,1.0000e-31
48.2330,1.4401e-05,7.5520e-05,1.0000e-31
49.2280,1.5399e-05,7.7844e-05,1.0000e-31
50.2220,1.6459e-05,7.9959e-05,1.0000e-31
51.2170,1.7538e-05,8.1912e-05,1.0000e-31
52.2110,1.8638e-05,8.3750e-05,1.0000e-31
53.2060,1.9764e-05,8.5447e-05,1.0000e-31
54.2000,2.0910e-05,8.6900e-05,1.0000e-31
55.1940,2.2064e-05,8.8173e-05,1.0000e-31
56.1890,2.3210e-05,8.9396e-05,1.0000e-31
57.1830,2.4507e-05,9.0596e-05,1.0000e-31
58.1780,2.5448e-05,9.1805e-05,1.0000e-31
59.1720,2.6404e-05,9.2763e-05,1.0000e-31
60.1670,2.7461e-05,9.3265e-05,1.0000e-31
61.1610,2.8885e-05,9.3240e-05,1.0000e-31
62.1560,3.0636e-05,9.2711e-05,1.0000e-31
63.1500,3.2419e-05,9.1711e-05,1.0000e-31
64.1440,3.4307e-05,9.0905e-05,1.0000e-31
65.1390,3.6360e-05,9.0385e-05,1.0000e-31
66.1330,3.8796e-05,9.0852e-05,1.0000e-31
67.1280,4.2760e-05,9.1380e-05,1.0000e-31
68.1220,4.5943e-05,9.3432e-05,1.0000e-31
69.1170,4.9882e-05,9.5560e-05,1.0000e-31
70.1110,5.8018e-05,9.9882e-05,1.0000e-31
71.1060,6.7136e-05,1.0664e-04,1.0000e-31
72.1000,7.1806e-05,1.0904e-04,1.0000e-31
73.0940,7.8436e-05,1.1087e-04,1.0000e-31
74.0890,8.4154e-05,1.1209e-04,1.0000e-31
75.0830,8.9035e-05,1.1122e-04,1.0000e-31
76.0780,8.9993e-05,1.0677e-04,1.0000e-31
77.0720,8.2209e-05,9.7694e-05,1.0000e-31
78.0670,7.0810e-05,8.6136e-05,1.0000e-31
79.0610,5.5097e-05,7.2717e-05,1.0000e-31
80.0560,3.2373e-05,5.9219e-05,1.0000e-31
81.0500,1.8448e-05,4.6531e-05,1.0000e-31
82.0440,9.4317e-06,3.5241e-05,1.0000e-31
83.0390,3.6356e-06,2.6326e-05,1.0000e-31
84.0330,2.5827e-07,1.8187e-05,1.0000e-31
85.0280,1.3147e-09,1.1041e-05,1.0000e-31
86.0220,6.0712e-15,5.5928e-06,1.0000e-31
87.0170,2.8978e-16,2.6511e-06,1.0000e-31
88.0110,1.0000e-31,1.3400e-06,1.0000e-31
89.0060,1.0000e-31,4.3244e-07,1.0000e-31
