# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12i for E = 1000.0 keV, L* = 4.0, MLT = 1.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.2359e-14,3.2939e-11,1.2916e-10
1.4940,1.1914e-13,2.9809e-10,1.1649e-09
2.4890,3.7742e-13,8.3096e-10,3.2680e-09
3.4830,8.7837e-13,1.6507e-09,6.4876e-09
4.4780,1.7647e-12,2.7558e-09,1.0887e-08
5.4720,3.2382e-12,4.1815e-09,1.6543e-08
6.4670,5.5703e-12,5.9193e-09,2.3550e-08
7.4610,9.1140e-12,8.0220e-09,3.2020e-08
8.4560,1.4321e-11,1.0473e-08,4.2083e-08
9.4500,2.1758e-11,1.3344e-08,5.3892e-08
10.4440,3.2133e-11,1.6640e-08,6.7619e-08
11.4390,4.6317e-11,2.0357e-08,8.3466e-08
12.4330,6.5378e-11,2.4593e-08,1.0166e-07
13.4280,9.0607e-11,2.9308e-08,1.2246e-07
14.4220,1.2356e-10,3.4629e-08,1.4618e-07
15.4170,1.6608e-10,4.0500e-08,1.7313e-07
16.4110,2.2035e-10,4.7068e-08,2.0371e-07
17.4060,2.8890e-10,5.4255e-08,2.3836e-07
18.4000,3.7461e-10,6.2230e-08,2.7757e-07
19.3940,4.8076e-10,7.0951e-08,3.2191e-07
20.3890,6.1095e-10,8.0330e-08,3.7202e-07
21.3830,7.6917e-10,9.0514e-08,4.2865e-07
22.3780,9.5975e-10,1.0137e-07,4.9264e-07
23.3720,1.1875e-09,1.1310e-07,5.6496e-07
24.3670,1.4578e-09,1.2584e-07,6.4673e-07
25.3610,1.7770e-09,1.4006e-07,7.3924e-07
26.3560,2.1528e-09,1.5432e-07,8.4398e-07
27.3500,2.5942e-09,1.6880e-07,9.6267e-07
28.3440,3.1131e-09,1.8310e-07,1.0973e-06
29.3390,3.7313e-09,1.9682e-07,1.2503e-06
30.3330,4.4907e-09,2.1010e-07,1.4243e-06
31.3280,5.4953e-09,2.2267e-07,1.6226e-06
32.3220,7.0228e-09,2.3551e-07,1.8491e-06
33.3170,9.6773e-09,2.5233e-07,2.1082e-06
34.3110,1.3379e-08,2.7824e-07,2.4051e-06
35.3060,1.8316e-08,2.9446e-07,2.7440e-06
36.3000,2.4951e-08,3.1048e-07,3.1266e-06
37.2940,3.3907e-08,3.2575e-07,3.5564e-06
38.2890,4.5979e-08,3.3996e-07,4.0386e-06
39.2830,6.2017e-08,3.5428e-07,4.5772e-06
40.2780,8.2451e-08,3.6817e-07,5.1749e-06
41.2720,1.0883e-07,3.8278e-07,5.8356e-06
42.2670,1.4312e-07,4.0713e-07,6.5633e-06
43.2610,1.5475e-07,4.3194e-07,7.3624e-06
44.2560,1.6065e-07,4.3579e-07,8.2811e-06
45.2500,1.6686e-07,4.3791e-07,9.3393e-06
46.2440,1.7396e-07,4.3955e-07,1.0503e-05
47.2390,1.8319e-07,4.4077e-07,1.1649e-05
48.2330,1.9435e-07,4.3992e-07,1.2681e-05
49.2280,2.0775e-07,4.3670e-07,1.3441e-05
50.2220,2.2068e-07,4.3142e-07,1.3729e-05
51.2170,2.3476e-07,4.2906e-07,1.3308e-05
52.2110,2.5489e-07,4.3631e-07,1.2368e-05
53.2060,2.8137e-07,4.2962e-07,1.0971e-05
54.2000,3.2726e-07,4.4426e-07,9.0749e-06
55.1940,3.6741e-07,4.4032e-07,6.9419e-06
56.1890,4.0228e-07,4.3692e-07,4.6291e-06
57.1830,4.3818e-07,4.3448e-07,2.2630e-06
58.1780,4.8204e-07,4.3284e-07,6.4467e-07
59.1720,5.3431e-07,4.3219e-07,1.7777e-07
60.1670,5.9206e-07,4.3159e-07,1.1921e-07
61.1610,6.4655e-07,4.3391e-07,1.2595e-07
62.1560,6.8997e-07,4.3600e-07,1.3426e-07
63.1500,9.2391e-07,4.4803e-07,1.5074e-07
64.1440,1.1516e-06,4.1351e-07,1.7631e-07
65.1390,1.5522e-06,4.0817e-07,2.0383e-07
66.1330,1.5782e-06,4.2964e-07,2.4567e-07
67.1280,1.5831e-06,4.4993e-07,3.5511e-07
68.1220,1.5930e-06,4.7467e-07,4.5050e-07
69.1170,1.5992e-06,5.0635e-07,5.7057e-07
70.1110,1.5942e-06,5.4373e-07,6.6860e-07
71.1060,1.5735e-06,5.8030e-07,7.6735e-07
72.1000,1.5445e-06,6.2470e-07,8.2921e-07
73.0940,1.5183e-06,6.6127e-07,9.3012e-07
74.0890,1.4089e-06,7.4823e-07,1.5002e-06
75.0830,1.1410e-06,7.7872e-07,2.0219e-06
76.0780,1.1320e-06,8.9278e-07,2.3251e-06
77.0720,1.0132e-06,1.0310e-06,2.8004e-06
78.0670,8.2097e-07,1.1667e-06,2.9357e-06
79.0610,9.2909e-07,1.2201e-06,2.6205e-06
80.0560,1.1429e-06,1.6816e-06,2.2904e-06
81.0500,7.6573e-07,1.1295e-06,2.2032e-06
82.0440,6.8485e-07,1.2266e-06,1.9879e-06
83.0390,6.5387e-07,1.0711e-06,1.4078e-06
84.0330,6.6764e-07,1.0426e-06,2.3117e-07
85.0280,7.4968e-07,1.1679e-06,2.4367e-07
86.0220,9.2512e-07,1.3662e-06,2.6703e-07
87.0170,8.8524e-07,1.4247e-06,3.3881e-07
88.0110,8.6360e-07,1.3121e-06,2.4449e-07
89.0060,7.4388e-07,1.2951e-06,1.7745e-07
