# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12ii for E = 50.0 keV, L* = 4.0, MLT = 7.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.6427e-09,8.4604e-09,5.6826e-09
1.4940,1.1493e-08,2.0386e-08,3.5942e-08
2.4890,2.4175e-08,3.5602e-08,9.7056e-08
3.4830,4.1519e-08,5.6304e-08,1.8980e-07
4.4780,6.3874e-08,8.2836e-08,3.1501e-07
5.4720,9.1640e-08,1.1626e-07,4.7357e-07
6.4670,1.2522e-07,1.5644e-07,6.6646e-07
7.4610,1.6500e-07,2.0434e-07,8.9469e-07
8.4560,2.1140e-07,2.5938e-07,1.1593e-06
9.4500,2.6482e-07,3.2308e-07,1.4614e-06
10.4440,3.2565e-07,3.9526e-07,1.8020e-06
11.4390,3.9417e-07,4.7553e-07,2.1825e-06
12.4330,4.7060e-07,5.6511e-07,2.6040e-06
13.4280,5.5514e-07,6.6360e-07,3.0678e-06
14.4220,6.4819e-07,7.7343e-07,3.5753e-06
15.4170,7.5047e-07,8.9300e-07,4.1279e-06
16.4110,8.6289e-07,1.0278e-06,4.7268e-06
17.4060,9.8621e-07,1.1762e-06,5.3739e-06
18.4000,1.1209e-06,1.3403e-06,6.0705e-06
19.3940,1.2670e-06,1.5183e-06,6.8179e-06
20.3890,1.4246e-06,1.7078e-06,7.6177e-06
21.3830,1.5943e-06,1.9135e-06,8.4710e-06
22.3780,1.7762e-06,2.1328e-06,9.3794e-06
23.3720,1.9708e-06,2.3702e-06,1.0344e-05
24.3670,2.1815e-06,2.6210e-06,1.1366e-05
25.3610,2.4131e-06,2.8911e-06,1.2446e-05
26.3560,2.6653e-06,3.1767e-06,1.3587e-05
27.3500,2.9350e-06,3.4852e-06,1.4791e-05
28.3440,3.2246e-06,3.8072e-06,1.6059e-05
29.3390,3.5383e-06,4.1503e-06,1.7388e-05
30.3330,3.8773e-06,4.5198e-06,1.8781e-05
31.3280,4.2446e-06,4.9083e-06,2.0234e-05
32.3220,4.6448e-06,5.3187e-06,2.1748e-05
33.3170,5.0813e-06,5.7432e-06,2.3315e-05
34.3110,5.5569e-06,6.1966e-06,2.4924e-05
35.3060,6.0746e-06,6.6668e-06,2.6567e-05
36.3000,6.6381e-06,7.1570e-06,2.8228e-05
37.2940,7.2505e-06,7.6608e-06,2.9891e-05
38.2890,7.9054e-06,8.1683e-06,3.1527e-05
39.2830,8.6127e-06,8.6884e-06,3.3178e-05
40.2780,9.3804e-06,9.2038e-06,3.4862e-05
41.2720,1.0224e-05,9.7293e-06,3.6630e-05
42.2670,1.1151e-05,1.0261e-05,3.8394e-05
43.2610,1.2177e-05,1.0805e-05,4.0033e-05
44.2560,1.3295e-05,1.1340e-05,4.1633e-05
45.2500,1.4519e-05,1.1873e-05,4.3221e-05
46.2440,1.5855e-05,1.2394e-05,4.4879e-05
47.2390,1.7302e-05,1.2901e-05,4.6489e-05
48.2330,1.8516e-05,1.3415e-05,4.7843e-05
49.2280,1.9816e-05,1.3914e-05,4.9065e-05
50.2220,2.1144e-05,1.4402e-05,5.0134e-05
51.2170,2.2452e-05,1.4884e-05,5.1057e-05
52.2110,2.3636e-05,1.5375e-05,5.1756e-05
53.2060,2.4668e-05,1.5903e-05,5.1992e-05
54.2000,2.5489e-05,1.6522e-05,5.1922e-05
55.1940,2.6027e-05,1.7128e-05,5.1657e-05
56.1890,2.6234e-05,1.7767e-05,5.1199e-05
57.1830,2.6005e-05,1.8434e-05,5.0756e-05
58.1780,2.5343e-05,1.9141e-05,4.9765e-05
59.1720,2.4278e-05,1.9812e-05,4.8271e-05
60.1670,2.3133e-05,2.0558e-05,4.6251e-05
61.1610,2.1796e-05,2.1346e-05,4.3366e-05
62.1560,2.0293e-05,2.2024e-05,3.9290e-05
63.1500,1.8782e-05,2.2589e-05,3.4748e-05
64.1440,1.7584e-05,2.3042e-05,3.1064e-05
65.1390,1.5926e-05,2.3327e-05,2.6916e-05
66.1330,1.4614e-05,2.3512e-05,2.4303e-05
67.1280,1.3616e-05,2.3825e-05,2.1673e-05
68.1220,1.2811e-05,2.4195e-05,1.9134e-05
69.1170,1.2133e-05,2.4955e-05,1.6440e-05
70.1110,9.9005e-06,2.5928e-05,1.4454e-05
71.1060,9.3584e-06,2.7346e-05,1.3879e-05
72.1000,1.0003e-05,2.7976e-05,1.3781e-05
73.0940,1.1176e-05,2.9111e-05,1.2755e-05
74.0890,1.2807e-05,2.9294e-05,1.1729e-05
75.0830,1.2835e-05,2.7990e-05,1.3898e-05
76.0780,1.1220e-05,2.7047e-05,1.5324e-05
77.0720,1.0477e-05,2.5666e-05,1.5699e-05
78.0670,1.0485e-05,2.3668e-05,2.0434e-05
79.0610,1.0288e-05,2.0961e-05,1.8028e-05
80.0560,8.7675e-06,1.7541e-05,1.1809e-05
81.0500,6.5190e-06,1.3686e-05,5.6165e-06
82.0440,3.0789e-06,1.0004e-05,1.6706e-06
83.0390,1.2404e-06,6.9126e-06,3.0709e-07
84.0330,3.3941e-07,4.4781e-06,3.6943e-08
85.0280,1.6726e-08,2.8066e-06,4.1174e-08
86.0220,3.9441e-15,1.4443e-06,5.1237e-08
87.0170,7.1275e-16,5.9471e-07,5.1544e-08
88.0110,1.0000e-31,2.7321e-07,2.0024e-08
89.0060,1.0000e-31,1.0051e-07,2.6308e-09
