# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12j for E = 1000.0 keV, L* = 4.0, MLT = 4.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,8.2439e-14,6.9468e-12,1.0000e-31
1.4940,7.5146e-13,6.2827e-11,1.0000e-31
2.4890,2.1532e-12,1.7491e-10,1.0000e-31
3.4830,4.4095e-12,3.4680e-10,1.0000e-31
4.4780,7.7042e-12,5.7751e-10,1.0000e-31
5.4720,1.2294e-11,8.7347e-10,1.0000e-31
6.4670,1.8519e-11,1.2318e-09,1.0000e-31
7.4610,2.6822e-11,1.6619e-09,1.0000e-31
8.4560,3.7767e-11,2.1588e-09,1.0000e-31
9.4500,5.2061e-11,2.7351e-09,1.0000e-31
10.4440,7.0585e-11,3.3894e-09,1.0000e-31
11.4390,9.4417e-11,4.1185e-09,1.0000e-31
12.4330,1.2487e-10,4.9383e-09,1.0000e-31
13.4280,1.6351e-10,5.8369e-09,1.0000e-31
14.4220,2.1221e-10,6.8318e-09,1.0000e-31
15.4170,2.7316e-10,7.9061e-09,1.0000e-31
16.4110,3.4898e-10,9.0812e-09,1.0000e-31
17.4060,4.4302e-10,1.0338e-08,1.0000e-31
18.4000,5.5980e-10,1.1698e-08,1.0000e-31
19.3940,7.0102e-10,1.3147e-08,1.0000e-31
20.3890,8.6901e-10,1.4664e-08,1.0000e-31
21.3830,1.0690e-09,1.6265e-08,1.0000e-31
22.3780,1.3158e-09,1.7964e-08,1.0000e-31
23.3720,1.6328e-09,1.9872e-08,1.0000e-31
24.3670,2.0296e-09,2.1881e-08,1.0000e-31
25.3610,2.5514e-09,2.3750e-08,1.0000e-31
26.3560,3.2448e-09,2.5348e-08,1.0000e-31
27.3500,4.1591e-09,2.6946e-08,1.0000e-31
28.3440,5.3253e-09,2.8588e-08,1.0000e-31
29.3390,6.7029e-09,3.0364e-08,1.0000e-31
30.3330,8.1251e-09,3.2513e-08,1.0000e-31
31.3280,9.2341e-09,3.4617e-08,1.0000e-31
32.3220,1.0251e-08,3.6493e-08,1.0000e-31
33.3170,1.0644e-08,3.9105e-08,1.0000e-31
34.3110,1.0925e-08,4.2402e-08,1.0000e-31
35.3060,1.1879e-08,4.8204e-08,1.0000e-31
36.3000,1.3376e-08,5.5261e-08,1.0000e-31
37.2940,1.5533e-08,6.3737e-08,1.0000e-31
38.2890,1.8763e-08,7.3857e-08,1.0000e-31
39.2830,2.3605e-08,8.6215e-08,1.0000e-31
40.2780,3.0328e-08,1.0108e-07,1.0000e-31
41.2720,3.7993e-08,1.1952e-07,1.0000e-31
42.2670,4.6060e-08,1.3789e-07,1.0000e-31
43.2610,4.5897e-08,1.6149e-07,1.0000e-31
44.2560,4.6530e-08,1.9452e-07,1.0000e-31
45.2500,4.7561e-08,2.3621e-07,1.0000e-31
46.2440,4.8864e-08,2.8569e-07,1.0000e-31
47.2390,5.0540e-08,3.4365e-07,1.0000e-31
48.2330,5.2784e-08,4.0910e-07,1.0000e-31
49.2280,5.5806e-08,4.8047e-07,1.0000e-31
50.2220,5.9661e-08,5.6712e-07,1.0000e-31
51.2170,6.2791e-08,7.3344e-07,1.0000e-31
52.2110,6.2557e-08,1.0433e-06,1.0000e-31
53.2060,5.1398e-08,1.4650e-06,1.0000e-31
54.2000,5.4939e-08,1.9241e-06,1.0000e-31
55.1940,6.6689e-08,1.9483e-06,1.0000e-31
56.1890,8.2146e-08,1.9856e-06,1.0000e-31
57.1830,1.0198e-07,2.0373e-06,1.0000e-31
58.1780,1.2572e-07,2.1015e-06,1.0000e-31
59.1720,1.4834e-07,2.1697e-06,1.0000e-31
60.1670,1.6951e-07,2.2345e-06,1.0000e-31
61.1610,1.9381e-07,2.2990e-06,1.0000e-31
62.1560,2.2317e-07,2.3927e-06,1.0000e-31
63.1500,2.7747e-07,2.5981e-06,1.0000e-31
64.1440,4.0602e-07,3.1054e-06,1.0000e-31
65.1390,5.1329e-07,3.5494e-06,1.0000e-31
66.1330,5.7316e-07,3.5393e-06,1.0000e-31
67.1280,5.8131e-07,3.4796e-06,1.0000e-31
68.1220,5.9159e-07,3.4282e-06,1.0000e-31
69.1170,6.1773e-07,3.3795e-06,1.0000e-31
70.1110,6.4740e-07,3.3452e-06,1.0000e-31
71.1060,6.7689e-07,3.3340e-06,1.0000e-31
72.1000,6.8928e-07,3.3312e-06,1.0000e-31
73.0940,6.9350e-07,3.2498e-06,1.0000e-31
74.0890,7.0161e-07,2.7882e-06,1.0000e-31
75.0830,8.0659e-07,2.4899e-06,1.0000e-31
76.0780,7.6074e-07,2.0691e-06,1.0000e-31
77.0720,8.2168e-07,1.6941e-06,1.0000e-31
78.0670,8.8107e-07,1.2870e-06,1.0000e-31
79.0610,9.3656e-07,1.6624e-06,1.0000e-31
80.0560,1.0541e-06,1.2385e-06,1.0000e-31
81.0500,1.7135e-06,1.3511e-06,1.0000e-31
82.0440,8.7847e-07,1.2161e-06,1.0000e-31
83.0390,8.0754e-07,1.1194e-06,1.0000e-31
84.0330,7.9382e-07,1.2045e-06,1.0000e-31
85.0280,8.5443e-07,1.3650e-06,1.0000e-31
86.0220,1.1783e-06,1.5411e-06,1.0000e-31
87.0170,1.0515e-06,1.4241e-06,1.0000e-31
88.0110,9.8347e-07,1.1992e-06,1.0000e-31
89.0060,7.9717e-07,1.0935e-06,1.0000e-31
