# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12jj for E = 50.0 keV, L* = 4.0, MLT = 10.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,5.4158e-09,2.6461e-07,2.7649e-07
1.4940,1.8531e-08,3.0085e-07,2.9352e-07
2.4890,4.3271e-08,3.5631e-07,3.2574e-07
3.4830,8.0212e-08,4.2143e-07,3.7332e-07
4.4780,1.2975e-07,4.9067e-07,4.3655e-07
5.4720,1.9218e-07,5.6394e-07,5.1566e-07
6.4670,2.6775e-07,6.3946e-07,6.1122e-07
7.4610,3.5676e-07,7.1780e-07,7.2389e-07
8.4560,4.5954e-07,7.9692e-07,8.5430e-07
9.4500,5.7647e-07,8.7974e-07,1.0032e-06
10.4440,7.0806e-07,9.6832e-07,1.1713e-06
11.4390,8.5486e-07,1.0645e-06,1.3584e-06
12.4330,1.0175e-06,1.1738e-06,1.5632e-06
13.4280,1.1963e-06,1.2984e-06,1.7852e-06
14.4220,1.3916e-06,1.4440e-06,2.0256e-06
15.4170,1.6028e-06,1.6100e-06,2.2857e-06
16.4110,1.8286e-06,1.7996e-06,2.5666e-06
17.4060,2.0665e-06,2.0073e-06,2.8687e-06
18.4000,2.3134e-06,2.2319e-06,3.1919e-06
19.3940,2.5656e-06,2.4637e-06,3.5352e-06
20.3890,2.8204e-06,2.6949e-06,3.8974e-06
21.3830,3.0755e-06,2.9266e-06,4.2780e-06
22.3780,3.3316e-06,3.1532e-06,4.6797e-06
23.3720,3.5919e-06,3.3771e-06,5.1046e-06
24.3670,3.8615e-06,3.6030e-06,5.5507e-06
25.3610,4.1404e-06,3.8084e-06,6.0151e-06
26.3560,4.4192e-06,3.9965e-06,6.4970e-06
27.3500,4.6943e-06,4.1775e-06,6.9962e-06
28.3440,4.9677e-06,4.3564e-06,7.5133e-06
29.3390,5.2387e-06,4.5400e-06,8.0495e-06
30.3330,5.5057e-06,4.7432e-06,8.6054e-06
31.3280,5.7753e-06,4.9372e-06,9.1770e-06
32.3220,6.0531e-06,5.1377e-06,9.7604e-06
33.3170,6.3370e-06,5.3388e-06,1.0356e-05
34.3110,6.6235e-06,5.5406e-06,1.0964e-05
35.3060,6.9103e-06,5.7383e-06,1.1590e-05
36.3000,7.1955e-06,5.9295e-06,1.2205e-05
37.2940,7.4749e-06,6.1130e-06,1.2819e-05
38.2890,7.7437e-06,6.2868e-06,1.3439e-05
39.2830,8.0268e-06,6.4459e-06,1.4069e-05
40.2780,8.3231e-06,6.5814e-06,1.4709e-05
41.2720,8.5871e-06,6.7132e-06,1.5345e-05
42.2670,8.8353e-06,6.8677e-06,1.5974e-05
43.2610,9.0748e-06,7.0648e-06,1.6599e-05
44.2560,9.3038e-06,7.2843e-06,1.7208e-05
45.2500,9.5151e-06,7.5429e-06,1.7798e-05
46.2440,9.7038e-06,7.8233e-06,1.8343e-05
47.2390,9.8518e-06,8.0909e-06,1.8816e-05
48.2330,9.9187e-06,8.3409e-06,1.9219e-05
49.2280,9.9046e-06,8.5128e-06,1.9528e-05
50.2220,9.8580e-06,8.6332e-06,1.9712e-05
51.2170,9.8514e-06,8.7830e-06,1.9845e-05
52.2110,9.8314e-06,8.9785e-06,1.9835e-05
53.2060,9.7736e-06,9.1749e-06,1.9809e-05
54.2000,9.6685e-06,9.3550e-06,1.9673e-05
55.1940,9.5379e-06,9.4866e-06,1.9477e-05
56.1890,9.4043e-06,9.5781e-06,1.9209e-05
57.1830,9.2731e-06,9.6213e-06,1.8727e-05
58.1780,9.1296e-06,9.6110e-06,1.7944e-05
59.1720,8.8880e-06,9.5190e-06,1.6901e-05
60.1670,8.5143e-06,9.2509e-06,1.5570e-05
61.1610,8.2827e-06,8.9150e-06,1.3934e-05
62.1560,8.1845e-06,8.5035e-06,1.2040e-05
63.1500,8.0769e-06,8.0449e-06,1.0003e-05
64.1440,7.7978e-06,7.6435e-06,8.3014e-06
65.1390,7.4253e-06,7.3682e-06,7.2106e-06
66.1330,7.0542e-06,7.1445e-06,6.3817e-06
67.1280,6.6881e-06,6.9133e-06,5.6286e-06
68.1220,6.3750e-06,6.6721e-06,4.8841e-06
69.1170,5.9826e-06,6.5222e-06,4.2863e-06
70.1110,4.9379e-06,6.3496e-06,3.7735e-06
71.1060,4.3394e-06,6.4296e-06,3.4247e-06
72.1000,3.8542e-06,6.7683e-06,3.3424e-06
73.0940,3.4853e-06,7.2264e-06,3.4218e-06
74.0890,3.7283e-06,7.9252e-06,3.7871e-06
75.0830,2.5900e-06,8.9147e-06,3.9311e-06
76.0780,2.0343e-06,8.8389e-06,4.2600e-06
77.0720,1.7870e-06,8.8051e-06,4.8729e-06
78.0670,1.6280e-06,8.4303e-06,4.8851e-06
79.0610,1.4353e-06,7.8520e-06,4.5472e-06
80.0560,1.1963e-06,7.1401e-06,4.1583e-06
81.0500,8.7604e-07,6.2372e-06,3.6889e-06
82.0440,4.1451e-07,5.1650e-06,3.1354e-06
83.0390,1.8897e-07,4.0791e-06,2.5530e-06
84.0330,5.9722e-08,2.9720e-06,2.0348e-06
85.0280,1.8356e-09,1.9012e-06,1.5000e-06
86.0220,1.0487e-15,9.8797e-07,1.0219e-06
87.0170,2.0261e-16,4.3036e-07,5.7846e-07
88.0110,1.0000e-31,2.5522e-07,2.9953e-07
89.0060,1.0000e-31,1.2989e-07,7.4081e-08
