# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12k for E = 1000.0 keV, L* = 4.0, MLT = 7.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.6177e-13,3.2030e-12,1.1995e-11
1.4940,3.3555e-12,2.9072e-11,1.0814e-10
2.4890,9.9391e-12,8.1509e-11,3.0318e-10
3.4830,2.1318e-11,1.6334e-10,6.0123e-10
4.4780,3.9398e-11,2.7584e-10,1.0075e-09
5.4720,6.6949e-11,4.2465e-10,1.5282e-09
6.4670,1.0783e-10,6.1155e-10,2.1709e-09
7.4610,1.6732e-10,8.4566e-10,2.9440e-09
8.4560,2.5255e-10,1.1295e-09,3.8575e-09
9.4500,3.7319e-10,1.4768e-09,4.9221e-09
10.4440,5.4221e-10,1.8952e-09,6.1500e-09
11.4390,7.7717e-10,2.3924e-09,7.5541e-09
12.4330,1.1017e-09,2.9917e-09,9.1487e-09
13.4280,1.5471e-09,3.7004e-09,1.0950e-08
14.4220,2.1549e-09,4.5534e-09,1.2983e-08
15.4170,2.9769e-09,5.5612e-09,1.5314e-08
16.4110,4.0745e-09,6.7742e-09,1.7880e-08
17.4060,5.5091e-09,8.2099e-09,2.0747e-08
18.4000,7.3219e-09,9.9442e-09,2.4048e-08
19.3940,9.4962e-09,1.2013e-08,2.7907e-08
20.3890,1.1919e-08,1.4458e-08,3.1901e-08
21.3830,1.4379e-08,1.7396e-08,3.6309e-08
22.3780,1.6704e-08,2.0854e-08,4.1092e-08
23.3720,1.9118e-08,2.5030e-08,4.6422e-08
24.3670,2.2996e-08,3.0022e-08,5.2317e-08
25.3610,2.8224e-08,3.5876e-08,5.9085e-08
26.3560,3.5601e-08,4.2078e-08,6.7335e-08
27.3500,4.6441e-08,4.9457e-08,7.5352e-08
28.3440,6.2820e-08,5.8077e-08,8.4301e-08
29.3390,8.7707e-08,6.8034e-08,9.5022e-08
30.3330,1.2423e-07,7.9737e-08,1.0987e-07
31.3280,1.7178e-07,9.3260e-08,1.2279e-07
32.3220,2.1670e-07,1.0938e-07,1.3709e-07
33.3170,2.5994e-07,1.2287e-07,1.5289e-07
34.3110,2.5608e-07,1.2319e-07,1.7420e-07
35.3060,2.5615e-07,1.2528e-07,1.9290e-07
36.3000,2.5453e-07,1.2704e-07,2.1272e-07
37.2940,2.5116e-07,1.2835e-07,2.3418e-07
38.2890,2.4696e-07,1.2928e-07,2.6244e-07
39.2830,2.4313e-07,1.2995e-07,3.0020e-07
40.2780,2.4037e-07,1.3024e-07,3.3141e-07
41.2720,2.3348e-07,1.2922e-07,3.6385e-07
42.2670,1.8671e-07,1.2030e-07,3.9220e-07
43.2610,8.0640e-08,1.1258e-07,4.7372e-07
44.2560,7.0590e-08,1.0976e-07,4.9568e-07
45.2500,7.7866e-08,1.1309e-07,5.1223e-07
46.2440,8.6965e-08,1.1839e-07,5.3049e-07
47.2390,9.9062e-08,1.2505e-07,5.4790e-07
48.2330,1.1469e-07,1.3417e-07,6.0911e-07
49.2280,1.3221e-07,1.4341e-07,6.2692e-07
50.2220,1.5076e-07,1.5201e-07,6.3149e-07
51.2170,1.8134e-07,1.6168e-07,6.3940e-07
52.2110,2.1843e-07,1.8167e-07,6.5539e-07
53.2060,3.5356e-07,2.3852e-07,6.9006e-07
54.2000,4.4758e-07,2.8751e-07,7.4125e-07
55.1940,4.4050e-07,2.8267e-07,7.4844e-07
56.1890,4.3165e-07,2.7866e-07,7.5716e-07
57.1830,4.2024e-07,2.7563e-07,7.6905e-07
58.1780,4.0747e-07,2.7310e-07,7.8887e-07
59.1720,3.9413e-07,2.6980e-07,8.7065e-07
60.1670,3.9689e-07,2.6831e-07,9.0455e-07
61.1610,3.9262e-07,2.6701e-07,9.5754e-07
62.1560,3.8470e-07,2.6658e-07,1.0298e-06
63.1500,3.7564e-07,2.6709e-07,1.1061e-06
64.1440,3.8031e-07,2.5637e-07,1.2050e-06
65.1390,2.8899e-07,2.6439e-07,1.4790e-06
66.1330,3.0916e-07,2.6443e-07,1.5081e-06
67.1280,3.0359e-07,2.6678e-07,1.5419e-06
68.1220,3.0276e-07,2.6922e-07,1.5794e-06
69.1170,3.0240e-07,2.7192e-07,1.6196e-06
70.1110,2.9878e-07,2.7752e-07,1.6639e-06
71.1060,2.7292e-07,2.8479e-07,1.7298e-06
72.1000,2.5532e-07,2.9581e-07,1.7902e-06
73.0940,2.5846e-07,3.0406e-07,1.8836e-06
74.0890,2.5670e-07,3.1009e-07,2.0088e-06
75.0830,2.5311e-07,3.1449e-07,2.1438e-06
76.0780,1.8458e-07,3.1809e-07,2.2975e-06
77.0720,1.6385e-07,3.1655e-07,2.5737e-06
78.0670,1.0913e-07,3.1997e-07,2.5950e-06
79.0610,1.0118e-07,3.2707e-07,2.4901e-06
80.0560,1.0084e-07,3.4845e-07,2.4632e-06
81.0500,1.0836e-07,3.9795e-07,2.5718e-06
82.0440,1.2685e-07,4.0573e-07,2.8074e-06
83.0390,1.3110e-07,3.4172e-07,3.2090e-06
84.0330,9.0624e-08,3.0069e-07,4.0299e-06
85.0280,9.0031e-08,3.1828e-07,4.1297e-06
86.0220,9.7598e-08,3.7300e-07,2.6853e-06
87.0170,1.3862e-07,4.1108e-07,1.2039e-06
88.0110,1.2833e-07,3.7637e-07,9.2100e-07
89.0060,1.1934e-07,3.8209e-07,5.8450e-07
