# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12kk for E = 50.0 keV, L* = 4.0, MLT = 13.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.6395e-09,5.9398e-08,1.2261e-07
1.4940,1.3556e-08,6.4795e-08,1.3659e-07
2.4890,2.9765e-08,7.4382e-08,1.6386e-07
3.4830,5.1001e-08,8.7551e-08,2.0451e-07
4.4780,7.7439e-08,1.0348e-07,2.5841e-07
5.4720,1.0929e-07,1.2207e-07,3.2520e-07
6.4670,1.4671e-07,1.4274e-07,4.0559e-07
7.4610,1.8979e-07,1.6572e-07,5.0218e-07
8.4560,2.3854e-07,1.9074e-07,6.1819e-07
9.4500,2.9296e-07,2.1818e-07,7.4956e-07
10.4440,3.5305e-07,2.4776e-07,8.9444e-07
11.4390,4.1880e-07,2.7943e-07,1.0534e-06
12.4330,4.9016e-07,3.1428e-07,1.2284e-06
13.4280,5.6679e-07,3.5225e-07,1.4201e-06
14.4220,6.4818e-07,3.9443e-07,1.6296e-06
15.4170,7.3345e-07,4.4035e-07,1.8588e-06
16.4110,8.2163e-07,4.9095e-07,2.1062e-06
17.4060,9.1226e-07,5.4518e-07,2.3721e-06
18.4000,1.0057e-06,6.0362e-07,2.6556e-06
19.3940,1.1028e-06,6.6569e-07,2.9568e-06
20.3890,1.2040e-06,7.2904e-07,3.2752e-06
21.3830,1.3089e-06,7.9490e-07,3.6132e-06
22.3780,1.4159e-06,8.6231e-07,3.9697e-06
23.3720,1.5233e-06,9.3249e-07,4.3433e-06
24.3670,1.6291e-06,1.0022e-06,4.7337e-06
25.3610,1.7321e-06,1.0726e-06,5.1411e-06
26.3560,1.8320e-06,1.1440e-06,5.5633e-06
27.3500,1.9299e-06,1.2178e-06,5.9999e-06
28.3440,2.0246e-06,1.2935e-06,6.4523e-06
29.3390,2.1155e-06,1.3707e-06,6.9187e-06
30.3330,2.2027e-06,1.4515e-06,7.3976e-06
31.3280,2.2838e-06,1.5428e-06,7.8841e-06
32.3220,2.3579e-06,1.6467e-06,8.3731e-06
33.3170,2.4247e-06,1.7561e-06,8.8677e-06
34.3110,2.4840e-06,1.8585e-06,9.3732e-06
35.3060,2.5349e-06,1.9590e-06,9.8838e-06
36.3000,2.5765e-06,2.0606e-06,1.0396e-05
37.2940,2.6105e-06,2.1617e-06,1.0904e-05
38.2890,2.6378e-06,2.2634e-06,1.1411e-05
39.2830,2.6630e-06,2.3717e-06,1.1916e-05
40.2780,2.7056e-06,2.4724e-06,1.2421e-05
41.2720,2.7418e-06,2.5571e-06,1.2960e-05
42.2670,2.7339e-06,2.6580e-06,1.3473e-05
43.2610,2.7116e-06,2.7623e-06,1.3967e-05
44.2560,2.6770e-06,2.8486e-06,1.4449e-05
45.2500,2.6299e-06,2.9306e-06,1.4887e-05
46.2440,2.5678e-06,3.0092e-06,1.5305e-05
47.2390,2.4840e-06,3.0826e-06,1.5669e-05
48.2330,2.3812e-06,3.1313e-06,1.5990e-05
49.2280,2.2694e-06,3.1327e-06,1.6263e-05
50.2220,2.1162e-06,3.0474e-06,1.6474e-05
51.2170,1.9482e-06,2.9504e-06,1.6703e-05
52.2110,1.8449e-06,2.8983e-06,1.6843e-05
53.2060,1.7154e-06,2.9704e-06,1.6892e-05
54.2000,1.5900e-06,2.9998e-06,1.6910e-05
55.1940,1.4688e-06,2.9597e-06,1.6890e-05
56.1890,1.3606e-06,2.9180e-06,1.6848e-05
57.1830,1.2713e-06,2.8838e-06,1.6722e-05
58.1780,1.1573e-06,2.8474e-06,1.6596e-05
59.1720,1.0612e-06,2.8001e-06,1.6387e-05
60.1670,1.0069e-06,2.7429e-06,1.5988e-05
61.1610,8.1093e-07,2.6140e-06,1.5536e-05
62.1560,6.0910e-07,2.4279e-06,1.4597e-05
63.1500,5.6540e-07,2.1603e-06,1.3863e-05
64.1440,6.1633e-07,1.7379e-06,1.3308e-05
65.1390,6.2105e-07,1.4020e-06,1.2727e-05
66.1330,6.2691e-07,1.3526e-06,1.2316e-05
67.1280,6.3540e-07,1.3088e-06,1.1735e-05
68.1220,6.4377e-07,1.2584e-06,1.0834e-05
69.1170,6.4544e-07,1.1793e-06,9.9198e-06
70.1110,6.4266e-07,1.1177e-06,8.8492e-06
71.1060,6.4062e-07,1.0291e-06,7.7115e-06
72.1000,6.0070e-07,9.2942e-07,6.4828e-06
73.0940,4.6875e-07,8.4344e-07,4.8837e-06
74.0890,3.5036e-07,7.3831e-07,3.7664e-06
75.0830,2.6342e-07,5.9034e-07,2.9312e-06
76.0780,1.8032e-07,4.8888e-07,2.4236e-06
77.0720,1.4695e-07,4.0873e-07,1.9230e-06
78.0670,8.1276e-08,3.8900e-07,1.8772e-06
79.0610,5.3219e-14,3.5594e-07,1.4847e-06
80.0560,3.1579e-14,3.2098e-07,1.2615e-06
81.0500,1.2000e-14,2.7394e-07,1.1011e-06
82.0440,1.0000e-31,2.2118e-07,9.8227e-07
83.0390,1.0000e-31,1.6469e-07,8.3599e-07
84.0330,1.0000e-31,1.0999e-07,7.0769e-07
85.0280,1.0000e-31,6.2898e-08,6.3035e-07
86.0220,1.0000e-31,2.6247e-08,5.6656e-07
87.0170,1.0000e-31,3.6080e-09,4.7456e-07
88.0110,1.0000e-31,4.0048e-10,2.0813e-07
89.0060,1.0000e-31,3.7125e-11,2.8957e-08
