# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12l for E = 1000.0 keV, L* = 4.0, MLT = 10.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.3426e-13,2.3728e-10,6.0350e-11
1.4940,4.0863e-12,2.1462e-09,5.4339e-10
2.4890,1.2416e-11,5.9764e-09,1.5196e-09
3.4830,2.7480e-11,1.1852e-08,3.0023e-09
4.4780,5.2441e-11,1.9742e-08,5.0058e-09
5.4720,9.1685e-11,2.9864e-08,7.5460e-09
6.4670,1.5095e-10,4.2114e-08,1.0639e-08
7.4610,2.3751e-10,5.6803e-08,1.4304e-08
8.4560,3.6030e-10,7.3744e-08,1.8569e-08
9.4500,5.3012e-10,9.3346e-08,2.3437e-08
10.4440,7.5987e-10,1.1552e-07,2.8918e-08
11.4390,1.0647e-09,1.4011e-07,3.5073e-08
12.4330,1.4624e-09,1.6757e-07,4.1920e-08
13.4280,1.9735e-09,1.9738e-07,4.9511e-08
14.4220,2.6221e-09,2.2998e-07,5.7950e-08
15.4170,3.4356e-09,2.6465e-07,6.7285e-08
16.4110,4.4457e-09,3.0274e-07,7.7397e-08
17.4060,5.6878e-09,3.4398e-07,8.8745e-08
18.4000,7.2026e-09,3.8642e-07,1.0132e-07
19.3940,9.0500e-09,4.2882e-07,1.1463e-07
20.3890,1.1322e-08,4.7046e-07,1.2894e-07
21.3830,1.4205e-08,5.1076e-07,1.4377e-07
22.3780,1.8164e-08,5.4810e-07,1.5977e-07
23.3720,2.4500e-08,5.8268e-07,1.7659e-07
24.3670,3.5855e-08,6.0869e-07,1.9466e-07
25.3610,5.2836e-08,6.4302e-07,2.1424e-07
26.3560,7.8332e-08,7.1326e-07,2.3449e-07
27.3500,1.1724e-07,7.9803e-07,2.5469e-07
28.3440,1.7687e-07,8.8792e-07,2.7615e-07
29.3390,2.6677e-07,9.7924e-07,2.9714e-07
30.3330,3.9482e-07,1.0721e-06,3.1658e-07
31.3280,5.5334e-07,1.1665e-06,3.3530e-07
32.3220,6.9848e-07,1.2693e-06,3.5556e-07
33.3170,8.4893e-07,1.4041e-06,3.8165e-07
34.3110,8.6492e-07,1.5003e-06,4.0745e-07
35.3060,8.7438e-07,1.4993e-06,4.2700e-07
36.3000,8.7823e-07,1.4807e-06,4.4627e-07
37.2940,8.7895e-07,1.4435e-06,4.6669e-07
38.2890,8.9002e-07,1.3873e-06,4.8615e-07
39.2830,9.1169e-07,1.3103e-06,4.9877e-07
40.2780,9.4836e-07,1.2166e-06,5.1133e-07
41.2720,9.8371e-07,1.1137e-06,5.3212e-07
42.2670,9.4631e-07,9.4873e-07,5.7025e-07
43.2610,8.3672e-07,7.6556e-07,6.0364e-07
44.2560,8.1376e-07,7.4193e-07,6.0095e-07
45.2500,7.9287e-07,7.2644e-07,5.9018e-07
46.2440,7.6830e-07,7.0868e-07,5.8151e-07
47.2390,7.4040e-07,6.8903e-07,5.8638e-07
48.2330,7.1202e-07,6.6738e-07,6.0235e-07
49.2280,6.8520e-07,6.4488e-07,5.9892e-07
50.2220,6.6044e-07,6.2346e-07,6.0139e-07
51.2170,6.3981e-07,6.0237e-07,6.1261e-07
52.2110,5.9444e-07,5.7303e-07,6.2377e-07
53.2060,4.4034e-07,4.7648e-07,6.8260e-07
54.2000,3.5612e-07,3.9154e-07,7.9958e-07
55.1940,3.4790e-07,3.8162e-07,7.9061e-07
56.1890,3.3935e-07,3.7106e-07,7.8260e-07
57.1830,3.3056e-07,3.5995e-07,7.7251e-07
58.1780,3.2098e-07,3.4885e-07,7.6481e-07
59.1720,3.0892e-07,3.3752e-07,7.5901e-07
60.1670,2.9528e-07,3.2475e-07,7.4314e-07
61.1610,2.8465e-07,3.1086e-07,7.2142e-07
62.1560,2.7645e-07,2.9657e-07,6.9747e-07
63.1500,2.6580e-07,2.7304e-07,6.6170e-07
64.1440,2.2707e-07,2.1177e-07,6.1839e-07
65.1390,1.8833e-07,1.4337e-07,5.6708e-07
66.1330,1.7251e-07,1.3848e-07,5.6034e-07
67.1280,1.7005e-07,1.3972e-07,5.5580e-07
68.1220,1.6745e-07,1.4073e-07,5.5061e-07
69.1170,1.6309e-07,1.4188e-07,5.2785e-07
70.1110,1.5574e-07,1.4324e-07,4.9837e-07
71.1060,1.4704e-07,1.4499e-07,4.7470e-07
72.1000,1.4150e-07,1.4666e-07,4.7263e-07
73.0940,1.3961e-07,1.4883e-07,4.8115e-07
74.0890,1.3546e-07,1.4653e-07,4.8150e-07
75.0830,1.3038e-07,1.4219e-07,4.8472e-07
76.0780,8.6975e-08,1.4112e-07,4.9036e-07
77.0720,6.7833e-08,1.4183e-07,5.1263e-07
78.0670,3.6762e-08,1.3520e-07,5.5080e-07
79.0610,3.8025e-08,1.3619e-07,5.4630e-07
80.0560,4.0089e-08,1.4211e-07,5.9499e-07
81.0500,4.3311e-08,1.4383e-07,4.9075e-07
82.0440,5.0751e-08,1.4860e-07,5.2103e-07
83.0390,5.0288e-08,1.9394e-07,4.4154e-07
84.0330,4.2676e-08,1.6021e-07,3.3457e-07
85.0280,3.3936e-08,1.4804e-07,2.4570e-07
86.0220,3.1090e-08,1.3183e-07,2.1427e-07
87.0170,3.6874e-08,1.0766e-07,2.4052e-07
88.0110,3.5728e-08,8.3149e-08,2.9039e-07
89.0060,3.3709e-08,7.4695e-08,3.6508e-07
