# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12ll for E = 50.0 keV, L* = 4.0, MLT = 16.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.2141e-11,1.0000e-31,9.3268e-14
1.4940,1.0971e-10,1.0000e-31,8.3957e-13
2.4890,3.0907e-10,1.0000e-31,2.3468e-12
3.4830,6.1730e-10,1.0000e-31,4.6330e-12
4.4780,1.0442e-09,1.0000e-31,7.7175e-12
5.4720,1.6027e-09,1.0000e-31,1.1620e-11
6.4670,2.3088e-09,1.0000e-31,1.6363e-11
7.4610,3.1824e-09,1.0000e-31,2.1968e-11
8.4560,4.2475e-09,1.0000e-31,2.8458e-11
9.4500,5.5327e-09,1.0000e-31,3.5859e-11
10.4440,7.0718e-09,1.0000e-31,4.4199e-11
11.4390,8.9048e-09,1.0000e-31,5.3506e-11
12.4330,1.1078e-08,1.0000e-31,6.3812e-11
13.4280,1.3648e-08,1.0000e-31,7.5150e-11
14.4220,1.6676e-08,1.0000e-31,8.7559e-11
15.4170,2.0238e-08,1.0000e-31,1.0108e-10
16.4110,2.4421e-08,1.0000e-31,1.1576e-10
17.4060,2.9323e-08,1.0000e-31,1.3165e-10
18.4000,3.5059e-08,1.0000e-31,1.4881e-10
19.3940,4.1760e-08,1.0000e-31,1.6733e-10
20.3890,4.9575e-08,1.0000e-31,1.8724e-10
21.3830,5.8670e-08,1.0000e-31,2.0864e-10
22.3780,6.9232e-08,1.0000e-31,2.3165e-10
23.3720,8.1463e-08,1.0000e-31,2.5636e-10
24.3670,9.5575e-08,1.0000e-31,2.8293e-10
25.3610,1.1179e-07,1.0000e-31,3.1154e-10
26.3560,1.3030e-07,1.0000e-31,3.4244e-10
27.3500,1.5130e-07,1.0000e-31,3.7559e-10
28.3440,1.7491e-07,1.0000e-31,4.1134e-10
29.3390,2.0117e-07,1.0000e-31,4.4994e-10
30.3330,2.3003e-07,1.0000e-31,5.0934e-10
31.3280,2.6122e-07,1.0000e-31,5.5615e-10
32.3220,2.9424e-07,1.0000e-31,6.0641e-10
33.3170,3.2828e-07,1.0000e-31,6.6053e-10
34.3110,3.6225e-07,1.0000e-31,7.2727e-10
35.3060,3.9487e-07,1.0000e-31,7.9050e-10
36.3000,4.2479e-07,1.0000e-31,8.5836e-10
37.2940,4.5078e-07,1.0000e-31,9.3116e-10
38.2890,4.7183e-07,1.0000e-31,1.0094e-09
39.2830,4.8810e-07,1.0000e-31,1.0982e-09
40.2780,5.0029e-07,1.0000e-31,1.1878e-09
41.2720,5.1359e-07,1.0000e-31,1.2831e-09
42.2670,5.4371e-07,1.0000e-31,1.3839e-09
43.2610,5.6697e-07,1.0000e-31,1.4863e-09
44.2560,5.6508e-07,1.0000e-31,1.5848e-09
45.2500,5.5715e-07,1.0000e-31,1.6975e-09
46.2440,5.4248e-07,1.0000e-31,1.8121e-09
47.2390,5.2116e-07,1.0000e-31,1.9268e-09
48.2330,4.9301e-07,1.0000e-31,2.0374e-09
49.2280,4.6053e-07,1.0000e-31,2.1190e-09
50.2220,4.2986e-07,1.0000e-31,2.2064e-09
51.2170,4.1305e-07,1.0000e-31,2.2815e-09
52.2110,3.9275e-07,1.0000e-31,2.3522e-09
53.2060,3.3870e-07,1.0000e-31,2.4158e-09
54.2000,3.5686e-07,1.0000e-31,2.4193e-09
55.1940,3.6961e-07,1.0000e-31,2.4657e-09
56.1890,3.7906e-07,1.0000e-31,2.5016e-09
57.1830,3.8424e-07,1.0000e-31,2.5243e-09
58.1780,3.8409e-07,1.0000e-31,2.5289e-09
59.1720,3.7769e-07,1.0000e-31,2.4947e-09
60.1670,3.6461e-07,1.0000e-31,2.4318e-09
61.1610,3.4529e-07,1.0000e-31,2.3408e-09
62.1560,3.2088e-07,1.0000e-31,2.1988e-09
63.1500,2.9979e-07,1.0000e-31,1.9831e-09
64.1440,3.1332e-07,1.0000e-31,1.6849e-09
65.1390,3.3979e-07,1.0000e-31,1.5093e-09
66.1330,3.1408e-07,1.0000e-31,1.1141e-09
67.1280,2.8912e-07,1.0000e-31,6.9448e-10
68.1220,2.6606e-07,1.0000e-31,4.0755e-10
69.1170,2.4586e-07,1.0000e-31,4.2515e-10
70.1110,2.2966e-07,1.0000e-31,4.5229e-10
71.1060,2.1845e-07,1.0000e-31,4.5659e-10
72.1000,2.1324e-07,1.0000e-31,4.9208e-10
73.0940,2.1388e-07,1.0000e-31,5.2774e-10
74.0890,2.1774e-07,1.0000e-31,5.7006e-10
75.0830,1.8371e-07,1.0000e-31,6.1616e-10
76.0780,8.5095e-08,1.0000e-31,6.6074e-10
77.0720,4.1658e-08,1.0000e-31,4.4096e-10
78.0670,4.3847e-08,1.0000e-31,4.3094e-10
79.0610,4.8625e-08,1.0000e-31,4.7148e-10
80.0560,5.6964e-08,1.0000e-31,5.1644e-10
81.0500,7.2229e-08,1.0000e-31,5.7609e-10
82.0440,8.3480e-08,1.0000e-31,6.6541e-10
83.0390,9.2817e-08,1.0000e-31,9.7340e-10
84.0330,4.2992e-08,1.0000e-31,1.2718e-09
85.0280,2.7777e-14,1.0000e-31,1.7231e-09
86.0220,1.0000e-31,1.0000e-31,3.3615e-09
87.0170,1.0000e-31,1.0000e-31,2.0512e-09
88.0110,1.0000e-31,1.0000e-31,3.6646e-10
89.0060,1.0000e-31,1.0000e-31,1.1823e-13
