# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12m for E = 1000.0 keV, L* = 4.0, MLT = 13.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,7.7932e-14,7.9029e-11,8.6615e-11
1.4940,7.4420e-13,7.1498e-10,7.7893e-10
2.4890,2.3262e-12,1.9919e-09,2.1734e-09
3.4830,5.3605e-12,3.9533e-09,4.2778e-09
4.4780,1.0769e-11,6.5915e-09,7.0963e-09
5.4720,1.9921e-11,9.9848e-09,1.0631e-08
6.4670,3.4750e-11,1.4105e-08,1.4872e-08
7.4610,5.8023e-11,1.9066e-08,1.9807e-08
8.4560,9.3649e-11,2.4814e-08,2.5424e-08
9.4500,1.4716e-10,3.1499e-08,3.1691e-08
10.4440,2.2640e-10,3.9116e-08,3.8582e-08
11.4390,3.4262e-10,4.7638e-08,4.6099e-08
12.4330,5.1196e-10,5.7264e-08,5.4487e-08
13.4280,7.5773e-10,6.7867e-08,6.3246e-08
14.4220,1.1136e-09,7.9677e-08,7.2569e-08
15.4170,1.6280e-09,9.2506e-08,8.3527e-08
16.4110,2.3689e-09,1.0673e-07,9.4040e-08
17.4060,3.4287e-09,1.2241e-07,1.0490e-07
18.4000,4.9228e-09,1.3960e-07,1.1564e-07
19.3940,6.9713e-09,1.5770e-07,1.2704e-07
20.3890,9.6418e-09,1.7665e-07,1.3811e-07
21.3830,1.2832e-08,1.9676e-07,1.4878e-07
22.3780,1.6136e-08,2.1744e-07,1.5838e-07
23.3720,1.8934e-08,2.3909e-07,1.6778e-07
24.3670,2.1719e-08,2.6086e-07,1.7676e-07
25.3610,2.4170e-08,2.8668e-07,1.8485e-07
26.3560,2.6435e-08,3.1770e-07,1.9284e-07
27.3500,2.9866e-08,3.5260e-07,2.0294e-07
28.3440,3.4861e-08,3.8987e-07,2.1347e-07
29.3390,4.2403e-08,4.2788e-07,2.2135e-07
30.3330,5.4362e-08,4.6507e-07,2.2714e-07
31.3280,7.2854e-08,5.0131e-07,2.3664e-07
32.3220,9.6003e-08,5.3715e-07,2.4615e-07
33.3170,1.1559e-07,5.6626e-07,2.5687e-07
34.3110,1.1470e-07,6.1984e-07,2.6764e-07
35.3060,1.1887e-07,6.4224e-07,2.8109e-07
36.3000,1.2250e-07,6.6280e-07,2.9659e-07
37.2940,1.2536e-07,6.8073e-07,3.1301e-07
38.2890,1.2774e-07,6.9464e-07,3.2963e-07
39.2830,1.3235e-07,7.0296e-07,3.4310e-07
40.2780,1.5082e-07,7.0314e-07,3.5605e-07
41.2720,1.8232e-07,6.9837e-07,3.7541e-07
42.2670,2.2912e-07,6.8664e-07,4.0872e-07
43.2610,3.1130e-07,7.0127e-07,4.7194e-07
44.2560,3.0457e-07,7.0707e-07,4.8018e-07
45.2500,2.9863e-07,7.0612e-07,4.7990e-07
46.2440,2.9203e-07,7.0277e-07,4.8084e-07
47.2390,2.8403e-07,6.9589e-07,4.8522e-07
48.2330,2.7383e-07,6.8467e-07,5.1327e-07
49.2280,2.6161e-07,6.7014e-07,5.1431e-07
50.2220,2.5102e-07,6.5180e-07,5.1244e-07
51.2170,2.4526e-07,6.2884e-07,5.1024e-07
52.2110,2.4852e-07,5.9919e-07,5.0634e-07
53.2060,2.1757e-07,5.2610e-07,5.0840e-07
54.2000,1.9484e-07,4.5647e-07,5.0747e-07
55.1940,1.8940e-07,4.4337e-07,4.9576e-07
56.1890,1.8372e-07,4.2850e-07,4.8319e-07
57.1830,1.7803e-07,4.1198e-07,4.6963e-07
58.1780,1.7174e-07,3.9418e-07,4.5424e-07
59.1720,1.6394e-07,3.7514e-07,4.3109e-07
60.1670,1.5312e-07,3.5665e-07,4.1220e-07
61.1610,1.3927e-07,3.3837e-07,3.9130e-07
62.1560,1.2988e-07,3.2068e-07,3.6771e-07
63.1500,1.2408e-07,3.0242e-07,3.5429e-07
64.1440,1.1015e-07,2.7891e-07,3.4236e-07
65.1390,5.2220e-08,1.0924e-07,3.0302e-07
66.1330,4.3703e-08,1.0521e-07,2.9513e-07
67.1280,4.3515e-08,1.0383e-07,2.8723e-07
68.1220,4.2842e-08,1.0229e-07,2.7390e-07
69.1170,4.1262e-08,1.0061e-07,2.6309e-07
70.1110,3.8659e-08,9.8736e-08,2.4544e-07
71.1060,3.6133e-08,9.6748e-08,2.1346e-07
72.1000,3.5555e-08,9.4681e-08,2.0826e-07
73.0940,3.5524e-08,9.2509e-08,2.0233e-07
74.0890,3.5906e-08,9.0689e-08,2.0436e-07
75.0830,3.5177e-08,8.8287e-08,2.1109e-07
76.0780,3.1119e-08,8.0915e-08,2.2049e-07
77.0720,1.2131e-08,4.9523e-08,2.3752e-07
78.0670,1.0232e-08,4.0182e-08,2.4779e-07
79.0610,1.0354e-08,4.0060e-08,2.5360e-07
80.0560,1.1010e-08,4.0551e-08,2.4845e-07
81.0500,1.2356e-08,4.1794e-08,2.3236e-07
82.0440,1.3225e-08,4.5343e-08,2.1465e-07
83.0390,1.4900e-08,5.0361e-08,2.2893e-07
84.0330,1.9676e-08,5.9609e-08,1.9813e-07
85.0280,1.6943e-08,6.7656e-08,2.1556e-07
86.0220,7.9353e-09,6.6764e-08,1.2864e-07
87.0170,7.0657e-09,4.6059e-08,1.1500e-07
88.0110,6.5507e-09,1.5330e-08,1.0530e-07
89.0060,6.0617e-09,6.8146e-09,1.1869e-07
