# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12mm for E = 50.0 keV, L* = 4.0, MLT = 19.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,8.7694e-12,1.0000e-31,2.5682e-16
1.4940,7.8923e-11,1.0000e-31,2.3372e-15
2.4890,2.2052e-10,1.0000e-31,6.6768e-15
3.4830,4.3508e-10,1.0000e-31,1.3618e-14
4.4780,7.2415e-10,1.0000e-31,2.3685e-14
5.4720,1.0892e-09,1.0000e-31,3.7623e-14
6.4670,1.5318e-09,1.0000e-31,5.6450e-14
7.4610,2.0534e-09,1.0000e-31,8.1520e-14
8.4560,2.6554e-09,1.0000e-31,1.1460e-13
9.4500,3.3393e-09,1.0000e-31,1.5798e-13
10.4440,4.1067e-09,1.0000e-31,2.1456e-13
11.4390,4.9591e-09,1.0000e-31,2.8800e-13
12.4330,5.8984e-09,1.0000e-31,3.8286e-13
13.4280,6.9264e-09,1.0000e-31,5.0480e-13
14.4220,8.0451e-09,1.0000e-31,6.6071e-13
15.4170,9.2571e-09,1.0000e-31,8.5902e-13
16.4110,1.0565e-08,1.0000e-31,1.1099e-12
17.4060,1.1971e-08,1.0000e-31,1.4259e-12
18.4000,1.3480e-08,1.0000e-31,1.8217e-12
19.3940,1.5096e-08,1.0000e-31,2.3152e-12
20.3890,1.6823e-08,1.0000e-31,2.9265e-12
21.3830,1.8665e-08,1.0000e-31,3.6789e-12
22.3780,2.0629e-08,1.0000e-31,4.6004e-12
23.3720,2.2719e-08,1.0000e-31,5.7230e-12
24.3670,2.4943e-08,1.0000e-31,7.0836e-12
25.3610,2.7306e-08,1.0000e-31,8.7248e-12
26.3560,2.9815e-08,1.0000e-31,1.0695e-11
27.3500,3.2473e-08,1.0000e-31,1.3050e-11
28.3440,3.5285e-08,1.0000e-31,1.5852e-11
29.3390,3.8283e-08,1.0000e-31,1.9172e-11
30.3330,4.1498e-08,1.0000e-31,2.3090e-11
31.3280,4.5093e-08,1.0000e-31,2.7694e-11
32.3220,4.8995e-08,1.0000e-31,3.3088e-11
33.3170,5.3107e-08,1.0000e-31,3.9378e-11
34.3110,5.7614e-08,1.0000e-31,4.6694e-11
35.3060,6.2590e-08,1.0000e-31,5.5170e-11
36.3000,6.8119e-08,1.0000e-31,6.4963e-11
37.2940,7.4297e-08,1.0000e-31,7.6246e-11
38.2890,8.1219e-08,1.0000e-31,8.9319e-11
39.2830,8.9019e-08,1.0000e-31,1.0561e-10
40.2780,9.7758e-08,1.0000e-31,1.2695e-10
41.2720,1.0730e-07,1.0000e-31,1.4982e-10
42.2670,1.1962e-07,1.0000e-31,1.8146e-10
43.2610,1.3177e-07,1.0000e-31,3.1074e-10
44.2560,1.4512e-07,1.0000e-31,6.0866e-10
45.2500,1.5970e-07,1.0000e-31,9.9829e-10
46.2440,1.7551e-07,1.0000e-31,1.2600e-09
47.2390,1.9252e-07,1.0000e-31,1.4752e-09
48.2330,2.1071e-07,1.0000e-31,1.6666e-09
49.2280,2.2939e-07,1.0000e-31,1.8360e-09
50.2220,2.4810e-07,1.0000e-31,2.0006e-09
51.2170,2.6667e-07,1.0000e-31,2.1764e-09
52.2110,2.8231e-07,1.0000e-31,2.3648e-09
53.2060,2.9906e-07,1.0000e-31,2.5608e-09
54.2000,3.1299e-07,1.0000e-31,2.7655e-09
55.1940,3.2373e-07,1.0000e-31,2.9788e-09
56.1890,3.3067e-07,1.0000e-31,3.2008e-09
57.1830,3.3397e-07,1.0000e-31,3.4314e-09
58.1780,3.3364e-07,1.0000e-31,3.6703e-09
59.1720,3.2892e-07,1.0000e-31,3.9139e-09
60.1670,3.2284e-07,1.0000e-31,4.1547e-09
61.1610,3.2336e-07,1.0000e-31,4.3879e-09
62.1560,3.2125e-07,1.0000e-31,4.6208e-09
63.1500,3.4689e-07,1.0000e-31,4.8836e-09
64.1440,3.4761e-07,1.0000e-31,5.2280e-09
65.1390,3.3205e-07,1.0000e-31,6.0363e-09
66.1330,3.1719e-07,1.0000e-31,7.6925e-09
67.1280,3.0354e-07,1.0000e-31,9.7455e-09
68.1220,2.9067e-07,1.0000e-31,1.2243e-08
69.1170,2.8161e-07,1.0000e-31,1.5303e-08
70.1110,2.7765e-07,1.0000e-31,1.9418e-08
71.1060,2.9068e-07,1.0000e-31,2.4832e-08
72.1000,3.1345e-07,1.0000e-31,3.1065e-08
73.0940,3.4458e-07,1.0000e-31,4.6049e-08
74.0890,3.9917e-07,1.0000e-31,7.6324e-08
75.0830,4.9464e-07,1.0000e-31,7.0423e-08
76.0780,6.5548e-07,1.0000e-31,8.1630e-08
77.0720,7.2393e-07,1.0000e-31,1.0980e-07
78.0670,8.0790e-07,1.0000e-31,1.2541e-07
79.0610,9.1796e-07,1.0000e-31,1.2493e-07
80.0560,8.3169e-07,1.0000e-31,1.2403e-07
81.0500,6.6841e-07,1.0000e-31,1.2217e-07
82.0440,7.6965e-07,1.0000e-31,1.1608e-07
83.0390,6.4171e-07,1.0000e-31,1.0012e-07
84.0330,4.2486e-07,1.0000e-31,7.4225e-08
85.0280,8.1087e-08,1.0000e-31,4.7116e-08
86.0220,3.6623e-08,1.0000e-31,2.2980e-08
87.0170,2.1434e-15,1.0000e-31,5.4223e-09
88.0110,5.5573e-17,1.0000e-31,1.7068e-09
89.0060,1.0000e-31,1.0000e-31,2.0901e-10
