# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12n for E = 1000.0 keV, L* = 4.0, MLT = 16.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.7400e-25,1.0000e-31,8.9640e-17
1.4940,1.5596e-22,1.0000e-31,8.2064e-16
2.4890,4.7388e-21,1.0000e-31,2.3704e-15
3.4830,5.2707e-20,1.0000e-31,4.9054e-15
4.4780,3.5122e-19,1.0000e-31,8.6722e-15
5.4720,1.7017e-18,1.0000e-31,1.4007e-14
6.4670,6.6252e-18,1.0000e-31,2.1356e-14
7.4610,2.2001e-17,1.0000e-31,3.1333e-14
8.4560,6.4760e-17,1.0000e-31,4.4846e-14
9.4500,1.7348e-16,1.0000e-31,6.3247e-14
10.4440,4.3093e-16,1.0000e-31,8.8586e-14
11.4390,1.0063e-15,1.0000e-31,1.2458e-13
12.4330,2.2325e-15,1.0000e-31,1.7820e-13
13.4280,4.7425e-15,1.0000e-31,2.6216e-13
14.4220,9.7078e-15,1.0000e-31,3.9616e-13
15.4170,1.9245e-14,1.0000e-31,6.0251e-13
16.4110,3.7095e-14,1.0000e-31,8.9515e-13
17.4060,6.9785e-14,1.0000e-31,1.2725e-12
18.4000,1.2866e-13,1.0000e-31,1.7463e-12
19.3940,2.3289e-13,1.0000e-31,2.3578e-12
20.3890,4.1446e-13,1.0000e-31,3.1998e-12
21.3830,7.2596e-13,1.0000e-31,4.5143e-12
22.3780,1.2526e-12,1.0000e-31,6.1986e-12
23.3720,2.1302e-12,1.0000e-31,7.8753e-12
24.3670,3.5713e-12,1.0000e-31,9.4765e-12
25.3610,5.9015e-12,1.0000e-31,1.1262e-11
26.3560,9.6081e-12,1.0000e-31,1.2831e-11
27.3500,1.5405e-11,1.0000e-31,1.3746e-11
28.3440,2.4330e-11,1.0000e-31,1.4486e-11
29.3390,3.7877e-11,1.0000e-31,1.5484e-11
30.3330,5.8142e-11,1.0000e-31,1.9375e-11
31.3280,8.8003e-11,1.0000e-31,1.9949e-11
32.3220,1.3125e-10,1.0000e-31,2.0966e-11
33.3170,1.9254e-10,1.0000e-31,2.1846e-11
34.3110,2.7726e-10,1.0000e-31,2.2036e-11
35.3060,3.9180e-10,1.0000e-31,2.2804e-11
36.3000,5.4731e-10,1.0000e-31,2.2400e-11
37.2940,7.6996e-10,1.0000e-31,2.1998e-11
38.2890,1.0935e-09,1.0000e-31,2.1897e-11
39.2830,1.5021e-09,1.0000e-31,2.1459e-11
40.2780,1.9321e-09,1.0000e-31,2.0620e-11
41.2720,2.6896e-09,1.0000e-31,1.9521e-11
42.2670,4.1565e-09,1.0000e-31,1.8394e-11
43.2610,5.3979e-09,1.0000e-31,1.7749e-11
44.2560,8.2967e-09,1.0000e-31,1.6240e-11
45.2500,7.8845e-09,1.0000e-31,1.5743e-11
46.2440,7.4733e-09,1.0000e-31,1.4885e-11
47.2390,7.0566e-09,1.0000e-31,1.3899e-11
48.2330,6.6236e-09,1.0000e-31,1.3233e-11
49.2280,6.1619e-09,1.0000e-31,1.2064e-11
50.2220,5.6330e-09,1.0000e-31,1.1716e-11
51.2170,4.9813e-09,1.0000e-31,1.1166e-11
52.2110,4.4771e-09,1.0000e-31,1.0357e-11
53.2060,3.2304e-09,1.0000e-31,9.8242e-12
54.2000,1.3635e-09,1.0000e-31,9.0195e-12
55.1940,1.4566e-09,1.0000e-31,9.5562e-12
56.1890,1.5822e-09,1.0000e-31,1.0370e-11
57.1830,1.7294e-09,1.0000e-31,1.1354e-11
58.1780,1.9096e-09,1.0000e-31,1.2508e-11
59.1720,2.1317e-09,1.0000e-31,1.4084e-11
60.1670,2.3805e-09,1.0000e-31,1.5802e-11
61.1610,2.6587e-09,1.0000e-31,1.7992e-11
62.1560,3.0056e-09,1.0000e-31,2.0607e-11
63.1500,3.4467e-09,1.0000e-31,2.3928e-11
64.1440,4.2004e-09,1.0000e-31,2.8651e-11
65.1390,5.8793e-09,1.0000e-31,3.1667e-11
66.1330,5.8925e-09,1.0000e-31,3.8389e-11
67.1280,5.8173e-09,1.0000e-31,3.9112e-11
68.1220,5.7060e-09,1.0000e-31,4.0249e-11
69.1170,5.5860e-09,1.0000e-31,4.1571e-11
70.1110,5.4134e-09,1.0000e-31,4.3362e-11
71.1060,5.2257e-09,1.0000e-31,4.5894e-11
72.1000,4.9929e-09,1.0000e-31,4.8632e-11
73.0940,4.7583e-09,1.0000e-31,5.3069e-11
74.0890,4.5572e-09,1.0000e-31,5.8832e-11
75.0830,3.9030e-09,1.0000e-31,6.5809e-11
76.0780,3.2892e-09,1.0000e-31,7.5091e-11
77.0720,2.2673e-09,1.0000e-31,8.0866e-11
78.0670,1.2358e-09,1.0000e-31,9.6708e-11
79.0610,1.2308e-09,1.0000e-31,1.0410e-10
80.0560,1.2650e-09,1.0000e-31,1.0821e-10
81.0500,1.4594e-09,1.0000e-31,1.1401e-10
82.0440,1.4533e-09,1.0000e-31,1.1591e-10
83.0390,1.0937e-09,1.0000e-31,1.0812e-10
84.0330,1.0201e-09,1.0000e-31,1.0133e-10
85.0280,1.2243e-09,1.0000e-31,9.7428e-11
86.0220,1.5113e-09,1.0000e-31,1.0892e-10
87.0170,2.2824e-09,1.0000e-31,1.3317e-10
88.0110,5.7749e-10,1.0000e-31,2.2065e-10
89.0060,2.4235e-10,1.0000e-31,1.8443e-10
