# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12nn for E = 50.0 keV, L* = 4.0, MLT = 22.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.4390e-10,3.2812e-08,7.9864e-10
1.4940,2.1958e-09,3.4533e-08,7.1961e-09
2.4890,6.1392e-09,3.7643e-08,2.0154e-08
3.4830,1.2125e-08,4.2154e-08,3.9905e-08
4.4780,2.0208e-08,4.7988e-08,6.6732e-08
5.4720,3.0446e-08,5.5314e-08,1.0097e-07
6.4670,4.2903e-08,6.4112e-08,1.4299e-07
7.4610,5.7645e-08,7.4683e-08,1.9325e-07
8.4560,7.4744e-08,8.6999e-08,2.5225e-07
9.4500,9.4275e-08,1.0147e-07,3.2053e-07
10.4440,1.1632e-07,1.1819e-07,3.9871e-07
11.4390,1.4096e-07,1.3722e-07,4.8746e-07
12.4330,1.6828e-07,1.5914e-07,5.8749e-07
13.4280,1.9838e-07,1.8383e-07,6.9953e-07
14.4220,2.3136e-07,2.1200e-07,8.2434e-07
15.4170,2.6731e-07,2.4344e-07,9.6269e-07
16.4110,3.0634e-07,2.7897e-07,1.1153e-06
17.4060,3.4857e-07,3.1826e-07,1.2830e-06
18.4000,3.9410e-07,3.6239e-07,1.4665e-06
19.3940,4.4305e-07,4.1148e-07,1.6663e-06
20.3890,4.9554e-07,4.6534e-07,1.8823e-06
21.3830,5.5168e-07,5.2525e-07,2.1138e-06
22.3780,6.1162e-07,5.9052e-07,2.3601e-06
23.3720,6.7545e-07,6.6290e-07,2.6197e-06
24.3670,7.4331e-07,7.4183e-07,2.8928e-06
25.3610,8.1532e-07,8.2961e-07,3.1801e-06
26.3560,8.9159e-07,9.2537e-07,3.4804e-06
27.3500,9.7222e-07,1.0318e-06,3.7935e-06
28.3440,1.0573e-06,1.1490e-06,4.1187e-06
29.3390,1.1470e-06,1.2767e-06,4.4524e-06
30.3330,1.2412e-06,1.4186e-06,4.7906e-06
31.3280,1.3402e-06,1.5730e-06,5.1290e-06
32.3220,1.4438e-06,1.7440e-06,5.4634e-06
33.3170,1.5521e-06,1.9301e-06,5.7918e-06
34.3110,1.6650e-06,2.1364e-06,6.1170e-06
35.3060,1.7824e-06,2.3608e-06,6.4399e-06
36.3000,1.9040e-06,2.6095e-06,6.7577e-06
37.2940,2.0299e-06,2.8833e-06,7.0670e-06
38.2890,2.1599e-06,3.1828e-06,7.3644e-06
39.2830,2.2937e-06,3.5179e-06,7.6462e-06
40.2780,2.4307e-06,3.8877e-06,7.9009e-06
41.2720,2.5705e-06,4.3043e-06,8.0930e-06
42.2670,2.7125e-06,4.7636e-06,8.2035e-06
43.2610,2.8556e-06,5.2766e-06,8.2384e-06
44.2560,3.0009e-06,5.8366e-06,8.2272e-06
45.2500,3.1480e-06,6.4538e-06,8.2144e-06
46.2440,3.2959e-06,7.1230e-06,8.2130e-06
47.2390,3.4437e-06,7.8378e-06,8.2377e-06
48.2330,3.5901e-06,8.6167e-06,8.3159e-06
49.2280,3.7362e-06,9.4535e-06,8.4738e-06
50.2220,3.8843e-06,1.0369e-05,8.7494e-06
51.2170,4.0257e-06,1.1359e-05,9.1847e-06
52.2110,4.1582e-06,1.2450e-05,9.8291e-06
53.2060,4.2842e-06,1.3599e-05,1.0732e-05
54.2000,4.4040e-06,1.4806e-05,1.1811e-05
55.1940,4.5187e-06,1.6030e-05,1.2990e-05
56.1890,4.6279e-06,1.7267e-05,1.4233e-05
57.1830,4.7302e-06,1.8528e-05,1.5616e-05
58.1780,4.8244e-06,1.9867e-05,1.7238e-05
59.1720,4.9515e-06,2.1172e-05,1.9033e-05
60.1670,5.0981e-06,2.2375e-05,2.0828e-05
61.1610,5.2290e-06,2.3345e-05,2.1775e-05
62.1560,5.3374e-06,2.3978e-05,2.0776e-05
63.1500,5.4037e-06,2.4259e-05,1.8633e-05
64.1440,5.4263e-06,2.4283e-05,1.6083e-05
65.1390,5.3909e-06,2.4071e-05,1.3770e-05
66.1330,5.3514e-06,2.3584e-05,1.3711e-05
67.1280,5.3424e-06,2.3228e-05,1.7882e-05
68.1220,5.1211e-06,2.3242e-05,2.2843e-05
69.1170,5.0536e-06,2.3527e-05,2.8212e-05
70.1110,4.6340e-06,2.4082e-05,3.2661e-05
71.1060,4.3353e-06,2.5434e-05,3.4611e-05
72.1000,4.2882e-06,2.6276e-05,3.8087e-05
73.0940,4.8192e-06,2.5607e-05,4.1046e-05
74.0890,3.6996e-06,2.7752e-05,4.1681e-05
75.0830,2.8420e-06,2.5170e-05,4.0271e-05
76.0780,2.0975e-06,2.4394e-05,3.9301e-05
77.0720,1.3482e-06,2.3080e-05,3.5905e-05
78.0670,9.0412e-07,2.1186e-05,2.5453e-05
79.0610,7.0493e-07,1.8699e-05,1.6490e-05
80.0560,4.9365e-07,1.5597e-05,1.0457e-05
81.0500,2.5464e-07,1.2081e-05,4.6637e-06
82.0440,1.0326e-07,8.7164e-06,6.4076e-07
83.0390,3.1017e-08,5.9456e-06,2.1354e-07
84.0330,4.8793e-09,3.7733e-06,1.0000e-31
85.0280,5.8526e-11,2.2852e-06,1.0000e-31
86.0220,1.7539e-16,9.9876e-07,1.0000e-31
87.0170,2.1123e-17,2.8740e-07,1.0000e-31
88.0110,1.0000e-31,1.0466e-07,1.0000e-31
89.0060,1.0000e-31,3.7566e-08,1.0000e-31
