# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12o for E = 1000.0 keV, L* = 4.0, MLT = 19.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,5.5962e-19,1.0000e-31,5.3220e-32
1.4940,4.5548e-17,1.0000e-31,7.5234e-29
2.4890,3.6167e-16,1.0000e-31,2.2241e-27
3.4830,1.4489e-15,1.0000e-31,2.0845e-26
4.4780,4.1768e-15,1.0000e-31,1.1155e-25
5.4720,9.9383e-15,1.0000e-31,4.2802e-25
6.4670,2.0875e-14,1.0000e-31,1.3178e-24
7.4610,4.0199e-14,1.0000e-31,3.4705e-24
8.4560,7.2640e-14,1.0000e-31,8.1344e-24
9.4500,1.2506e-13,1.0000e-31,1.7424e-23
10.4440,2.0727e-13,1.0000e-31,3.4745e-23
11.4390,3.3319e-13,1.0000e-31,6.5372e-23
12.4330,5.2227e-13,1.0000e-31,1.1723e-22
13.4280,8.0151e-13,1.0000e-31,2.0197e-22
14.4220,1.2083e-12,1.0000e-31,3.3633e-22
15.4170,1.7937e-12,1.0000e-31,5.4401e-22
16.4110,2.6266e-12,1.0000e-31,8.5812e-22
17.4060,3.7998e-12,1.0000e-31,1.3243e-21
18.4000,5.4363e-12,1.0000e-31,2.0054e-21
19.3940,7.6980e-12,1.0000e-31,2.9895e-21
20.3890,1.0793e-11,1.0000e-31,4.4074e-21
21.3830,1.4982e-11,1.0000e-31,6.5020e-21
22.3780,2.0577e-11,1.0000e-31,1.0262e-20
23.3720,2.7902e-11,1.0000e-31,1.8389e-20
24.3670,3.7142e-11,1.0000e-31,3.6891e-20
25.3610,4.8060e-11,1.0000e-31,7.8734e-20
26.3560,5.9970e-11,1.0000e-31,1.7264e-19
27.3500,7.2577e-11,1.0000e-31,3.8249e-19
28.3440,8.6339e-11,1.0000e-31,8.4466e-19
29.3390,1.0333e-10,1.0000e-31,1.8439e-18
30.3330,1.4516e-10,1.0000e-31,3.9300e-18
31.3280,2.4260e-10,1.0000e-31,8.0574e-18
32.3220,4.5334e-10,1.0000e-31,1.6146e-17
33.3170,7.7335e-10,1.0000e-31,3.2385e-17
34.3110,1.0355e-09,1.0000e-31,6.6827e-17
35.3060,1.0425e-09,1.0000e-31,1.6169e-16
36.3000,1.0541e-09,1.0000e-31,4.4460e-16
37.2940,1.0744e-09,1.0000e-31,1.1623e-15
38.2890,1.0939e-09,1.0000e-31,2.7771e-15
39.2830,1.0705e-09,1.0000e-31,6.0827e-15
40.2780,1.0287e-09,1.0000e-31,1.2214e-14
41.2720,1.0235e-09,1.0000e-31,2.2521e-14
42.2670,1.2451e-09,1.0000e-31,3.9006e-14
43.2610,1.6809e-09,1.0000e-31,6.5059e-14
44.2560,1.5593e-09,1.0000e-31,1.0757e-13
45.2500,1.5341e-09,1.0000e-31,1.8071e-13
46.2440,1.5146e-09,1.0000e-31,2.9675e-13
47.2390,1.5030e-09,1.0000e-31,4.5649e-13
48.2330,1.4990e-09,1.0000e-31,6.7231e-13
49.2280,1.5072e-09,1.0000e-31,9.5355e-13
50.2220,1.4859e-09,1.0000e-31,1.3107e-12
51.2170,1.4251e-09,1.0000e-31,1.8941e-12
52.2110,1.4357e-09,1.0000e-31,2.7654e-12
53.2060,1.5544e-09,1.0000e-31,3.8518e-12
54.2000,1.3910e-09,1.0000e-31,4.9392e-12
55.1940,1.4955e-09,1.0000e-31,5.9302e-12
56.1890,1.6234e-09,1.0000e-31,7.6257e-12
57.1830,1.7918e-09,1.0000e-31,1.1384e-11
58.1780,2.0036e-09,1.0000e-31,1.5659e-11
59.1720,2.2291e-09,1.0000e-31,1.7658e-11
60.1670,2.4372e-09,1.0000e-31,1.9550e-11
61.1610,2.6776e-09,1.0000e-31,2.2603e-11
62.1560,3.2328e-09,1.0000e-31,3.3086e-11
63.1500,3.8225e-09,1.0000e-31,4.4395e-11
64.1440,4.2256e-09,1.0000e-31,4.7325e-11
65.1390,6.2541e-09,1.0000e-31,4.8541e-11
66.1330,6.4498e-09,1.0000e-31,5.5233e-11
67.1280,6.4048e-09,1.0000e-31,7.7415e-11
68.1220,6.3632e-09,1.0000e-31,1.0221e-10
69.1170,6.2310e-09,1.0000e-31,1.0355e-10
70.1110,6.1269e-09,1.0000e-31,1.0791e-10
71.1060,6.1114e-09,1.0000e-31,1.2599e-10
72.1000,6.0985e-09,1.0000e-31,1.6761e-10
73.0940,5.8550e-09,1.0000e-31,2.2279e-10
74.0890,5.2603e-09,1.0000e-31,2.2242e-10
75.0830,5.5648e-09,1.0000e-31,2.1812e-10
76.0780,5.4205e-09,1.0000e-31,2.8627e-10
77.0720,4.2087e-09,1.0000e-31,4.4220e-10
78.0670,4.2041e-09,1.0000e-31,5.3761e-10
79.0610,4.3889e-09,1.0000e-31,4.4963e-10
80.0560,4.2945e-09,1.0000e-31,3.7993e-10
81.0500,4.3408e-09,1.0000e-31,6.3571e-10
82.0440,4.7637e-09,1.0000e-31,7.9002e-10
83.0390,3.9677e-09,1.0000e-31,1.6618e-09
84.0330,4.3997e-09,1.0000e-31,8.3727e-10
85.0280,8.5324e-09,1.0000e-31,8.7624e-10
86.0220,3.8785e-09,1.0000e-31,9.9322e-10
87.0170,3.8762e-09,1.0000e-31,1.2571e-09
88.0110,6.0699e-09,1.0000e-31,8.8094e-10
89.0060,4.1066e-09,1.0000e-31,6.5199e-10
