# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12p for E = 1000.0 keV, L* = 4.0, MLT = 22.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.1475e-18,9.5946e-12,5.6148e-15
1.4940,9.3234e-17,8.6576e-11,5.2659e-14
2.4890,7.3780e-16,2.3994e-10,1.5792e-13
3.4830,2.9410e-15,4.7245e-10,3.3976e-13
4.4780,8.4243e-15,7.7949e-10,6.2045e-13
5.4720,1.9890e-14,1.1650e-09,1.0251e-12
6.4670,4.1406e-14,1.6195e-09,1.5817e-12
7.4610,7.8942e-14,2.1477e-09,2.3226e-12
8.4560,1.4109e-13,2.7346e-09,3.2849e-12
9.4500,2.4004e-13,3.3847e-09,4.5123e-12
10.4440,3.9282e-13,4.0836e-09,6.0568e-12
11.4390,6.2306e-13,4.8142e-09,7.9808e-12
12.4330,9.6308e-13,5.5754e-09,1.0360e-11
13.4280,1.4568e-12,6.3371e-09,1.3288e-11
14.4220,2.1638e-12,7.0900e-09,1.6880e-11
15.4170,3.1635e-12,7.7971e-09,2.1281e-11
16.4110,4.5617e-12,8.4978e-09,2.6677e-11
17.4060,6.4978e-12,9.2131e-09,3.3301e-11
18.4000,9.1552e-12,9.9871e-09,4.1450e-11
19.3940,1.2774e-11,1.0410e-08,5.1512e-11
20.3890,1.7665e-11,1.0533e-08,6.3992e-11
21.3830,2.4233e-11,1.0403e-08,7.9409e-11
22.3780,3.2997e-11,1.0050e-08,9.8240e-11
23.3720,4.4624e-11,9.4843e-09,1.2072e-10
24.3670,5.9954e-11,8.8577e-09,1.4712e-10
25.3610,8.0042e-11,7.5421e-09,1.7839e-10
26.3560,1.0620e-10,7.6460e-09,2.1581e-10
27.3500,1.3995e-10,8.0002e-09,2.6104e-10
28.3440,1.8302e-10,8.2608e-09,3.1621e-10
29.3390,2.3707e-10,8.3997e-09,3.8414e-10
30.3330,3.0374e-10,8.4303e-09,4.6845e-10
31.3280,3.8493e-10,8.3684e-09,5.7377e-10
32.3220,4.8335e-10,8.2115e-09,7.0606e-10
33.3170,6.0284e-10,7.8577e-09,8.7287e-10
34.3110,7.4811e-10,8.0501e-09,1.0840e-09
35.3060,9.2525e-10,8.6540e-09,1.3521e-09
36.3000,1.1459e-09,9.3222e-09,1.6941e-09
37.2940,1.4525e-09,1.0055e-08,2.1351e-09
38.2890,1.8948e-09,1.0846e-08,2.7102e-09
39.2830,2.5177e-09,1.1687e-08,3.4615e-09
40.2780,3.4220e-09,1.2525e-08,4.4429e-09
41.2720,4.6958e-09,1.3403e-08,5.7221e-09
42.2670,6.2850e-09,1.4548e-08,7.3768e-09
43.2610,7.8168e-09,1.6148e-08,9.4872e-09
44.2560,8.8416e-09,1.7503e-08,1.2135e-08
45.2500,9.9862e-09,1.8974e-08,1.5366e-08
46.2440,1.1226e-08,2.0680e-08,1.9211e-08
47.2390,1.2607e-08,2.2637e-08,2.3685e-08
48.2330,1.4155e-08,2.4923e-08,2.8822e-08
49.2280,1.5997e-08,2.7528e-08,3.4681e-08
50.2220,1.8894e-08,3.0466e-08,4.1257e-08
51.2170,2.3181e-08,3.3744e-08,4.8461e-08
52.2110,2.9465e-08,3.7644e-08,5.6321e-08
53.2060,3.9808e-08,4.2950e-08,6.4487e-08
54.2000,4.3210e-08,4.7707e-08,7.3087e-08
55.1940,4.7183e-08,5.4236e-08,8.3540e-08
56.1890,5.1963e-08,6.1956e-08,9.8196e-08
57.1830,5.7736e-08,7.1859e-08,1.2184e-07
58.1780,6.4517e-08,8.4988e-08,1.5402e-07
59.1720,7.1220e-08,1.0001e-07,1.9018e-07
60.1670,7.6742e-08,1.1690e-07,2.2166e-07
61.1610,8.2734e-08,1.3279e-07,2.5537e-07
62.1560,9.4819e-08,1.4950e-07,2.9325e-07
63.1500,1.0868e-07,1.7050e-07,3.3103e-07
64.1440,1.4186e-07,2.3487e-07,5.9927e-07
65.1390,1.8328e-07,3.0436e-07,8.0917e-07
66.1330,1.8737e-07,3.1484e-07,7.8836e-07
67.1280,1.8740e-07,3.1763e-07,7.4582e-07
68.1220,1.8783e-07,3.2108e-07,7.0218e-07
69.1170,1.9041e-07,3.2322e-07,6.4465e-07
70.1110,1.9660e-07,3.2992e-07,3.0344e-07
71.1060,2.0344e-07,3.4148e-07,1.3872e-07
72.1000,2.0954e-07,3.6012e-07,2.1938e-07
73.0940,2.1606e-07,3.7323e-07,2.5855e-07
74.0890,2.1141e-07,3.7585e-07,2.9846e-07
75.0830,2.0510e-07,3.9597e-07,3.7574e-07
76.0780,1.8328e-07,3.8179e-07,2.9926e-07
77.0720,1.7341e-07,3.6713e-07,4.0725e-07
78.0670,1.9328e-07,3.9071e-07,5.2583e-07
79.0610,2.0591e-07,4.0306e-07,5.0307e-07
80.0560,2.1881e-07,4.3023e-07,4.6402e-07
81.0500,2.4116e-07,4.9073e-07,4.3089e-07
82.0440,3.2116e-07,5.5227e-07,3.8988e-07
83.0390,2.7210e-07,3.9209e-07,2.3603e-07
84.0330,2.0338e-07,3.1709e-07,1.0000e-31
85.0280,1.5592e-07,3.3551e-07,1.0000e-31
86.0220,1.5979e-07,3.9301e-07,1.0000e-31
87.0170,1.7551e-07,4.8481e-07,1.0000e-31
88.0110,2.0217e-07,5.5104e-07,1.0000e-31
89.0060,2.1866e-07,6.3682e-07,1.0000e-31
