# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12q for E = 500.0 keV, L* = 4.0, MLT = 1.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.2521e-12,9.4889e-11,1.3556e-09
1.4940,1.1440e-11,8.5747e-10,1.2203e-08
2.4890,3.2928e-11,2.3833e-09,3.4114e-08
3.4830,6.7870e-11,4.7136e-09,6.7357e-08
4.4780,1.1956e-10,7.8235e-09,1.1222e-07
5.4720,1.9263e-10,1.1784e-08,1.6899e-07
6.4670,2.9338e-10,1.6536e-08,2.3796e-07
7.4610,4.3017e-10,2.2182e-08,3.1945e-07
8.4560,6.1406e-10,2.8627e-08,4.1375e-07
9.4500,8.5960e-10,3.6003e-08,5.2114e-07
10.4440,1.1853e-09,4.4254e-08,6.4187e-07
11.4390,1.6053e-09,5.3305e-08,7.7617e-07
12.4330,2.1377e-09,6.3316e-08,9.2421e-07
13.4280,2.8053e-09,7.4103e-08,1.0861e-06
14.4220,3.6348e-09,8.5849e-08,1.2618e-06
15.4170,4.6569e-09,9.8325e-08,1.4513e-06
16.4110,5.9077e-09,1.1173e-07,1.6544e-06
17.4060,7.4286e-09,1.2578e-07,1.8707e-06
18.4000,9.2687e-09,1.4069e-07,2.0998e-06
19.3940,1.1486e-08,1.5626e-07,2.3412e-06
20.3890,1.4145e-08,1.7227e-07,2.5939e-06
21.3830,1.7325e-08,1.8896e-07,2.8570e-06
22.3780,2.1114e-08,2.0600e-07,3.1289e-06
23.3720,2.5614e-08,2.2384e-07,3.4075e-06
24.3670,3.0945e-08,2.4288e-07,3.6905e-06
25.3610,3.7242e-08,2.6319e-07,3.9746e-06
26.3560,4.4656e-08,2.8343e-07,4.2559e-06
27.3500,5.3356e-08,3.0407e-07,4.5295e-06
28.3440,6.3530e-08,3.2514e-07,4.7901e-06
29.3390,7.5377e-08,3.4655e-07,5.0335e-06
30.3330,8.9103e-08,3.6895e-07,5.2568e-06
31.3280,1.0491e-07,3.9198e-07,5.4541e-06
32.3220,1.2296e-07,4.1692e-07,5.6172e-06
33.3170,1.4337e-07,4.4835e-07,5.7370e-06
34.3110,1.6615e-07,4.8626e-07,5.8057e-06
35.3060,1.9119e-07,5.1346e-07,5.8165e-06
36.3000,2.1816e-07,5.4082e-07,5.7594e-06
37.2940,2.4613e-07,5.6824e-07,5.6237e-06
38.2890,2.7407e-07,5.9641e-07,5.3994e-06
39.2830,3.0105e-07,6.2273e-07,5.0789e-06
40.2780,3.2738e-07,6.4500e-07,4.6635e-06
41.2720,3.6258e-07,6.7006e-07,4.1877e-06
42.2670,4.0085e-07,7.1066e-07,3.6866e-06
43.2610,4.2927e-07,7.4373e-07,3.2618e-06
44.2560,4.6091e-07,7.6976e-07,3.0080e-06
45.2500,4.9693e-07,8.0023e-07,2.8377e-06
46.2440,5.3840e-07,8.3608e-07,2.6928e-06
47.2390,5.8622e-07,8.7356e-07,2.4998e-06
48.2330,6.4073e-07,9.1464e-07,2.1976e-06
49.2280,7.0214e-07,9.6180e-07,1.8026e-06
50.2220,7.7090e-07,1.0196e-06,1.4000e-06
51.2170,8.5311e-07,1.0951e-06,1.1312e-06
52.2110,9.4816e-07,1.1662e-06,1.0117e-06
53.2060,1.0644e-06,1.2467e-06,9.6185e-07
54.2000,1.1749e-06,1.3036e-06,8.8719e-07
55.1940,1.2838e-06,1.3106e-06,8.3019e-07
56.1890,1.3976e-06,1.3167e-06,7.6730e-07
57.1830,1.5132e-06,1.3229e-06,6.5949e-07
58.1780,1.6305e-06,1.3305e-06,5.3712e-07
59.1720,1.7581e-06,1.3373e-06,5.0933e-07
60.1670,1.9233e-06,1.3427e-06,5.1793e-07
61.1610,2.1746e-06,1.3486e-06,5.3544e-07
62.1560,2.6368e-06,1.3930e-06,5.7265e-07
63.1500,4.0075e-06,1.4192e-06,6.5645e-07
64.1440,4.8535e-06,1.3983e-06,7.5207e-07
65.1390,5.2108e-06,1.5274e-06,8.5911e-07
66.1330,5.2314e-06,1.6453e-06,1.0568e-06
67.1280,5.2315e-06,1.7363e-06,1.1259e-06
68.1220,5.2192e-06,1.8394e-06,1.2927e-06
69.1170,5.1977e-06,1.9381e-06,1.5270e-06
70.1110,5.1702e-06,2.0234e-06,1.7858e-06
71.1060,5.0940e-06,2.0997e-06,2.2719e-06
72.1000,5.0352e-06,2.1635e-06,2.8826e-06
73.0940,4.6320e-06,2.3321e-06,4.2796e-06
74.0890,3.7768e-06,2.5333e-06,5.8243e-06
75.0830,3.3511e-06,3.0058e-06,6.4356e-06
76.0780,2.9724e-06,3.2625e-06,7.0021e-06
77.0720,2.6861e-06,3.7273e-06,9.3107e-06
78.0670,3.2585e-06,4.5492e-06,1.0166e-05
79.0610,3.6769e-06,6.1424e-06,8.8016e-06
80.0560,2.6192e-06,4.3622e-06,8.8160e-06
81.0500,2.3007e-06,4.4439e-06,8.9759e-06
82.0440,2.2523e-06,4.6102e-06,9.0007e-06
83.0390,2.2468e-06,3.5412e-06,6.8136e-06
84.0330,2.2277e-06,3.6824e-06,8.1856e-07
85.0280,2.2393e-06,3.9446e-06,7.6708e-07
86.0220,2.3641e-06,4.3354e-06,8.9149e-07
87.0170,2.6902e-06,5.0812e-06,1.1077e-06
88.0110,3.2657e-06,6.3125e-06,1.6034e-06
89.0060,2.8042e-06,7.0578e-06,2.1504e-06
