# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12r for E = 500.0 keV, L* = 4.0, MLT = 4.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.5295e-12,1.1790e-11,1.0000e-31
1.4940,2.2853e-11,1.0666e-10,1.0000e-31
2.4890,6.4344e-11,2.9711e-10,1.0000e-31
3.4830,1.2842e-10,5.8960e-10,1.0000e-31
4.4780,2.1701e-10,9.8312e-10,1.0000e-31
5.4720,3.3263e-10,1.4897e-09,1.0000e-31
6.4670,4.7842e-10,2.1061e-09,1.0000e-31
7.4610,6.5819e-10,2.8511e-09,1.0000e-31
8.4560,8.7650e-10,3.7196e-09,1.0000e-31
9.4500,1.1387e-09,4.7388e-09,1.0000e-31
10.4440,1.4512e-09,5.9139e-09,1.0000e-31
11.4390,1.8210e-09,7.2482e-09,1.0000e-31
12.4330,2.2564e-09,8.7841e-09,1.0000e-31
13.4280,2.7666e-09,1.0516e-08,1.0000e-31
14.4220,3.3617e-09,1.2500e-08,1.0000e-31
15.4170,4.0524e-09,1.4726e-08,1.0000e-31
16.4110,4.8509e-09,1.7262e-08,1.0000e-31
17.4060,5.7700e-09,2.0089e-08,1.0000e-31
18.4000,6.8236e-09,2.3294e-08,1.0000e-31
19.3940,8.0272e-09,2.6902e-08,1.0000e-31
20.3890,9.4000e-09,3.0932e-08,1.0000e-31
21.3830,1.0946e-08,3.5523e-08,1.0000e-31
22.3780,1.2655e-08,4.0772e-08,1.0000e-31
23.3720,1.4521e-08,4.6959e-08,1.0000e-31
24.3670,1.6539e-08,5.3957e-08,1.0000e-31
25.3610,1.8722e-08,6.1904e-08,1.0000e-31
26.3560,2.1094e-08,7.0814e-08,1.0000e-31
27.3500,2.3702e-08,8.0988e-08,1.0000e-31
28.3440,2.6621e-08,9.2457e-08,1.0000e-31
29.3390,2.9948e-08,1.0517e-07,1.0000e-31
30.3330,3.3800e-08,1.1914e-07,1.0000e-31
31.3280,3.8350e-08,1.3396e-07,1.0000e-31
32.3220,4.4345e-08,1.5203e-07,1.0000e-31
33.3170,5.0728e-08,1.7286e-07,1.0000e-31
34.3110,5.7894e-08,1.9765e-07,1.0000e-31
35.3060,6.5728e-08,2.2609e-07,1.0000e-31
36.3000,7.3867e-08,2.5886e-07,1.0000e-31
37.2940,8.1697e-08,2.9664e-07,1.0000e-31
38.2890,8.8403e-08,3.4023e-07,1.0000e-31
39.2830,9.3294e-08,3.9161e-07,1.0000e-31
40.2780,9.6438e-08,4.5138e-07,1.0000e-31
41.2720,9.9363e-08,5.2113e-07,1.0000e-31
42.2670,1.1053e-07,6.0308e-07,1.0000e-31
43.2610,1.1752e-07,7.0934e-07,1.0000e-31
44.2560,1.2478e-07,8.3790e-07,1.0000e-31
45.2500,1.3232e-07,9.9739e-07,1.0000e-31
46.2440,1.4030e-07,1.1981e-06,1.0000e-31
47.2390,1.4889e-07,1.4512e-06,1.0000e-31
48.2330,1.5771e-07,1.7837e-06,1.0000e-31
49.2280,1.6624e-07,2.2103e-06,1.0000e-31
50.2220,1.7398e-07,2.7770e-06,1.0000e-31
51.2170,1.8201e-07,3.7545e-06,1.0000e-31
52.2110,1.8665e-07,5.0414e-06,1.0000e-31
53.2060,2.0839e-07,6.1346e-06,1.0000e-31
54.2000,2.5082e-07,6.6123e-06,1.0000e-31
55.1940,2.9938e-07,6.8076e-06,1.0000e-31
56.1890,3.5278e-07,7.0183e-06,1.0000e-31
57.1830,4.0808e-07,7.2478e-06,1.0000e-31
58.1780,4.7192e-07,7.5031e-06,1.0000e-31
59.1720,5.4829e-07,7.8029e-06,1.0000e-31
60.1670,6.3893e-07,8.1570e-06,1.0000e-31
61.1610,7.4611e-07,8.5881e-06,1.0000e-31
62.1560,8.8717e-07,9.2446e-06,1.0000e-31
63.1500,1.2551e-06,1.0179e-05,1.0000e-31
64.1440,1.5840e-06,1.1610e-05,1.0000e-31
65.1390,1.9250e-06,1.2434e-05,1.0000e-31
66.1330,2.0052e-06,1.2480e-05,1.0000e-31
67.1280,2.0379e-06,1.2450e-05,1.0000e-31
68.1220,2.1003e-06,1.2413e-05,1.0000e-31
69.1170,2.1550e-06,1.2366e-05,1.0000e-31
70.1110,2.2045e-06,1.2282e-05,1.0000e-31
71.1060,2.2695e-06,1.2137e-05,1.0000e-31
72.1000,2.3666e-06,1.1913e-05,1.0000e-31
73.0940,2.3960e-06,1.0378e-05,1.0000e-31
74.0890,2.6251e-06,9.3560e-06,1.0000e-31
75.0830,2.6316e-06,7.5681e-06,1.0000e-31
76.0780,2.7974e-06,6.2390e-06,1.0000e-31
77.0720,2.9570e-06,5.0680e-06,1.0000e-31
78.0670,3.5933e-06,5.6611e-06,1.0000e-31
79.0610,4.4981e-06,4.3866e-06,1.0000e-31
80.0560,4.0823e-06,4.5696e-06,1.0000e-31
81.0500,3.1038e-06,4.5949e-06,1.0000e-31
82.0440,2.7869e-06,3.5451e-06,1.0000e-31
83.0390,2.8448e-06,3.5948e-06,1.0000e-31
84.0330,2.8329e-06,3.8397e-06,1.0000e-31
85.0280,2.8297e-06,4.2039e-06,1.0000e-31
86.0220,2.9437e-06,4.7105e-06,1.0000e-31
87.0170,3.5294e-06,5.6994e-06,1.0000e-31
88.0110,4.8525e-06,7.1186e-06,1.0000e-31
89.0060,3.8668e-06,8.1313e-06,1.0000e-31
