# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12s for E = 500.0 keV, L* = 4.0, MLT = 7.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.5401e-11,2.9836e-11,4.3945e-11
1.4940,2.2967e-10,2.7020e-10,3.9607e-10
2.4890,6.4763e-10,7.5420e-10,1.1099e-09
3.4830,1.2954e-09,1.5012e-09,2.1993e-09
4.4780,2.1953e-09,2.5127e-09,3.6818e-09
5.4720,3.3763e-09,3.8249e-09,5.5782e-09
6.4670,4.8746e-09,5.4351e-09,7.9134e-09
7.4610,6.7346e-09,7.3981e-09,1.0717e-08
8.4560,9.0096e-09,9.7058e-09,1.4022e-08
9.4500,1.1764e-08,1.2435e-08,1.7867e-08
10.4440,1.5074e-08,1.5602e-08,2.2296e-08
11.4390,1.9032e-08,1.9217e-08,2.7363e-08
12.4330,2.3753e-08,2.3392e-08,3.3121e-08
13.4280,2.9371e-08,2.8105e-08,3.9640e-08
14.4220,3.6054e-08,3.3497e-08,4.7006e-08
15.4170,4.4004e-08,3.9531e-08,5.5329e-08
16.4110,5.3463e-08,4.6377e-08,6.4634e-08
17.4060,6.4716e-08,5.3972e-08,7.5059e-08
18.4000,7.8089e-08,6.2497e-08,8.6986e-08
19.3940,9.3941e-08,7.1881e-08,1.0030e-07
20.3890,1.1267e-07,8.2076e-08,1.1495e-07
21.3830,1.3468e-07,9.3320e-08,1.3129e-07
22.3780,1.6027e-07,1.0543e-07,1.4944e-07
23.3720,1.8988e-07,1.1881e-07,1.6964e-07
24.3670,2.2334e-07,1.3319e-07,1.9210e-07
25.3610,2.5939e-07,1.4810e-07,2.1771e-07
26.3560,2.9703e-07,1.6274e-07,2.4669e-07
27.3500,3.3403e-07,1.7741e-07,2.7761e-07
28.3440,3.6740e-07,1.9181e-07,3.1180e-07
29.3390,3.9408e-07,2.0550e-07,3.5136e-07
30.3330,4.1262e-07,2.1768e-07,3.9756e-07
31.3280,4.2427e-07,2.2789e-07,4.4470e-07
32.3220,4.3945e-07,2.3988e-07,4.9655e-07
33.3170,4.8084e-07,2.5276e-07,5.5342e-07
34.3110,4.9308e-07,2.6471e-07,6.2080e-07
35.3060,5.0198e-07,2.7676e-07,6.8793e-07
36.3000,5.0572e-07,2.8771e-07,7.5931e-07
37.2940,5.0274e-07,2.9732e-07,8.3371e-07
38.2890,4.9522e-07,3.0576e-07,9.1929e-07
39.2830,4.8010e-07,3.1341e-07,1.0053e-06
40.2780,4.4768e-07,3.1897e-07,1.0783e-06
41.2720,3.8524e-07,3.1835e-07,1.1476e-06
42.2670,2.5185e-07,3.1416e-07,1.2186e-06
43.2610,2.2839e-07,3.1764e-07,1.4227e-06
44.2560,2.5671e-07,3.3155e-07,1.5067e-06
45.2500,2.9889e-07,3.4809e-07,1.5844e-06
46.2440,3.5040e-07,3.6567e-07,1.6552e-06
47.2390,4.0969e-07,3.8519e-07,1.7185e-06
48.2330,4.7288e-07,4.0827e-07,1.9283e-06
49.2280,5.4536e-07,4.3769e-07,2.0197e-06
50.2220,6.3086e-07,4.7991e-07,2.1047e-06
51.2170,7.3397e-07,5.4545e-07,2.1918e-06
52.2110,8.8010e-07,7.1463e-07,2.2727e-06
53.2060,1.2581e-06,9.4584e-07,2.3907e-06
54.2000,1.4101e-06,1.0532e-06,2.5372e-06
55.1940,1.3947e-06,1.0452e-06,2.6030e-06
56.1890,1.3735e-06,1.0377e-06,2.6860e-06
57.1830,1.3647e-06,1.0296e-06,2.7897e-06
58.1780,1.3559e-06,1.0233e-06,2.9155e-06
59.1720,1.3306e-06,1.0197e-06,3.2750e-06
60.1670,1.2913e-06,1.0192e-06,3.4651e-06
61.1610,1.2547e-06,1.0218e-06,3.7091e-06
62.1560,1.2184e-06,1.0231e-06,4.0244e-06
63.1500,1.1765e-06,1.0325e-06,4.3919e-06
64.1440,1.1514e-06,9.7320e-07,4.7272e-06
65.1390,1.1738e-06,9.3436e-07,5.0119e-06
66.1330,1.1387e-06,9.4797e-07,5.1236e-06
67.1280,1.1226e-06,9.6241e-07,5.2386e-06
68.1220,1.0890e-06,9.7928e-07,5.3807e-06
69.1170,1.0505e-06,9.9518e-07,5.5757e-06
70.1110,1.0427e-06,1.0045e-06,5.8544e-06
71.1060,1.0455e-06,1.0059e-06,6.1819e-06
72.1000,1.0364e-06,1.0000e-06,6.4760e-06
73.0940,1.0131e-06,9.8610e-07,6.8296e-06
74.0890,9.7788e-07,9.6730e-07,7.2808e-06
75.0830,8.3892e-07,1.0347e-06,7.7583e-06
76.0780,6.4122e-07,1.0448e-06,8.1250e-06
77.0720,5.1522e-07,1.1140e-06,8.4640e-06
78.0670,3.8660e-07,1.2046e-06,8.7118e-06
79.0610,4.0220e-07,1.3021e-06,8.8638e-06
80.0560,4.2712e-07,1.4923e-06,9.0440e-06
81.0500,5.0458e-07,1.6505e-06,9.2262e-06
82.0440,5.0782e-07,1.3859e-06,9.7303e-06
83.0390,3.2204e-07,1.0520e-06,1.1225e-05
84.0330,3.1965e-07,1.0197e-06,1.0848e-05
85.0280,3.3080e-07,1.0625e-06,8.8263e-06
86.0220,3.3415e-07,1.1029e-06,2.4560e-06
87.0170,3.5793e-07,1.1528e-06,3.5110e-07
88.0110,5.1016e-07,1.3338e-06,1.2631e-07
89.0060,4.9255e-07,1.5516e-06,1.0473e-07
