# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12t for E = 500.0 keV, L* = 4.0, MLT = 10.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,5.4189e-11,4.5847e-10,1.3993e-10
1.4940,4.9167e-10,4.1407e-09,1.2555e-09
2.4890,1.3961e-09,1.1497e-08,3.5095e-09
3.4830,2.8211e-09,2.2702e-08,6.9309e-09
4.4780,4.8451e-09,3.7602e-08,1.1552e-08
5.4720,7.5739e-09,5.6489e-08,1.7411e-08
6.4670,1.1144e-08,7.9031e-08,2.4571e-08
7.4610,1.5728e-08,1.0564e-07,3.3135e-08
8.4560,2.1539e-08,1.3582e-07,4.3016e-08
9.4500,2.8839e-08,1.7011e-07,5.4187e-08
10.4440,3.7946e-08,2.0821e-07,6.6760e-08
11.4390,4.9249e-08,2.4977e-07,8.0870e-08
12.4330,6.3211e-08,2.9556e-07,9.6575e-08
13.4280,8.0393e-08,3.4486e-07,1.1393e-07
14.4220,1.0146e-07,3.9849e-07,1.3310e-07
15.4170,1.2720e-07,4.5483e-07,1.5403e-07
16.4110,1.5853e-07,5.1586e-07,1.7683e-07
17.4060,1.9650e-07,5.8123e-07,2.0177e-07
18.4000,2.4233e-07,6.5045e-07,2.2897e-07
19.3940,2.9732e-07,7.2334e-07,2.5787e-07
20.3890,3.6280e-07,8.0057e-07,2.8867e-07
21.3830,4.3995e-07,8.8363e-07,3.2146e-07
22.3780,5.2965e-07,9.6811e-07,3.5684e-07
23.3720,6.3209e-07,1.0483e-06,3.9452e-07
24.3670,7.4620e-07,1.1192e-06,4.3504e-07
25.3610,8.6925e-07,1.1984e-06,4.7751e-07
26.3560,9.9664e-07,1.2789e-06,5.2201e-07
27.3500,1.1222e-06,1.3560e-06,5.7028e-07
28.3440,1.2400e-06,1.4246e-06,6.2277e-07
29.3390,1.3465e-06,1.4825e-06,6.7662e-07
30.3330,1.4399e-06,1.5331e-06,7.3220e-07
31.3280,1.5255e-06,1.5845e-06,7.8929e-07
32.3220,1.6396e-06,1.6579e-06,8.4944e-07
33.3170,1.8134e-06,1.7853e-06,9.1306e-07
34.3110,1.9076e-06,1.8775e-06,9.7752e-07
35.3060,1.9996e-06,1.9154e-06,1.0416e-06
36.3000,2.0795e-06,1.9468e-06,1.1099e-06
37.2940,2.1517e-06,1.9753e-06,1.1835e-06
38.2890,2.2130e-06,2.0083e-06,1.2535e-06
39.2830,2.2471e-06,2.0510e-06,1.3090e-06
40.2780,2.2242e-06,2.0926e-06,1.3589e-06
41.2720,2.1248e-06,2.1045e-06,1.4147e-06
42.2670,1.9701e-06,2.0159e-06,1.5084e-06
43.2610,2.0439e-06,1.9232e-06,1.6350e-06
44.2560,2.0491e-06,1.9437e-06,1.6878e-06
45.2500,2.0459e-06,1.9572e-06,1.7355e-06
46.2440,2.0361e-06,1.9625e-06,1.7885e-06
47.2390,2.0152e-06,1.9574e-06,1.8410e-06
48.2330,1.9623e-06,1.9393e-06,1.8918e-06
49.2280,1.8881e-06,1.9037e-06,1.9443e-06
50.2220,1.7956e-06,1.8420e-06,2.0068e-06
51.2170,1.6826e-06,1.7541e-06,2.1075e-06
52.2110,1.5225e-06,1.6436e-06,2.2357e-06
53.2060,1.1999e-06,1.3257e-06,2.2880e-06
54.2000,1.1317e-06,1.2358e-06,2.3271e-06
55.1940,1.1163e-06,1.2153e-06,2.3225e-06
56.1890,1.0975e-06,1.1917e-06,2.3230e-06
57.1830,1.0778e-06,1.1636e-06,2.3240e-06
58.1780,1.0566e-06,1.1311e-06,2.3438e-06
59.1720,1.0321e-06,1.0935e-06,2.3359e-06
60.1670,1.0051e-06,1.0515e-06,2.3093e-06
61.1610,9.7300e-07,1.0024e-06,2.2850e-06
62.1560,9.3595e-07,9.4425e-07,2.2546e-06
63.1500,8.7963e-07,8.0068e-07,2.1668e-06
64.1440,7.1595e-07,6.0272e-07,1.9760e-06
65.1390,6.1607e-07,4.7161e-07,1.8848e-06
66.1330,5.9871e-07,4.6446e-07,1.8824e-06
67.1280,5.8787e-07,4.6250e-07,1.8851e-06
68.1220,5.7489e-07,4.5974e-07,1.8649e-06
69.1170,5.6058e-07,4.5640e-07,1.8196e-06
70.1110,5.4895e-07,4.5370e-07,1.7013e-06
71.1060,5.3841e-07,4.5214e-07,1.6005e-06
72.1000,5.2854e-07,4.5035e-07,1.6095e-06
73.0940,5.1874e-07,4.4808e-07,1.6044e-06
74.0890,4.9946e-07,4.1330e-07,1.5798e-06
75.0830,3.7775e-07,4.0974e-07,1.5441e-06
76.0780,2.6838e-07,4.1270e-07,1.5219e-06
77.0720,1.9558e-07,4.0338e-07,1.5741e-06
78.0670,1.3563e-07,3.9186e-07,1.5983e-06
79.0610,1.4171e-07,4.2710e-07,1.7162e-06
80.0560,1.5292e-07,4.4844e-07,1.5758e-06
81.0500,1.7882e-07,4.2296e-07,1.6101e-06
82.0440,2.2847e-07,4.7426e-07,1.4491e-06
83.0390,1.3735e-07,4.5273e-07,1.3174e-06
84.0330,1.0733e-07,3.7738e-07,1.0750e-06
85.0280,8.3041e-08,3.2880e-07,9.6439e-07
86.0220,8.1127e-08,2.8398e-07,8.0728e-07
87.0170,8.1862e-08,2.8371e-07,5.7701e-07
88.0110,9.6536e-08,3.5245e-07,3.6728e-07
89.0060,9.7039e-08,4.0197e-07,2.4218e-07
