# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12u for E = 500.0 keV, L* = 4.0, MLT = 13.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.3929e-11,2.0980e-10,1.2571e-10
1.4940,1.2600e-10,1.8962e-09,1.0728e-09
2.4890,3.5561e-10,5.2723e-09,2.9829e-09
3.4830,7.1218e-10,1.0433e-08,5.8756e-09
4.4780,1.2088e-09,1.7329e-08,9.7620e-09
5.4720,1.8622e-09,2.6125e-08,1.4655e-08
6.4670,2.6930e-09,3.6703e-08,2.0572e-08
7.4610,3.7260e-09,4.9301e-08,2.7512e-08
8.4560,4.9896e-09,6.3724e-08,3.5469e-08
9.4500,6.5168e-09,8.0286e-08,4.4455e-08
10.4440,8.3458e-09,9.8888e-08,5.4470e-08
11.4390,1.0522e-08,1.1938e-07,6.5546e-08
12.4330,1.3087e-08,1.4217e-07,7.7885e-08
13.4280,1.6070e-08,1.6688e-07,9.1220e-08
14.4220,1.9514e-08,1.9399e-07,1.0586e-07
15.4170,2.3467e-08,2.2301e-07,1.2289e-07
16.4110,2.7996e-08,2.5461e-07,1.4048e-07
17.4060,3.3193e-08,2.8844e-07,1.5959e-07
18.4000,3.9189e-08,3.2499e-07,1.7947e-07
19.3940,4.6170e-08,3.6365e-07,2.0228e-07
20.3890,5.4374e-08,4.0422e-07,2.2564e-07
21.3830,6.4098e-08,4.4761e-07,2.5024e-07
22.3780,7.5690e-08,4.9286e-07,2.7583e-07
23.3720,8.9601e-08,5.3972e-07,3.0305e-07
24.3670,1.0737e-07,5.8572e-07,3.3157e-07
25.3610,1.2731e-07,6.3427e-07,3.5960e-07
26.3560,1.4996e-07,6.8171e-07,3.8970e-07
27.3500,1.7514e-07,7.2947e-07,4.2355e-07
28.3440,2.0145e-07,7.7683e-07,4.5887e-07
29.3390,2.2624e-07,8.2167e-07,4.9207e-07
30.3330,2.4600e-07,8.6350e-07,5.2851e-07
31.3280,2.5856e-07,9.0167e-07,5.6892e-07
32.3220,2.6720e-07,9.3949e-07,6.1102e-07
33.3170,2.9988e-07,9.7748e-07,6.5519e-07
34.3110,3.3320e-07,1.0487e-06,6.9966e-07
35.3060,3.7001e-07,1.0805e-06,7.4813e-07
36.3000,4.1320e-07,1.1073e-06,7.9973e-07
37.2940,4.6426e-07,1.1297e-06,8.5802e-07
38.2890,5.2231e-07,1.1503e-06,9.3035e-07
39.2830,5.8720e-07,1.1726e-06,1.0030e-06
40.2780,6.5523e-07,1.1897e-06,1.0772e-06
41.2720,7.1123e-07,1.1913e-06,1.1465e-06
42.2670,7.3568e-07,1.1852e-06,1.2075e-06
43.2610,8.1558e-07,1.2262e-06,1.2964e-06
44.2560,8.1725e-07,1.2356e-06,1.3366e-06
45.2500,8.1508e-07,1.2264e-06,1.3703e-06
46.2440,8.1098e-07,1.2107e-06,1.4095e-06
47.2390,8.1222e-07,1.1895e-06,1.4486e-06
48.2330,8.1587e-07,1.1655e-06,1.4970e-06
49.2280,8.1703e-07,1.1416e-06,1.5047e-06
50.2220,7.9813e-07,1.1101e-06,1.5118e-06
51.2170,7.7014e-07,1.0736e-06,1.5208e-06
52.2110,7.2807e-07,1.0429e-06,1.5311e-06
53.2060,6.1205e-07,9.0152e-07,1.5600e-06
54.2000,6.0007e-07,8.6237e-07,1.5716e-06
55.1940,5.8870e-07,8.4437e-07,1.5521e-06
56.1890,5.7483e-07,8.2388e-07,1.5236e-06
57.1830,5.5760e-07,7.9910e-07,1.4872e-06
58.1780,5.3712e-07,7.7073e-07,1.4490e-06
59.1720,5.1707e-07,7.4097e-07,1.4107e-06
60.1670,5.0001e-07,7.1175e-07,1.3668e-06
61.1610,4.7159e-07,6.8298e-07,1.3306e-06
62.1560,4.3544e-07,6.5758e-07,1.3026e-06
63.1500,3.9194e-07,6.3294e-07,1.2690e-06
64.1440,2.8303e-07,5.7232e-07,1.1873e-06
65.1390,1.4296e-07,2.5035e-07,1.0367e-06
66.1330,1.3689e-07,2.4421e-07,1.0171e-06
67.1280,1.3365e-07,2.3932e-07,1.0046e-06
68.1220,1.3098e-07,2.3398e-07,9.8863e-07
69.1170,1.2937e-07,2.2906e-07,9.6311e-07
70.1110,1.2845e-07,2.2490e-07,8.8756e-07
71.1060,1.2478e-07,2.2044e-07,7.5533e-07
72.1000,1.1888e-07,2.1629e-07,7.5677e-07
73.0940,1.1185e-07,2.1337e-07,7.6732e-07
74.0890,1.0395e-07,2.1084e-07,7.8102e-07
75.0830,9.6234e-08,1.9648e-07,7.8706e-07
76.0780,6.9397e-08,1.6233e-07,7.5630e-07
77.0720,4.0269e-08,9.6686e-08,7.6329e-07
78.0670,3.9780e-08,8.4767e-08,8.0489e-07
79.0610,4.0511e-08,8.7943e-08,8.3245e-07
80.0560,4.1674e-08,9.3094e-08,8.5852e-07
81.0500,4.3783e-08,1.0336e-07,8.7263e-07
82.0440,4.8796e-08,1.1746e-07,8.0924e-07
83.0390,5.7473e-08,1.3428e-07,7.5171e-07
84.0330,5.5336e-08,1.5162e-07,8.1146e-07
85.0280,2.4148e-08,1.4093e-07,5.6622e-07
86.0220,7.5964e-09,1.0789e-07,4.1751e-07
87.0170,4.5157e-09,5.5749e-08,3.1838e-07
88.0110,1.8505e-09,1.2608e-08,2.1751e-07
89.0060,2.8937e-15,6.6165e-09,1.2736e-07
