# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12v for E = 500.0 keV, L* = 4.0, MLT = 16.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,6.8649e-21,1.0000e-31,8.4941e-15
1.4940,1.2585e-18,1.0000e-31,7.6691e-14
2.4890,1.8652e-17,1.0000e-31,2.1565e-13
3.4830,1.1783e-16,1.0000e-31,4.2952e-13
4.4780,4.8333e-16,1.0000e-31,7.2381e-13
5.4720,1.5314e-15,1.0000e-31,1.1054e-12
6.4670,4.0927e-15,1.0000e-31,1.5822e-12
7.4610,9.7014e-15,1.0000e-31,2.1632e-12
8.4560,2.1048e-14,1.0000e-31,2.8573e-12
9.4500,4.2671e-14,1.0000e-31,3.6724e-12
10.4440,8.2004e-14,1.0000e-31,4.6144e-12
11.4390,1.5093e-13,1.0000e-31,5.6864e-12
12.4330,2.6804e-13,1.0000e-31,6.8859e-12
13.4280,4.6198e-13,1.0000e-31,8.2049e-12
14.4220,7.7606e-13,1.0000e-31,9.6293e-12
15.4170,1.2750e-12,1.0000e-31,1.1140e-11
16.4110,2.0542e-12,1.0000e-31,1.2715e-11
17.4060,3.2523e-12,1.0000e-31,1.4338e-11
18.4000,5.0689e-12,1.0000e-31,1.6031e-11
19.3940,7.7878e-12,1.0000e-31,1.7824e-11
20.3890,1.1808e-11,1.0000e-31,1.9702e-11
21.3830,1.7692e-11,1.0000e-31,2.1739e-11
22.3780,2.6223e-11,1.0000e-31,2.3974e-11
23.3720,3.8475e-11,1.0000e-31,2.6401e-11
24.3670,5.5925e-11,1.0000e-31,2.8935e-11
25.3610,8.0593e-11,1.0000e-31,3.1425e-11
26.3560,1.1523e-10,1.0000e-31,3.3706e-11
27.3500,1.6358e-10,1.0000e-31,3.5671e-11
28.3440,2.3060e-10,1.0000e-31,3.7459e-11
29.3390,3.2254e-10,1.0000e-31,3.9049e-11
30.3330,4.4748e-10,1.0000e-31,4.5874e-11
31.3280,6.1611e-10,1.0000e-31,4.8033e-11
32.3220,8.4184e-10,1.0000e-31,5.0280e-11
33.3170,1.1403e-09,1.0000e-31,5.2148e-11
34.3110,1.5277e-09,1.0000e-31,5.3335e-11
35.3060,2.0201e-09,1.0000e-31,5.6547e-11
36.3000,2.6382e-09,1.0000e-31,5.7054e-11
37.2940,3.4057e-09,1.0000e-31,5.7073e-11
38.2890,4.3984e-09,1.0000e-31,5.6893e-11
39.2830,5.8600e-09,1.0000e-31,5.6669e-11
40.2780,8.3621e-09,1.0000e-31,5.6631e-11
41.2720,1.1298e-08,1.0000e-31,5.6487e-11
42.2670,1.4367e-08,1.0000e-31,5.6247e-11
43.2610,2.5149e-08,1.0000e-31,5.5661e-11
44.2560,2.8969e-08,1.0000e-31,5.0784e-11
45.2500,2.7789e-08,1.0000e-31,4.9766e-11
46.2440,2.6571e-08,1.0000e-31,4.9086e-11
47.2390,2.5279e-08,1.0000e-31,4.8513e-11
48.2330,2.3853e-08,1.0000e-31,4.7917e-11
49.2280,2.2264e-08,1.0000e-31,4.3155e-11
50.2220,2.0644e-08,1.0000e-31,4.1909e-11
51.2170,1.8952e-08,1.0000e-31,4.0934e-11
52.2110,1.5712e-08,1.0000e-31,4.1013e-11
53.2060,1.3515e-08,1.0000e-31,4.2493e-11
54.2000,5.5996e-09,1.0000e-31,3.7937e-11
55.1940,5.9498e-09,1.0000e-31,4.0188e-11
56.1890,6.3778e-09,1.0000e-31,4.2886e-11
57.1830,6.9491e-09,1.0000e-31,4.6346e-11
58.1780,7.5801e-09,1.0000e-31,5.1873e-11
59.1720,8.2393e-09,1.0000e-31,5.8626e-11
60.1670,8.9244e-09,1.0000e-31,6.4126e-11
61.1610,9.9721e-09,1.0000e-31,7.2965e-11
62.1560,1.1501e-08,1.0000e-31,8.3753e-11
63.1500,1.3129e-08,1.0000e-31,9.5601e-11
64.1440,1.4914e-08,1.0000e-31,1.0298e-10
65.1390,2.1205e-08,1.0000e-31,1.1758e-10
66.1330,2.0977e-08,1.0000e-31,1.3927e-10
67.1280,2.0715e-08,1.0000e-31,1.4348e-10
68.1220,2.0338e-08,1.0000e-31,1.4857e-10
69.1170,1.9763e-08,1.0000e-31,1.5937e-10
70.1110,1.9173e-08,1.0000e-31,1.7297e-10
71.1060,1.8680e-08,1.0000e-31,1.8523e-10
72.1000,1.8268e-08,1.0000e-31,2.0204e-10
73.0940,1.7018e-08,1.0000e-31,2.3267e-10
74.0890,1.5093e-08,1.0000e-31,2.5269e-10
75.0830,1.3927e-08,1.0000e-31,2.7842e-10
76.0780,1.2486e-08,1.0000e-31,3.0001e-10
77.0720,6.0613e-09,1.0000e-31,3.0614e-10
78.0670,4.7479e-09,1.0000e-31,3.1409e-10
79.0610,4.7723e-09,1.0000e-31,3.1665e-10
80.0560,4.5413e-09,1.0000e-31,3.1652e-10
81.0500,4.0318e-09,1.0000e-31,2.9893e-10
82.0440,4.0523e-09,1.0000e-31,2.6794e-10
83.0390,4.4063e-09,1.0000e-31,2.3266e-10
84.0330,4.5932e-09,1.0000e-31,2.4415e-10
85.0280,4.9268e-09,1.0000e-31,2.4363e-10
86.0220,5.9028e-09,1.0000e-31,2.9670e-10
87.0170,8.8687e-09,1.0000e-31,4.1907e-10
88.0110,5.9829e-11,1.0000e-31,9.3725e-10
89.0060,1.5595e-12,1.0000e-31,2.2702e-10
