# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12w for E = 500.0 keV, L* = 4.0, MLT = 19.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.8554e-15,1.0000e-31,8.8935e-25
1.4940,1.8523e-14,1.0000e-31,7.1642e-23
2.4890,6.1596e-14,1.0000e-31,5.5737e-22
3.4830,1.4942e-13,1.0000e-31,2.1666e-21
4.4780,3.0817e-13,1.0000e-31,6.0055e-21
5.4720,5.7186e-13,1.0000e-31,1.3623e-20
6.4670,9.8327e-13,1.0000e-31,2.7068e-20
7.4610,1.5952e-12,1.0000e-31,4.8967e-20
8.4560,2.4724e-12,1.0000e-31,8.2609e-20
9.4500,3.6933e-12,1.0000e-31,1.3207e-19
10.4440,5.3524e-12,1.0000e-31,2.0233e-19
11.4390,7.5626e-12,1.0000e-31,2.9951e-19
12.4330,1.0457e-11,1.0000e-31,4.3105e-19
13.4280,1.4191e-11,1.0000e-31,6.0619e-19
14.4220,1.8943e-11,1.0000e-31,8.3650e-19
15.4170,2.4913e-11,1.0000e-31,1.1372e-18
16.4110,3.2338e-11,1.0000e-31,1.5291e-18
17.4060,4.1519e-11,1.0000e-31,2.0436e-18
18.4000,5.2854e-11,1.0000e-31,2.7305e-18
19.3940,6.6969e-11,1.0000e-31,3.6761e-18
20.3890,8.5029e-11,1.0000e-31,5.0357e-18
21.3830,1.0947e-10,1.0000e-31,7.1031e-18
22.3780,1.4566e-10,1.0000e-31,1.0457e-17
23.3720,2.0185e-10,1.0000e-31,1.6250e-17
24.3670,2.7859e-10,1.0000e-31,2.6704e-17
25.3610,3.8308e-10,1.0000e-31,4.5662e-17
26.3560,5.2587e-10,1.0000e-31,7.9531e-17
27.3500,7.2057e-10,1.0000e-31,1.3966e-16
28.3440,9.8138e-10,1.0000e-31,2.4921e-16
29.3390,1.3137e-09,1.0000e-31,4.5471e-16
30.3330,1.6926e-09,1.0000e-31,8.5325e-16
31.3280,2.0390e-09,1.0000e-31,1.6278e-15
32.3220,2.2608e-09,1.0000e-31,3.0806e-15
33.3170,2.4166e-09,1.0000e-31,5.7028e-15
34.3110,2.8146e-09,1.0000e-31,1.0238e-14
35.3060,2.9333e-09,1.0000e-31,1.7745e-14
36.3000,3.0326e-09,1.0000e-31,2.9686e-14
37.2940,3.1477e-09,1.0000e-31,4.7982e-14
38.2890,3.3409e-09,1.0000e-31,7.5061e-14
39.2830,3.6303e-09,1.0000e-31,1.1392e-13
40.2780,4.0744e-09,1.0000e-31,1.6856e-13
41.2720,4.5888e-09,1.0000e-31,2.5114e-13
42.2670,4.6923e-09,1.0000e-31,3.9400e-13
43.2610,4.7211e-09,1.0000e-31,6.4676e-13
44.2560,4.8005e-09,1.0000e-31,1.0547e-12
45.2500,4.8840e-09,1.0000e-31,1.6308e-12
46.2440,4.9522e-09,1.0000e-31,2.3616e-12
47.2390,4.9951e-09,1.0000e-31,3.2316e-12
48.2330,5.0053e-09,1.0000e-31,4.2247e-12
49.2280,5.0311e-09,1.0000e-31,5.3264e-12
50.2220,5.1855e-09,1.0000e-31,6.5676e-12
51.2170,5.4012e-09,1.0000e-31,8.5487e-12
52.2110,5.5354e-09,1.0000e-31,1.2668e-11
53.2060,5.2804e-09,1.0000e-31,1.8886e-11
54.2000,5.2224e-09,1.0000e-31,2.5882e-11
55.1940,5.6643e-09,1.0000e-31,3.3142e-11
56.1890,6.1678e-09,1.0000e-31,3.9256e-11
57.1830,6.7229e-09,1.0000e-31,4.3935e-11
58.1780,7.3429e-09,1.0000e-31,4.8284e-11
59.1720,8.1531e-09,1.0000e-31,5.5228e-11
60.1670,9.4055e-09,1.0000e-31,8.0026e-11
61.1610,1.0974e-08,1.0000e-31,1.1020e-10
62.1560,1.2263e-08,1.0000e-31,1.2870e-10
63.1500,1.3585e-08,1.0000e-31,1.5191e-10
64.1440,1.5369e-08,1.0000e-31,1.7073e-10
65.1390,2.3505e-08,1.0000e-31,1.9155e-10
66.1330,2.3538e-08,1.0000e-31,2.0034e-10
67.1280,2.3432e-08,1.0000e-31,2.3850e-10
68.1220,2.3349e-08,1.0000e-31,3.7335e-10
69.1170,2.3341e-08,1.0000e-31,4.1907e-10
70.1110,2.3331e-08,1.0000e-31,4.1163e-10
71.1060,2.3033e-08,1.0000e-31,4.4008e-10
72.1000,2.2185e-08,1.0000e-31,5.1391e-10
73.0940,2.1771e-08,1.0000e-31,6.2854e-10
74.0890,2.2127e-08,1.0000e-31,8.5948e-10
75.0830,2.2501e-08,1.0000e-31,1.1418e-09
76.0780,2.2219e-08,1.0000e-31,1.3117e-09
77.0720,1.4686e-08,1.0000e-31,1.1351e-09
78.0670,1.5422e-08,1.0000e-31,1.1156e-09
79.0610,1.5220e-08,1.0000e-31,1.1734e-09
80.0560,1.6721e-08,1.0000e-31,1.6484e-09
81.0500,1.6364e-08,1.0000e-31,3.1379e-09
82.0440,1.5649e-08,1.0000e-31,4.6062e-09
83.0390,1.6706e-08,1.0000e-31,2.1585e-09
84.0330,2.2310e-08,1.0000e-31,2.6349e-09
85.0280,1.4533e-08,1.0000e-31,2.6431e-09
86.0220,1.3347e-08,1.0000e-31,2.8466e-09
87.0170,1.2954e-08,1.0000e-31,3.3999e-09
88.0110,1.3987e-08,1.0000e-31,5.0865e-09
89.0060,2.3439e-08,1.0000e-31,6.7484e-09
