# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12x for E = 500.0 keV, L* = 4.0, MLT = 22.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,6.0499e-15,5.1369e-12,3.3421e-13
1.4940,6.0892e-14,4.6316e-11,3.0139e-12
2.4890,2.0489e-13,1.2818e-10,8.4553e-12
3.4830,5.0301e-13,2.5188e-10,1.6784e-11
4.4780,1.0489e-12,4.1460e-10,2.8165e-11
5.4720,1.9663e-12,6.1809e-10,4.2802e-11
6.4670,3.4142e-12,8.5688e-10,6.0946e-11
7.4610,5.5938e-12,1.1331e-09,8.2900e-11
8.4560,8.7585e-12,1.4389e-09,1.0903e-10
9.4500,1.3225e-11,1.7770e-09,1.3977e-10
10.4440,1.9390e-11,2.1408e-09,1.7564e-10
11.4390,2.7744e-11,2.5243e-09,2.1725e-10
12.4330,3.8895e-11,2.9901e-09,2.6535e-10
13.4280,5.3596e-11,3.4935e-09,3.2081e-10
14.4220,7.2768e-11,3.9164e-09,3.8468e-10
15.4170,9.7544e-11,4.2749e-09,4.5822e-10
16.4110,1.2931e-10,4.6916e-09,5.4296e-10
17.4060,1.6974e-10,5.2908e-09,6.4073e-10
18.4000,2.2092e-10,6.1093e-09,7.5377e-10
19.3940,2.8533e-10,6.8952e-09,8.8479e-10
20.3890,3.6601e-10,7.7442e-09,1.0371e-09
21.3830,4.6665e-10,8.6965e-09,1.2149e-09
22.3780,5.9157e-10,9.6304e-09,1.4231e-09
23.3720,7.4598e-10,1.0331e-08,1.6680e-09
24.3670,9.3691e-10,1.0693e-08,1.9574e-09
25.3610,1.1739e-09,1.0610e-08,2.3007e-09
26.3560,1.4706e-09,1.1332e-08,2.7097e-09
27.3500,1.8452e-09,1.2299e-08,3.1990e-09
28.3440,2.3052e-09,1.3352e-08,3.7865e-09
29.3390,2.8664e-09,1.4532e-08,4.4940e-09
30.3330,3.5502e-09,1.5878e-08,5.3478e-09
31.3280,4.3832e-09,1.7325e-08,6.3802e-09
32.3220,5.3979e-09,1.8551e-08,7.6316e-09
33.3170,6.6322e-09,1.9784e-08,9.1530e-09
34.3110,8.1277e-09,2.1250e-08,1.1005e-08
35.3060,9.9267e-09,2.3174e-08,1.3258e-08
36.3000,1.2058e-08,2.5339e-08,1.5996e-08
37.2940,1.4520e-08,2.7772e-08,1.9328e-08
38.2890,1.7254e-08,3.0514e-08,2.3401e-08
39.2830,2.0149e-08,3.3565e-08,2.8385e-08
40.2780,2.3108e-08,3.6927e-08,3.4472e-08
41.2720,2.6215e-08,4.0805e-08,4.1837e-08
42.2670,3.0339e-08,4.5140e-08,5.0668e-08
43.2610,3.5187e-08,5.0413e-08,6.1180e-08
44.2560,4.0474e-08,5.5789e-08,7.3620e-08
45.2500,4.6761e-08,6.1849e-08,8.8173e-08
46.2440,5.4341e-08,6.8785e-08,1.0494e-07
47.2390,6.3478e-08,7.6749e-08,1.2413e-07
48.2330,7.4468e-08,8.6244e-08,1.4597e-07
49.2280,8.7314e-08,9.7604e-08,1.7115e-07
50.2220,1.0108e-07,1.1144e-07,2.0136e-07
51.2170,1.1375e-07,1.2794e-07,2.3900e-07
52.2110,1.2408e-07,1.4879e-07,2.8395e-07
53.2060,1.4339e-07,1.7154e-07,3.3436e-07
54.2000,1.5637e-07,1.9527e-07,3.8819e-07
55.1940,1.7122e-07,2.2407e-07,4.4190e-07
56.1890,1.9145e-07,2.5613e-07,4.9910e-07
57.1830,2.1584e-07,2.9023e-07,5.6055e-07
58.1780,2.4228e-07,3.2651e-07,6.2573e-07
59.1720,2.7012e-07,3.6664e-07,6.9785e-07
60.1670,3.0066e-07,4.1099e-07,7.9634e-07
61.1610,3.3387e-07,4.6171e-07,9.4590e-07
62.1560,3.6938e-07,5.2209e-07,1.1660e-06
63.1500,4.1187e-07,6.3587e-07,1.4899e-06
64.1440,5.2988e-07,8.9529e-07,2.4289e-06
65.1390,5.9257e-07,1.0990e-06,2.5362e-06
66.1330,6.0522e-07,1.1372e-06,2.4335e-06
67.1280,6.2140e-07,1.1686e-06,2.2933e-06
68.1220,6.3107e-07,1.2035e-06,2.0905e-06
69.1170,6.3419e-07,1.2379e-06,1.5673e-06
70.1110,6.3348e-07,1.2586e-06,5.9113e-07
71.1060,6.3091e-07,1.2585e-06,5.6916e-07
72.1000,6.2533e-07,1.2425e-06,6.9027e-07
73.0940,6.1695e-07,1.2173e-06,7.9391e-07
74.0890,6.2312e-07,1.1762e-06,9.6107e-07
75.0830,6.6804e-07,1.2949e-06,7.4304e-07
76.0780,6.3697e-07,1.2498e-06,7.8792e-07
77.0720,6.8588e-07,1.3613e-06,1.3064e-06
78.0670,7.4449e-07,1.5141e-06,1.8055e-06
79.0610,7.8756e-07,1.6238e-06,1.7781e-06
80.0560,8.7455e-07,1.8490e-06,1.7615e-06
81.0500,9.5310e-07,2.2688e-06,1.7709e-06
82.0440,9.6550e-07,1.8691e-06,1.6930e-06
83.0390,6.4985e-07,1.2973e-06,1.2113e-06
84.0330,4.6779e-07,1.3756e-06,1.0000e-31
85.0280,3.7970e-07,1.5050e-06,1.0000e-31
86.0220,3.4033e-07,1.5427e-06,1.0000e-31
87.0170,2.8941e-07,1.4782e-06,1.0000e-31
88.0110,2.2403e-07,1.4739e-06,1.0000e-31
89.0060,2.0481e-07,1.5891e-06,1.0000e-31
