# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12y for E = 100.0 keV, L* = 4.0, MLT = 1.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.9066e-10,3.1867e-10,3.5526e-10
1.4940,4.4228e-09,2.7345e-09,1.4116e-09
2.4890,1.2396e-08,7.5642e-09,2.7810e-09
3.4830,2.4574e-08,1.4943e-08,4.5047e-09
4.4780,4.1159e-08,2.4798e-08,6.6606e-09
5.4720,6.2398e-08,3.7360e-08,9.3442e-09
6.4670,8.8586e-08,5.2454e-08,1.2673e-08
7.4610,1.2007e-07,7.0418e-08,1.6803e-08
8.4560,1.5725e-07,9.0971e-08,2.1942e-08
9.4500,2.0060e-07,1.1456e-07,2.8806e-08
10.4440,2.5064e-07,1.4105e-07,3.8605e-08
11.4390,3.0798e-07,1.7024e-07,5.2970e-08
12.4330,3.7333e-07,2.0270e-07,7.3873e-08
13.4280,4.4746e-07,2.3794e-07,1.0272e-07
14.4220,5.3127e-07,2.7666e-07,1.4022e-07
15.4170,6.2575e-07,3.1824e-07,1.8669e-07
16.4110,7.3204e-07,3.6352e-07,2.4216e-07
17.4060,8.5140e-07,4.1178e-07,3.0650e-07
18.4000,9.8523e-07,4.6398e-07,3.8468e-07
19.3940,1.1351e-06,5.1981e-07,6.1998e-07
20.3890,1.3028e-06,5.7882e-07,9.3350e-07
21.3830,1.4902e-06,6.4221e-07,1.1890e-06
22.3780,1.6994e-06,7.0901e-07,1.5007e-06
23.3720,1.9328e-06,7.8060e-07,2.2352e-06
24.3670,2.1928e-06,8.5589e-07,3.4083e-06
25.3610,2.4822e-06,9.3630e-07,4.6498e-06
26.3560,2.8038e-06,1.0204e-06,5.7165e-06
27.3500,3.1607e-06,1.1099e-06,6.5070e-06
28.3440,3.5560e-06,1.2047e-06,6.9890e-06
29.3390,3.9928e-06,1.3050e-06,7.2845e-06
30.3330,4.4744e-06,1.4142e-06,7.1817e-06
31.3280,5.0038e-06,1.5322e-06,6.5745e-06
32.3220,5.5838e-06,1.6627e-06,5.7507e-06
33.3170,6.2167e-06,1.8033e-06,4.9279e-06
34.3110,6.9042e-06,1.9512e-06,4.2121e-06
35.3060,7.6473e-06,2.1052e-06,3.6410e-06
36.3000,8.4454e-06,2.2700e-06,3.1598e-06
37.2940,9.2979e-06,2.4451e-06,2.7746e-06
38.2890,1.0202e-05,2.6318e-06,2.5415e-06
39.2830,1.1151e-05,2.8381e-06,2.4762e-06
40.2780,1.2134e-05,3.0729e-06,2.5582e-06
41.2720,1.3138e-05,3.3328e-06,2.7672e-06
42.2670,1.4153e-05,3.5872e-06,3.0769e-06
43.2610,1.5159e-05,3.8485e-06,3.4653e-06
44.2560,1.6135e-05,4.1234e-06,3.9301e-06
45.2500,1.7058e-05,4.4118e-06,4.4696e-06
46.2440,1.7899e-05,4.7088e-06,5.0870e-06
47.2390,1.8638e-05,5.0066e-06,5.7897e-06
48.2330,1.9246e-05,5.3058e-06,6.6298e-06
49.2280,1.9691e-05,5.5763e-06,7.6285e-06
50.2220,1.9955e-05,5.8295e-06,8.7116e-06
51.2170,2.0017e-05,6.0823e-06,9.8753e-06
52.2110,1.9858e-05,6.3576e-06,1.1077e-05
53.2060,1.9481e-05,6.7041e-06,1.2271e-05
54.2000,1.8892e-05,7.1579e-06,1.3409e-05
55.1940,1.8111e-05,7.6556e-06,1.4588e-05
56.1890,1.7167e-05,8.2555e-06,1.5799e-05
57.1830,1.6098e-05,9.0025e-06,1.7028e-05
58.1780,1.5036e-05,9.8699e-06,1.8367e-05
59.1720,1.4607e-05,1.0969e-05,1.9904e-05
60.1670,1.4126e-05,1.2157e-05,2.1754e-05
61.1610,1.3439e-05,1.3604e-05,2.3977e-05
62.1560,1.2820e-05,1.5483e-05,2.6593e-05
63.1500,1.2439e-05,1.7699e-05,2.9569e-05
64.1440,1.2341e-05,2.0191e-05,3.3236e-05
65.1390,1.2480e-05,2.1924e-05,3.7809e-05
66.1330,1.2971e-05,2.3329e-05,4.2884e-05
67.1280,1.3802e-05,2.4932e-05,4.9185e-05
68.1220,1.5093e-05,2.6699e-05,5.7101e-05
69.1170,1.4897e-05,2.9005e-05,6.6656e-05
70.1110,1.5501e-05,3.1426e-05,7.8640e-05
71.1060,1.7159e-05,3.4899e-05,9.2176e-05
72.1000,2.0148e-05,3.9145e-05,1.0136e-04
73.0940,2.0316e-05,4.4725e-05,1.0378e-04
74.0890,2.0797e-05,4.9392e-05,9.6991e-05
75.0830,2.2306e-05,5.3309e-05,8.1924e-05
76.0780,2.2582e-05,5.9590e-05,6.5504e-05
77.0720,2.1779e-05,6.4110e-05,4.6092e-05
78.0670,2.0973e-05,6.2474e-05,3.1661e-05
79.0610,2.0277e-05,5.7215e-05,2.0857e-05
80.0560,2.1042e-05,5.5874e-05,1.7386e-05
81.0500,1.9763e-05,5.4919e-05,1.5828e-05
82.0440,1.5882e-05,5.2889e-05,1.2486e-05
83.0390,1.0250e-05,4.8486e-05,1.0581e-05
84.0330,4.8864e-06,4.2323e-05,9.2331e-06
85.0280,1.4449e-06,3.3960e-05,7.4905e-06
86.0220,2.0310e-08,2.4859e-05,5.8031e-06
87.0170,2.0481e-09,1.5495e-05,3.9663e-06
88.0110,2.3073e-12,6.8915e-06,1.6454e-06
89.0060,1.0000e-31,1.9060e-06,2.0918e-07
