# Bounce averaged energy diffusion coefficients in s^(-1) in figure 12z for E = 100.0 keV, L* = 4.0, MLT = 4.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,7.4433e-11,2.2607e-09,1.0000e-31
1.4940,6.5949e-10,1.4612e-08,1.0000e-31
2.4890,1.8439e-09,3.8731e-08,1.0000e-31
3.4830,3.6481e-09,7.5775e-08,1.0000e-31
4.4780,6.0968e-09,1.2574e-07,1.0000e-31
5.4720,9.2195e-09,1.9027e-07,1.0000e-31
6.4670,1.3052e-08,2.6905e-07,1.0000e-31
7.4610,1.7634e-08,3.6454e-07,1.0000e-31
8.4560,2.3015e-08,4.7610e-07,1.0000e-31
9.4500,2.9247e-08,6.0715e-07,1.0000e-31
10.4440,3.6387e-08,7.5825e-07,1.0000e-31
11.4390,4.4494e-08,9.2961e-07,1.0000e-31
12.4330,5.3628e-08,1.1260e-06,1.0000e-31
13.4280,6.3856e-08,1.3459e-06,1.0000e-31
14.4220,7.5260e-08,1.5951e-06,1.0000e-31
15.4170,8.7947e-08,1.8713e-06,1.0000e-31
16.4110,1.0206e-07,2.1822e-06,1.0000e-31
17.4060,1.1775e-07,2.5251e-06,1.0000e-31
18.4000,1.3521e-07,2.9095e-06,1.0000e-31
19.3940,1.5462e-07,3.3361e-06,1.0000e-31
20.3890,1.7622e-07,3.8043e-06,1.0000e-31
21.3830,2.0024e-07,4.3265e-06,1.0000e-31
22.3780,2.2698e-07,4.8976e-06,1.0000e-31
23.3720,2.5666e-07,5.5328e-06,1.0000e-31
24.3670,2.8972e-07,6.2256e-06,1.0000e-31
25.3610,3.2665e-07,6.9924e-06,1.0000e-31
26.3560,3.6790e-07,7.8245e-06,1.0000e-31
27.3500,4.1386e-07,8.7408e-06,1.0000e-31
28.3440,4.6508e-07,9.7378e-06,1.0000e-31
29.3390,5.2208e-07,1.0810e-05,1.0000e-31
30.3330,5.8559e-07,1.1980e-05,1.0000e-31
31.3280,6.5638e-07,1.3231e-05,1.0000e-31
32.3220,7.3529e-07,1.4588e-05,1.0000e-31
33.3170,8.2324e-07,1.6029e-05,1.0000e-31
34.3110,9.2123e-07,1.7582e-05,1.0000e-31
35.3060,1.0304e-06,1.9217e-05,1.0000e-31
36.3000,1.1519e-06,2.0965e-05,1.0000e-31
37.2940,1.2872e-06,2.2805e-05,1.0000e-31
38.2890,1.4379e-06,2.4715e-05,1.0000e-31
39.2830,1.6081e-06,2.6715e-05,1.0000e-31
40.2780,1.7980e-06,2.8762e-05,1.0000e-31
41.2720,2.0062e-06,3.0885e-05,1.0000e-31
42.2670,2.2368e-06,3.3027e-05,1.0000e-31
43.2610,2.4927e-06,3.5208e-05,1.0000e-31
44.2560,2.7764e-06,3.7358e-05,1.0000e-31
45.2500,3.0967e-06,3.9472e-05,1.0000e-31
46.2440,3.4608e-06,4.1577e-05,1.0000e-31
47.2390,3.8706e-06,4.3676e-05,1.0000e-31
48.2330,4.3307e-06,4.5762e-05,1.0000e-31
49.2280,4.8403e-06,4.7810e-05,1.0000e-31
50.2220,5.4056e-06,4.9916e-05,1.0000e-31
51.2170,6.0552e-06,5.1805e-05,1.0000e-31
52.2110,6.8218e-06,5.3596e-05,1.0000e-31
53.2060,7.6272e-06,5.5307e-05,1.0000e-31
54.2000,8.4668e-06,5.6965e-05,1.0000e-31
55.1940,9.3463e-06,5.8536e-05,1.0000e-31
56.1890,1.0259e-05,5.9982e-05,1.0000e-31
57.1830,1.1191e-05,6.1246e-05,1.0000e-31
58.1780,1.2126e-05,6.2411e-05,1.0000e-31
59.1720,1.3043e-05,6.3453e-05,1.0000e-31
60.1670,1.4514e-05,6.4422e-05,1.0000e-31
61.1610,1.5490e-05,6.5930e-05,1.0000e-31
62.1560,1.6006e-05,6.6976e-05,1.0000e-31
63.1500,1.6588e-05,6.7174e-05,1.0000e-31
64.1440,1.6953e-05,6.6529e-05,1.0000e-31
65.1390,1.7051e-05,6.5285e-05,1.0000e-31
66.1330,1.7141e-05,6.3460e-05,1.0000e-31
67.1280,1.7224e-05,6.1879e-05,1.0000e-31
68.1220,1.7372e-05,5.8898e-05,1.0000e-31
69.1170,1.7703e-05,5.6717e-05,1.0000e-31
70.1110,1.9582e-05,5.4612e-05,1.0000e-31
71.1060,2.0794e-05,5.3121e-05,1.0000e-31
72.1000,2.2178e-05,5.4255e-05,1.0000e-31
73.0940,2.5393e-05,5.1598e-05,1.0000e-31
74.0890,3.4156e-05,5.4775e-05,1.0000e-31
75.0830,3.7748e-05,5.7008e-05,1.0000e-31
76.0780,3.8332e-05,6.5330e-05,1.0000e-31
77.0720,3.8396e-05,5.9202e-05,1.0000e-31
78.0670,3.9170e-05,5.7585e-05,1.0000e-31
79.0610,4.1232e-05,5.6375e-05,1.0000e-31
80.0560,4.8674e-05,5.4548e-05,1.0000e-31
81.0500,4.7933e-05,5.1324e-05,1.0000e-31
82.0440,4.3451e-05,4.5380e-05,1.0000e-31
83.0390,3.5376e-05,3.7423e-05,1.0000e-31
84.0330,2.4684e-05,2.8190e-05,1.0000e-31
85.0280,1.3440e-05,1.9931e-05,1.0000e-31
86.0220,2.6975e-06,1.2810e-05,1.0000e-31
87.0170,2.4594e-08,7.6558e-06,1.0000e-31
88.0110,3.4216e-11,3.4577e-06,1.0000e-31
89.0060,1.0000e-31,1.2517e-06,1.0000e-31
