# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14a for E = 5000.0 keV, L* = 3.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,7.8400e-16,1.5124e-21,9.6938e-11
1.4940,4.1662e-15,1.5297e-21,1.0012e-10
2.4890,9.7798e-15,1.5586e-21,1.0595e-10
3.4830,1.8472e-14,1.6001e-21,1.1481e-10
4.4780,3.1821e-14,1.6540e-21,1.2721e-10
5.4720,5.2344e-14,1.7221e-21,1.4385e-10
6.4670,8.3970e-14,1.8041e-21,1.6567e-10
7.4610,1.3278e-13,1.9024e-21,1.9380e-10
8.4560,2.0813e-13,2.0164e-21,2.2947e-10
9.4500,3.2461e-13,2.1494e-21,2.7398e-10
10.4440,5.0507e-13,2.3021e-21,3.2980e-10
11.4390,7.8544e-13,2.4744e-21,4.0454e-10
12.4330,1.2235e-12,2.6716e-21,5.0827e-10
13.4280,1.9123e-12,2.8920e-21,6.3788e-10
14.4220,2.9959e-12,3.1420e-21,7.9173e-10
15.4170,4.6530e-12,3.4196e-21,9.5474e-10
16.4110,7.0160e-12,3.7326e-21,1.1419e-09
17.4060,1.0341e-11,4.0782e-21,1.4157e-09
18.4000,1.5237e-11,4.4661e-21,1.7552e-09
19.3940,2.2486e-11,4.8975e-21,2.0684e-09
20.3890,3.3240e-11,5.3718e-21,2.4137e-09
21.3830,4.9084e-11,5.9016e-21,2.9335e-09
22.3780,7.2491e-11,6.4841e-21,3.7328e-09
23.3720,1.0783e-10,7.1423e-21,4.7206e-09
24.3670,1.4529e-10,7.8848e-21,5.9515e-09
25.3610,1.9512e-10,8.7428e-21,7.4210e-09
26.3560,2.5287e-10,9.7105e-21,9.0815e-09
27.3500,3.3154e-10,1.0784e-20,1.1153e-08
28.3440,4.5330e-10,1.1807e-20,1.3197e-08
29.3390,6.1437e-10,1.2806e-20,1.5136e-08
30.3330,8.1655e-10,1.3858e-20,1.6187e-08
31.3280,1.0324e-09,1.4886e-20,1.6997e-08
32.3220,1.2986e-09,1.6047e-20,1.7852e-08
33.3170,1.5412e-09,1.7400e-20,1.8722e-08
34.3110,1.7880e-09,1.8276e-20,1.9743e-08
35.3060,2.0042e-09,1.8505e-20,2.0998e-08
36.3000,2.6254e-09,1.8656e-20,2.2378e-08
37.2940,2.8549e-09,1.9052e-20,2.4093e-08
38.2890,3.0091e-09,1.9025e-20,2.6398e-08
39.2830,3.3874e-09,1.8575e-20,2.9385e-08
40.2780,4.0389e-09,1.8689e-20,3.2461e-08
41.2720,4.5014e-09,1.9048e-20,3.5496e-08
42.2670,4.9728e-09,1.9206e-20,3.8848e-08
43.2610,5.5193e-09,1.9208e-20,4.1696e-08
44.2560,5.5743e-09,2.0186e-20,4.4644e-08
45.2500,5.1912e-09,2.1213e-20,4.6867e-08
46.2440,5.1187e-09,2.2222e-20,4.9515e-08
47.2390,5.1737e-09,2.3370e-20,5.2102e-08
48.2330,4.7121e-09,2.4879e-20,5.3568e-08
49.2280,4.7125e-09,2.6220e-20,5.7431e-08
50.2220,4.6729e-09,2.7365e-20,6.1568e-08
51.2170,4.3412e-09,2.8897e-20,6.2195e-08
52.2110,4.1807e-09,2.9844e-20,6.4959e-08
53.2060,4.0956e-09,3.1025e-20,6.6534e-08
54.2000,4.1742e-09,3.1917e-20,7.0072e-08
55.1940,4.4240e-09,3.2765e-20,7.2261e-08
56.1890,4.6766e-09,3.3549e-20,7.4812e-08
57.1830,5.0416e-09,3.4112e-20,8.0789e-08
58.1780,5.4375e-09,3.5116e-20,8.8859e-08
59.1720,5.8100e-09,3.5921e-20,1.0207e-07
60.1670,6.3649e-09,3.6714e-20,9.7205e-08
61.1610,6.7003e-09,3.7330e-20,9.7894e-08
62.1560,7.2658e-09,3.7885e-20,9.8925e-08
63.1500,7.7596e-09,3.8602e-20,1.1822e-07
64.1440,8.2821e-09,3.9231e-20,1.3909e-07
65.1390,8.8934e-09,4.0093e-20,1.5976e-07
66.1330,9.5866e-09,4.0661e-20,1.9092e-07
67.1280,1.1023e-08,4.1369e-20,1.5082e-07
68.1220,1.1551e-08,4.2223e-20,1.3336e-07
69.1170,1.2316e-08,4.3120e-20,1.4024e-07
70.1110,1.3497e-08,4.4156e-20,1.5758e-07
71.1060,1.6066e-08,4.4855e-20,1.8070e-07
72.1000,1.3952e-08,4.5514e-20,2.0842e-07
73.0940,1.4262e-08,4.5726e-20,2.4975e-07
74.0890,1.6520e-08,4.7129e-20,3.0517e-07
75.0830,1.7449e-08,4.6384e-20,3.6462e-07
76.0780,1.5925e-08,4.6266e-20,4.3670e-07
77.0720,2.6877e-08,4.6545e-20,4.9615e-07
78.0670,1.9241e-08,4.4238e-20,5.5420e-07
79.0610,2.4244e-08,4.5085e-20,5.8246e-07
80.0560,2.3407e-08,4.3517e-20,5.9895e-07
81.0500,2.4237e-08,4.3961e-20,6.1366e-07
82.0440,2.4424e-08,4.3939e-20,5.9510e-07
83.0390,2.5936e-08,4.5531e-20,5.8401e-07
84.0330,2.6948e-08,4.7930e-20,5.5202e-07
85.0280,2.5558e-08,5.2328e-20,5.1045e-07
86.0220,2.9202e-08,5.9208e-20,5.3883e-07
87.0170,2.7643e-08,6.1148e-20,5.5881e-07
88.0110,2.7256e-08,3.6658e-20,4.5060e-07
89.0060,2.6762e-08,3.4855e-20,7.4273e-07
