# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14aa for E = 50.0 keV, L* = 4.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.4675e-05,2.9014e-05,1.9492e-04
1.4940,2.4864e-05,2.9242e-05,1.9644e-04
2.4890,2.5059e-05,2.9478e-05,1.9804e-04
3.4830,2.5260e-05,2.9728e-05,1.9972e-04
4.4780,2.5466e-05,2.9987e-05,2.0147e-04
5.4720,2.5677e-05,3.0260e-05,2.0330e-04
6.4670,2.5894e-05,3.0543e-05,2.0520e-04
7.4610,2.6116e-05,3.0839e-05,2.0717e-04
8.4560,2.6344e-05,3.1146e-05,2.0920e-04
9.4500,2.6576e-05,3.1468e-05,2.1131e-04
10.4440,2.6813e-05,3.1803e-05,2.1347e-04
11.4390,2.7055e-05,3.2148e-05,2.1569e-04
12.4330,2.7301e-05,3.2510e-05,2.1798e-04
13.4280,2.7551e-05,3.2882e-05,2.2031e-04
14.4220,2.7804e-05,3.3272e-05,2.2272e-04
15.4170,2.8060e-05,3.3673e-05,2.2518e-04
16.4110,2.8319e-05,3.4093e-05,2.2771e-04
17.4060,2.8579e-05,3.4525e-05,2.3030e-04
18.4000,2.8841e-05,3.4977e-05,2.3294e-04
19.3940,2.9103e-05,3.5447e-05,2.3561e-04
20.3890,2.9364e-05,3.5929e-05,2.3829e-04
21.3830,2.9625e-05,3.6435e-05,2.4100e-04
22.3780,2.9883e-05,3.6956e-05,2.4370e-04
23.3720,3.0139e-05,3.7502e-05,2.4637e-04
24.3670,3.0390e-05,3.8067e-05,2.4903e-04
25.3610,3.0636e-05,3.8660e-05,2.5173e-04
26.3560,3.0875e-05,3.9274e-05,2.5443e-04
27.3500,3.1105e-05,3.9923e-05,2.5709e-04
28.3440,3.1325e-05,4.0602e-05,2.5965e-04
29.3390,3.1533e-05,4.1308e-05,2.6209e-04
30.3330,3.1727e-05,4.2057e-05,2.6435e-04
31.3280,3.1906e-05,4.2835e-05,2.6638e-04
32.3220,3.2071e-05,4.3659e-05,2.6809e-04
33.3170,3.2220e-05,4.4515e-05,2.6938e-04
34.3110,3.2354e-05,4.5421e-05,2.7010e-04
35.3060,3.2465e-05,4.6358e-05,2.7003e-04
36.3000,3.2555e-05,4.7342e-05,2.6917e-04
37.2940,3.2623e-05,4.8364e-05,2.6773e-04
38.2890,3.2668e-05,4.9412e-05,2.6589e-04
39.2830,3.2687e-05,5.0511e-05,2.6362e-04
40.2780,3.2680e-05,5.1638e-05,2.6093e-04
41.2720,3.2656e-05,5.2820e-05,2.5788e-04
42.2670,3.2618e-05,5.4040e-05,2.5446e-04
43.2610,3.2568e-05,5.5324e-05,2.5065e-04
44.2560,3.2513e-05,5.6649e-05,2.4648e-04
45.2500,3.2464e-05,5.8027e-05,2.4198e-04
46.2440,3.2423e-05,5.9431e-05,2.3713e-04
47.2390,3.2399e-05,6.0831e-05,2.3198e-04
48.2330,3.2372e-05,6.2242e-05,2.2636e-04
49.2280,3.2350e-05,6.3633e-05,2.2015e-04
50.2220,3.2342e-05,6.5009e-05,2.1380e-04
51.2170,3.2339e-05,6.6337e-05,2.0763e-04
52.2110,3.2318e-05,6.7607e-05,2.0176e-04
53.2060,3.2268e-05,6.8760e-05,1.9555e-04
54.2000,3.2180e-05,6.9776e-05,1.8866e-04
55.1940,3.2033e-05,7.0618e-05,1.8122e-04
56.1890,3.1850e-05,7.1276e-05,1.7356e-04
57.1830,3.1631e-05,7.1771e-05,1.6562e-04
58.1780,3.1280e-05,7.2080e-05,1.5715e-04
59.1720,3.0883e-05,7.2173e-05,1.5030e-04
60.1670,3.0501e-05,7.2018e-05,1.4497e-04
61.1610,3.0190e-05,7.1629e-05,1.3947e-04
62.1560,3.0034e-05,7.1025e-05,1.3370e-04
63.1500,2.9971e-05,7.0267e-05,1.2804e-04
64.1440,2.9941e-05,6.9475e-05,1.2198e-04
65.1390,2.9957e-05,6.8775e-05,1.1478e-04
66.1330,3.0152e-05,6.8426e-05,1.0532e-04
67.1280,3.0897e-05,6.8463e-05,9.5712e-05
68.1220,3.1558e-05,6.9152e-05,8.5677e-05
69.1170,3.1914e-05,7.0453e-05,7.4901e-05
70.1110,3.2663e-05,7.2673e-05,6.6365e-05
71.1060,3.4279e-05,7.5131e-05,5.9993e-05
72.1000,3.4993e-05,7.6970e-05,5.4400e-05
73.0940,3.6361e-05,7.9551e-05,5.1853e-05
74.0890,3.7336e-05,7.9015e-05,5.2975e-05
75.0830,3.8231e-05,7.7947e-05,5.3286e-05
76.0780,3.8362e-05,7.6229e-05,5.3620e-05
77.0720,3.5484e-05,7.2746e-05,5.7957e-05
78.0670,3.1573e-05,6.7658e-05,6.0460e-05
79.0610,2.6218e-05,6.1319e-05,6.3005e-05
80.0560,1.8782e-05,5.3915e-05,5.7621e-05
81.0500,1.3087e-05,4.5815e-05,4.2521e-05
82.0440,8.0700e-06,3.7778e-05,2.8923e-05
83.0390,4.4795e-06,3.0165e-05,1.9036e-05
84.0330,1.3213e-06,2.2631e-05,1.4274e-05
85.0280,1.3184e-07,1.5203e-05,1.0796e-05
86.0220,4.6276e-08,8.4401e-06,8.2985e-06
87.0170,4.1599e-15,4.0029e-06,8.3224e-06
88.0110,1.5058e-16,2.2075e-06,5.0220e-06
89.0060,1.0000e-31,8.7389e-07,2.7739e-07
