# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14b for E = 5000.0 keV, L* = 3.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,6.9319e-18,1.8701e-10,6.0342e-10
1.4940,1.1437e-16,1.9077e-10,6.2799e-10
2.4890,6.0550e-16,1.9693e-10,6.7202e-10
3.4830,2.0953e-15,2.0581e-10,7.3453e-10
4.4780,5.7908e-15,2.1748e-10,8.1496e-10
5.4720,1.3958e-14,2.3254e-10,9.1408e-10
6.4670,3.0697e-14,2.5115e-10,1.0352e-09
7.4610,6.3199e-14,2.7419e-10,1.1855e-09
8.4560,1.2377e-13,3.0193e-10,1.3752e-09
9.4500,2.3301e-13,3.3573e-10,1.6088e-09
10.4440,4.2477e-13,3.7643e-10,1.8733e-09
11.4390,7.5371e-13,4.2487e-10,2.1462e-09
12.4330,1.3063e-12,4.8362e-10,2.4255e-09
13.4280,2.2160e-12,5.5383e-10,2.7214e-09
14.4220,3.6833e-12,6.3978e-10,3.0330e-09
15.4170,5.9971e-12,7.4297e-10,3.3465e-09
16.4110,9.5587e-12,8.6719e-10,3.6290e-09
17.4060,1.4905e-11,1.0142e-09,3.9636e-09
18.4000,2.2735e-11,1.1896e-09,4.3973e-09
19.3940,3.3980e-11,1.3967e-09,4.9477e-09
20.3890,4.9909e-11,1.6399e-09,5.5639e-09
21.3830,7.2795e-11,1.9316e-09,6.3871e-09
22.3780,1.0743e-10,2.2758e-09,7.4394e-09
23.3720,1.6017e-10,2.6920e-09,8.6837e-09
24.3670,2.4098e-10,3.1912e-09,1.0024e-08
25.3610,3.5422e-10,3.8037e-09,1.1467e-08
26.3560,4.8730e-10,4.5478e-09,1.2897e-08
27.3500,6.3886e-10,5.4565e-09,1.4456e-08
28.3440,8.2349e-10,6.4447e-09,1.5828e-08
29.3390,1.0831e-09,7.4771e-09,1.7066e-08
30.3330,1.5858e-09,8.6694e-09,1.8328e-08
31.3280,1.8931e-09,9.8606e-09,1.9619e-08
32.3220,2.3257e-09,1.1306e-08,2.1368e-08
33.3170,3.0074e-09,1.3074e-08,2.3708e-08
34.3110,3.4924e-09,1.4419e-08,2.6529e-08
35.3060,4.0064e-09,1.5022e-08,3.0042e-08
36.3000,4.3908e-09,1.5624e-08,3.3877e-08
37.2940,4.9242e-09,1.6518e-08,3.8146e-08
38.2890,5.5002e-09,1.7234e-08,4.2598e-08
39.2830,6.1547e-09,1.7301e-08,4.6876e-08
40.2780,7.0529e-09,1.7907e-08,5.0802e-08
41.2720,7.8538e-09,1.8808e-08,5.4458e-08
42.2670,8.5327e-09,1.9370e-08,5.7446e-08
43.2610,9.3476e-09,1.9697e-08,5.9560e-08
44.2560,9.6838e-09,2.1184e-08,6.0431e-08
45.2500,9.6801e-09,2.2729e-08,6.1453e-08
46.2440,9.8857e-09,2.4292e-08,6.1977e-08
47.2390,1.0299e-08,2.6134e-08,6.3430e-08
48.2330,1.0790e-08,2.8509e-08,6.5480e-08
49.2280,1.1149e-08,3.0805e-08,6.8426e-08
50.2220,1.1944e-08,3.3135e-08,7.2324e-08
51.2170,1.2365e-08,3.5901e-08,7.6894e-08
52.2110,1.3105e-08,3.8010e-08,8.1855e-08
53.2060,1.3784e-08,4.0028e-08,8.6330e-08
54.2000,1.4719e-08,4.2027e-08,9.0513e-08
55.1940,1.5675e-08,4.3723e-08,9.3584e-08
56.1890,1.6858e-08,4.5477e-08,9.5800e-08
57.1830,1.8166e-08,4.7025e-08,9.7874e-08
58.1780,1.9717e-08,4.9163e-08,9.8336e-08
59.1720,2.0752e-08,5.1131e-08,9.8278e-08
60.1670,2.2882e-08,5.3134e-08,9.8504e-08
61.1610,2.4599e-08,5.4707e-08,1.0021e-07
62.1560,2.6996e-08,5.6289e-08,1.0444e-07
63.1500,3.0327e-08,5.7523e-08,1.0992e-07
64.1440,3.4054e-08,5.8998e-08,1.1654e-07
65.1390,3.8271e-08,6.0824e-08,1.2341e-07
66.1330,4.3414e-08,6.2449e-08,1.3290e-07
67.1280,4.7988e-08,6.4070e-08,1.4321e-07
68.1220,5.1770e-08,6.6332e-08,1.5437e-07
69.1170,5.5096e-08,6.9028e-08,1.6773e-07
70.1110,6.2132e-08,7.1675e-08,1.8236e-07
71.1060,6.3731e-08,7.4834e-08,1.9747e-07
72.1000,6.7238e-08,7.7005e-08,2.2173e-07
73.0940,7.0508e-08,7.9102e-08,2.4446e-07
74.0890,8.9050e-08,8.2961e-08,2.7368e-07
75.0830,8.5700e-08,8.2086e-08,3.1296e-07
76.0780,7.4818e-08,8.2818e-08,3.4573e-07
77.0720,1.0055e-07,8.1570e-08,3.7236e-07
78.0670,8.7829e-08,7.8160e-08,4.1822e-07
79.0610,1.0106e-07,7.7156e-08,4.1150e-07
80.0560,1.1425e-07,7.2117e-08,4.3510e-07
81.0500,1.0807e-07,7.1170e-08,4.2453e-07
82.0440,1.1138e-07,7.1882e-08,4.2746e-07
83.0390,1.2634e-07,7.3969e-08,4.1124e-07
84.0330,1.2402e-07,8.2767e-08,4.0045e-07
85.0280,1.3058e-07,9.8276e-08,3.9004e-07
86.0220,1.3509e-07,1.2738e-07,3.9249e-07
87.0170,1.4199e-07,1.4708e-07,3.9948e-07
88.0110,1.4781e-07,6.6874e-08,3.2429e-07
89.0060,1.4922e-07,4.4771e-08,4.6014e-07
