# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14bb for E = 50.0 keV, L* = 4.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.9013e-05,6.4499e-05,1.4323e-04
1.4940,4.9409e-05,6.5016e-05,1.4433e-04
2.4890,4.9835e-05,6.5564e-05,1.4545e-04
3.4830,5.0293e-05,6.6154e-05,1.4661e-04
4.4780,5.0784e-05,6.6775e-05,1.4780e-04
5.4720,5.1309e-05,6.7439e-05,1.4902e-04
6.4670,5.1869e-05,6.8137e-05,1.5027e-04
7.4610,5.2466e-05,6.8881e-05,1.5155e-04
8.4560,5.3100e-05,6.9659e-05,1.5287e-04
9.4500,5.3775e-05,7.0487e-05,1.5421e-04
10.4440,5.4491e-05,7.1358e-05,1.5558e-04
11.4390,5.5252e-05,7.2266e-05,1.5697e-04
12.4330,5.6060e-05,7.3229e-05,1.5839e-04
13.4280,5.6918e-05,7.4231e-05,1.5983e-04
14.4220,5.7830e-05,7.5291e-05,1.6128e-04
15.4170,5.8800e-05,7.6392e-05,1.6276e-04
16.4110,5.9832e-05,7.7556e-05,1.6426e-04
17.4060,6.0932e-05,7.8763e-05,1.6579e-04
18.4000,6.2106e-05,8.0038e-05,1.6736e-04
19.3940,6.3362e-05,8.1371e-05,1.6899e-04
20.3890,6.4706e-05,8.2753e-05,1.7072e-04
21.3830,6.6128e-05,8.4210e-05,1.7255e-04
22.3780,6.7622e-05,8.5718e-05,1.7448e-04
23.3720,6.9186e-05,8.7308e-05,1.7648e-04
24.3670,7.0816e-05,8.8952e-05,1.7855e-04
25.3610,7.2511e-05,9.0683e-05,1.8068e-04
26.3560,7.4261e-05,9.2474e-05,1.8287e-04
27.3500,7.6050e-05,9.4359e-05,1.8511e-04
28.3440,7.7851e-05,9.6325e-05,1.8741e-04
29.3390,7.9649e-05,9.8355e-05,1.8979e-04
30.3330,8.1380e-05,1.0049e-04,1.9226e-04
31.3280,8.2869e-05,1.0269e-04,1.9484e-04
32.3220,8.4352e-05,1.0500e-04,1.9756e-04
33.3170,8.5848e-05,1.0738e-04,2.0036e-04
34.3110,8.7349e-05,1.0986e-04,2.0321e-04
35.3060,8.8846e-05,1.1242e-04,2.0617e-04
36.3000,9.0328e-05,1.1508e-04,2.0937e-04
37.2940,9.1790e-05,1.1784e-04,2.1244e-04
38.2890,9.3216e-05,1.2065e-04,2.1479e-04
39.2830,9.4599e-05,1.2358e-04,2.1694e-04
40.2780,9.5926e-05,1.2656e-04,2.1906e-04
41.2720,9.7181e-05,1.2965e-04,2.2106e-04
42.2670,9.8351e-05,1.3279e-04,2.2301e-04
43.2610,9.9417e-05,1.3606e-04,2.2502e-04
44.2560,1.0037e-04,1.3938e-04,2.2724e-04
45.2500,1.0121e-04,1.4280e-04,2.2982e-04
46.2440,1.0184e-04,1.4626e-04,2.3295e-04
47.2390,1.0226e-04,1.4969e-04,2.3638e-04
48.2330,1.0246e-04,1.5315e-04,2.4021e-04
49.2280,1.0247e-04,1.5655e-04,2.4406e-04
50.2220,1.0231e-04,1.5992e-04,2.4823e-04
51.2170,1.0194e-04,1.6321e-04,2.5294e-04
52.2110,1.0138e-04,1.6642e-04,2.5811e-04
53.2060,1.0062e-04,1.6947e-04,2.6211e-04
54.2000,9.9682e-05,1.7240e-04,2.6661e-04
55.1940,9.8578e-05,1.7512e-04,2.7181e-04
56.1890,9.7328e-05,1.7752e-04,2.7766e-04
57.1830,9.5916e-05,1.7962e-04,2.8417e-04
58.1780,9.4345e-05,1.8136e-04,2.9124e-04
59.1720,9.2822e-05,1.8269e-04,2.9808e-04
60.1670,9.1200e-05,1.8340e-04,3.0306e-04
61.1610,8.9470e-05,1.8339e-04,3.0672e-04
62.1560,8.7595e-05,1.8263e-04,3.1078e-04
63.1500,8.5512e-05,1.8112e-04,3.1513e-04
64.1440,8.3618e-05,1.7874e-04,3.1961e-04
65.1390,8.2071e-05,1.7576e-04,3.2368e-04
66.1330,8.0815e-05,1.7261e-04,3.2800e-04
67.1280,7.9668e-05,1.6958e-04,3.3095e-04
68.1220,7.8077e-05,1.6710e-04,3.2935e-04
69.1170,7.5728e-05,1.6673e-04,3.2329e-04
70.1110,7.4565e-05,1.6846e-04,3.1603e-04
71.1060,7.4834e-05,1.7115e-04,3.0509e-04
72.1000,7.4764e-05,1.7291e-04,2.8658e-04
73.0940,7.6550e-05,1.7595e-04,2.5993e-04
74.0890,7.9341e-05,1.7819e-04,2.4256e-04
75.0830,7.5156e-05,1.6677e-04,2.1941e-04
76.0780,7.3645e-05,1.6411e-04,1.8158e-04
77.0720,7.0886e-05,1.5032e-04,1.3775e-04
78.0670,7.3078e-05,1.4021e-04,1.1338e-04
79.0610,7.7364e-05,1.3050e-04,9.9953e-05
80.0560,6.9154e-05,1.1962e-04,1.0585e-04
81.0500,4.8763e-05,1.0044e-04,1.3760e-04
82.0440,3.1854e-05,8.0396e-05,1.2877e-04
83.0390,2.0708e-05,6.3288e-05,1.5381e-04
84.0330,9.9963e-06,4.7566e-05,9.3168e-05
85.0280,1.4212e-06,3.3022e-05,3.8312e-05
86.0220,4.2241e-07,1.9049e-05,1.1796e-05
87.0170,3.0582e-09,8.5822e-06,9.9018e-06
88.0110,6.5498e-16,3.9843e-06,1.1650e-05
89.0060,1.0000e-31,1.4948e-06,4.1186e-07
