# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14c for E = 5000.0 keV, L* = 4.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.4453e-16,3.4900e-09,5.2800e-09
1.4940,9.3515e-16,3.5423e-09,5.3378e-09
2.4890,2.7670e-15,3.6209e-09,5.4152e-09
3.4830,6.5664e-15,3.7285e-09,5.5143e-09
4.4780,1.4175e-14,3.8648e-09,5.6352e-09
5.4720,2.9144e-14,4.0347e-09,5.7754e-09
6.4670,5.8111e-14,4.2378e-09,5.9384e-09
7.4610,1.1315e-13,4.4811e-09,6.1098e-09
8.4560,2.1582e-13,4.7642e-09,6.2739e-09
9.4500,4.0351e-13,5.0970e-09,6.4285e-09
10.4440,7.3949e-13,5.4834e-09,6.5866e-09
11.4390,1.3293e-12,5.9260e-09,6.7644e-09
12.4330,2.3464e-12,6.4419e-09,6.8970e-09
13.4280,4.0699e-12,7.0340e-09,6.9512e-09
14.4220,6.9362e-12,7.7294e-09,6.9718e-09
15.4170,1.1593e-11,8.5250e-09,7.0037e-09
16.4110,1.8974e-11,9.4249e-09,7.0198e-09
17.4060,3.0512e-11,1.0414e-08,6.8572e-09
18.4000,4.8657e-11,1.1460e-08,6.8203e-09
19.3940,7.7594e-11,1.2533e-08,6.7681e-09
20.3890,1.2183e-10,1.3694e-08,6.8470e-09
21.3830,1.8645e-10,1.5121e-08,6.9943e-09
22.3780,2.7153e-10,1.6851e-08,7.4061e-09
23.3720,3.8021e-10,1.8986e-08,8.0112e-09
24.3670,5.2686e-10,2.1544e-08,8.7888e-09
25.3610,7.3271e-10,2.4702e-08,9.7574e-09
26.3560,1.0494e-09,2.8631e-08,1.1011e-08
27.3500,1.5243e-09,3.3641e-08,1.2693e-08
28.3440,2.0411e-09,3.9623e-08,1.4908e-08
29.3390,2.5616e-09,4.6224e-08,1.7706e-08
30.3330,3.1760e-09,5.3450e-08,2.1066e-08
31.3280,4.4915e-09,6.0797e-08,2.5279e-08
32.3220,5.4328e-09,6.8848e-08,3.0734e-08
33.3170,6.8719e-09,7.7611e-08,3.7687e-08
34.3110,7.5183e-09,8.5582e-08,4.6304e-08
35.3060,8.1589e-09,9.0564e-08,5.6786e-08
36.3000,8.5029e-09,9.5629e-08,7.0261e-08
37.2940,9.0126e-09,1.0203e-07,8.7415e-08
38.2890,9.5373e-09,1.1042e-07,1.0564e-07
39.2830,1.0580e-08,1.1764e-07,1.2777e-07
40.2780,1.1253e-08,1.2478e-07,1.5052e-07
41.2720,1.2255e-08,1.3190e-07,1.7597e-07
42.2670,1.3423e-08,1.3773e-07,2.0463e-07
43.2610,1.4186e-08,1.4318e-07,2.3006e-07
44.2560,1.4795e-08,1.4968e-07,2.5741e-07
45.2500,1.5206e-08,1.5617e-07,2.8951e-07
46.2440,1.5532e-08,1.6241e-07,3.2046e-07
47.2390,1.5996e-08,1.6923e-07,3.5401e-07
48.2330,1.6770e-08,1.7670e-07,3.8473e-07
49.2280,1.7551e-08,1.8361e-07,4.0421e-07
50.2220,1.8603e-08,1.9113e-07,4.1243e-07
51.2170,1.9898e-08,1.9864e-07,4.1844e-07
52.2110,2.1599e-08,2.0832e-07,4.2788e-07
53.2060,2.3844e-08,2.1259e-07,4.3985e-07
54.2000,2.6432e-08,2.1778e-07,4.5930e-07
55.1940,2.9113e-08,2.2145e-07,4.9115e-07
56.1890,3.2671e-08,2.2430e-07,5.3574e-07
57.1830,3.6648e-08,2.2591e-07,5.9240e-07
58.1780,4.1117e-08,2.2713e-07,6.6318e-07
59.1720,4.5826e-08,2.2909e-07,7.4911e-07
60.1670,5.0882e-08,2.3081e-07,8.5802e-07
61.1610,5.7619e-08,2.3311e-07,9.8357e-07
62.1560,6.4602e-08,2.3456e-07,1.1227e-06
63.1500,6.9446e-08,2.3321e-07,1.2656e-06
64.1440,7.6158e-08,2.3157e-07,1.4230e-06
65.1390,8.1498e-08,2.3811e-07,1.5817e-06
66.1330,8.5424e-08,2.4835e-07,1.7434e-06
67.1280,8.8901e-08,2.5853e-07,1.9192e-06
68.1220,9.4099e-08,2.7235e-07,2.1126e-06
69.1170,9.8058e-08,2.8787e-07,2.3104e-06
70.1110,1.0941e-07,3.0275e-07,2.4890e-06
71.1060,1.0805e-07,3.2410e-07,2.6615e-06
72.1000,1.1637e-07,3.4191e-07,2.8342e-06
73.0940,1.1830e-07,3.6239e-07,3.0271e-06
74.0890,1.2636e-07,3.8133e-07,3.1558e-06
75.0830,1.2899e-07,3.9752e-07,3.3461e-06
76.0780,1.3298e-07,4.1678e-07,3.5829e-06
77.0720,1.2360e-07,4.1304e-07,3.6519e-06
78.0670,1.3248e-07,4.2368e-07,3.9254e-06
79.0610,1.3979e-07,4.3769e-07,3.9112e-06
80.0560,1.4339e-07,4.0950e-07,3.9585e-06
81.0500,1.4560e-07,4.2628e-07,3.8613e-06
82.0440,1.3973e-07,4.1293e-07,4.7017e-06
83.0390,1.6853e-07,4.0948e-07,4.2623e-06
84.0330,1.7132e-07,4.4906e-07,4.0675e-06
85.0280,1.7391e-07,5.0395e-07,3.8795e-06
86.0220,1.7717e-07,6.0184e-07,4.3986e-06
87.0170,1.8057e-07,7.1614e-07,4.0382e-06
88.0110,1.8204e-07,5.7059e-07,4.1626e-06
89.0060,1.6305e-07,3.4019e-07,3.8030e-06
