# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14cc for E = 50.0 keV, L* = 5.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.2180e-04,1.1506e-04,8.8045e-05
1.4940,1.2283e-04,1.1600e-04,8.8784e-05
2.4890,1.2397e-04,1.1701e-04,8.9608e-05
3.4830,1.2525e-04,1.1811e-04,9.0518e-05
4.4780,1.2665e-04,1.1928e-04,9.1517e-05
5.4720,1.2818e-04,1.2055e-04,9.2608e-05
6.4670,1.2986e-04,1.2190e-04,9.3795e-05
7.4610,1.3168e-04,1.2335e-04,9.5080e-05
8.4560,1.3366e-04,1.2487e-04,9.6467e-05
9.4500,1.3580e-04,1.2651e-04,9.7962e-05
10.4440,1.3810e-04,1.2825e-04,9.9569e-05
11.4390,1.4056e-04,1.3007e-04,1.0129e-04
12.4330,1.4319e-04,1.3201e-04,1.0314e-04
13.4280,1.4599e-04,1.3405e-04,1.0512e-04
14.4220,1.4897e-04,1.3621e-04,1.0725e-04
15.4170,1.5213e-04,1.3847e-04,1.0952e-04
16.4110,1.5547e-04,1.4088e-04,1.1195e-04
17.4060,1.5899e-04,1.4338e-04,1.1455e-04
18.4000,1.6270e-04,1.4604e-04,1.1733e-04
19.3940,1.6660e-04,1.4883e-04,1.2031e-04
20.3890,1.7065e-04,1.5173e-04,1.2348e-04
21.3830,1.7486e-04,1.5480e-04,1.2685e-04
22.3780,1.7918e-04,1.5799e-04,1.3041e-04
23.3720,1.8355e-04,1.6136e-04,1.3423e-04
24.3670,1.8782e-04,1.6486e-04,1.3832e-04
25.3610,1.9168e-04,1.6855e-04,1.4268e-04
26.3560,1.9560e-04,1.7238e-04,1.4729e-04
27.3500,1.9960e-04,1.7641e-04,1.5212e-04
28.3440,2.0367e-04,1.8062e-04,1.5711e-04
29.3390,2.0778e-04,1.8497e-04,1.6223e-04
30.3330,2.1193e-04,1.8956e-04,1.6756e-04
31.3280,2.1608e-04,1.9429e-04,1.7306e-04
32.3220,2.2022e-04,1.9928e-04,1.7873e-04
33.3170,2.2431e-04,2.0443e-04,1.8460e-04
34.3110,2.2833e-04,2.0984e-04,1.9068e-04
35.3060,2.3223e-04,2.1541e-04,1.9696e-04
36.3000,2.3599e-04,2.2125e-04,2.0335e-04
37.2940,2.3959e-04,2.2732e-04,2.0978e-04
38.2890,2.4298e-04,2.3354e-04,2.1631e-04
39.2830,2.4614e-04,2.4003e-04,2.2320e-04
40.2780,2.4904e-04,2.4665e-04,2.3050e-04
41.2720,2.5166e-04,2.5351e-04,2.3815e-04
42.2670,2.5398e-04,2.6047e-04,2.4621e-04
43.2610,2.5599e-04,2.6765e-04,2.5469e-04
44.2560,2.5770e-04,2.7489e-04,2.6353e-04
45.2500,2.5910e-04,2.8229e-04,2.7272e-04
46.2440,2.6017e-04,2.8973e-04,2.8229e-04
47.2390,2.6092e-04,2.9714e-04,2.9217e-04
48.2330,2.6134e-04,3.0464e-04,3.0196e-04
49.2280,2.6146e-04,3.1206e-04,3.1149e-04
50.2220,2.6116e-04,3.1953e-04,3.2080e-04
51.2170,2.6059e-04,3.2689e-04,3.3017e-04
52.2110,2.5966e-04,3.3415e-04,3.3897e-04
53.2060,2.5842e-04,3.4115e-04,3.4782e-04
54.2000,2.5694e-04,3.4800e-04,3.5703e-04
55.1940,2.5523e-04,3.5448e-04,3.6592e-04
56.1890,2.5328e-04,3.6039e-04,3.7473e-04
57.1830,2.5114e-04,3.6567e-04,3.8400e-04
58.1780,2.4887e-04,3.7028e-04,3.9260e-04
59.1720,2.4681e-04,3.7432e-04,3.9791e-04
60.1670,2.4551e-04,3.7759e-04,4.0048e-04
61.1610,2.4504e-04,3.7981e-04,4.0131e-04
62.1560,2.4558e-04,3.8047e-04,4.0095e-04
63.1500,2.4786e-04,3.7938e-04,4.0148e-04
64.1440,2.5263e-04,3.7605e-04,4.0371e-04
65.1390,2.6010e-04,3.7006e-04,4.0473e-04
66.1330,2.7018e-04,3.6132e-04,4.0424e-04
67.1280,2.8262e-04,3.5029e-04,3.9902e-04
68.1220,2.9588e-04,3.3797e-04,3.8920e-04
69.1170,3.0594e-04,3.2581e-04,3.7565e-04
70.1110,3.1281e-04,3.1340e-04,3.5863e-04
71.1060,3.1271e-04,3.0389e-04,3.3205e-04
72.1000,3.0658e-04,2.9579e-04,2.9769e-04
73.0940,3.0107e-04,2.8599e-04,2.3397e-04
74.0890,2.9774e-04,2.8938e-04,1.6179e-04
75.0830,2.8514e-04,2.7291e-04,1.2469e-04
76.0780,2.6311e-04,2.6489e-04,7.9548e-05
77.0720,2.3402e-04,2.3826e-04,8.2105e-05
78.0670,2.2212e-04,2.2510e-04,7.0707e-05
79.0610,2.5831e-04,2.0911e-04,4.6045e-05
80.0560,2.3604e-04,2.0548e-04,4.0129e-05
81.0500,1.9724e-04,1.6822e-04,5.9471e-05
82.0440,2.2545e-04,1.1780e-04,7.9907e-05
83.0390,1.2388e-04,8.3488e-05,5.5868e-05
84.0330,3.8318e-05,5.8738e-05,3.1711e-05
85.0280,1.6194e-05,4.0506e-05,2.6083e-05
86.0220,3.9807e-06,2.5386e-05,1.5982e-05
87.0170,4.9559e-07,1.2921e-05,9.3774e-06
88.0110,1.0917e-14,5.6035e-06,8.4555e-07
89.0060,1.0000e-31,2.1578e-06,9.6169e-08
