# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14d for E = 5000.0 keV, L* = 4.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,9.8671e-15,6.1605e-09,3.3432e-09
1.4940,1.3487e-14,6.2484e-09,3.4091e-09
2.4890,2.1452e-14,6.3780e-09,3.5192e-09
3.4830,3.7457e-14,6.5535e-09,3.6801e-09
4.4780,6.9045e-14,6.7739e-09,3.9027e-09
5.4720,1.2970e-13,7.0457e-09,4.1973e-09
6.4670,2.4269e-13,7.3675e-09,4.5507e-09
7.4610,4.4733e-13,7.7484e-09,4.9555e-09
8.4560,8.0871e-13,8.1859e-09,5.3931e-09
9.4500,1.4326e-12,8.6922e-09,5.8442e-09
10.4440,2.4877e-12,9.2689e-09,6.3471e-09
11.4390,4.2385e-12,9.9144e-09,6.9102e-09
12.4330,7.0915e-12,1.0645e-08,7.4489e-09
13.4280,1.1660e-11,1.1450e-08,7.8525e-09
14.4220,1.9005e-11,1.2343e-08,8.2361e-09
15.4170,3.0412e-11,1.3303e-08,8.7694e-09
16.4110,4.7705e-11,1.4335e-08,9.3989e-09
17.4060,7.3629e-11,1.5387e-08,9.8587e-09
18.4000,1.1199e-10,1.6379e-08,1.0631e-08
19.3940,1.6833e-10,1.7182e-08,1.1595e-08
20.3890,2.4670e-10,1.7931e-08,1.2830e-08
21.3830,3.6027e-10,1.9031e-08,1.4502e-08
22.3780,5.2888e-10,2.0519e-08,1.6854e-08
23.3720,7.9372e-10,2.2453e-08,2.0041e-08
24.3670,1.1769e-09,2.5172e-08,2.4145e-08
25.3610,1.7071e-09,2.8987e-08,2.9072e-08
26.3560,2.3411e-09,3.4053e-08,3.4703e-08
27.3500,3.0477e-09,4.0828e-08,4.1199e-08
28.3440,3.8670e-09,4.9144e-08,4.8600e-08
29.3390,5.1465e-09,5.8770e-08,5.6693e-08
30.3330,7.1537e-09,6.9124e-08,6.4949e-08
31.3280,8.9021e-09,8.0181e-08,7.3537e-08
32.3220,1.0984e-08,9.1461e-08,8.2698e-08
33.3170,1.3850e-08,1.0184e-07,9.2661e-08
34.3110,1.6038e-08,1.1182e-07,1.0336e-07
35.3060,1.7298e-08,1.1658e-07,1.1523e-07
36.3000,1.8295e-08,1.2103e-07,1.2894e-07
37.2940,2.0081e-08,1.2644e-07,1.4528e-07
38.2890,2.2544e-08,1.3301e-07,1.6262e-07
39.2830,2.4409e-08,1.4160e-07,1.7991e-07
40.2780,2.6394e-08,1.4974e-07,1.9851e-07
41.2720,2.9391e-08,1.5533e-07,2.1954e-07
42.2670,3.1552e-08,1.6081e-07,2.4341e-07
43.2610,3.4063e-08,1.6587e-07,2.6668e-07
44.2560,3.5375e-08,1.7227e-07,2.8765e-07
45.2500,3.5861e-08,1.7918e-07,3.0711e-07
46.2440,3.6603e-08,1.8605e-07,3.2517e-07
47.2390,3.7688e-08,1.9380e-07,3.3665e-07
48.2330,3.9135e-08,2.0282e-07,3.4045e-07
49.2280,4.1124e-08,2.1098e-07,3.3663e-07
50.2220,4.2145e-08,2.1878e-07,3.3429e-07
51.2170,4.5273e-08,2.2532e-07,3.3297e-07
52.2110,4.7251e-08,2.3444e-07,3.4125e-07
53.2060,4.9342e-08,2.4166e-07,3.5883e-07
54.2000,5.1750e-08,2.4547e-07,3.8726e-07
55.1940,5.4668e-08,2.4852e-07,4.2018e-07
56.1890,5.8549e-08,2.5077e-07,4.6101e-07
57.1830,6.4141e-08,2.5245e-07,5.1356e-07
58.1780,7.1771e-08,2.5502e-07,5.6773e-07
59.1720,8.1361e-08,2.5903e-07,6.2676e-07
60.1670,9.2851e-08,2.6400e-07,7.2467e-07
61.1610,1.0623e-07,2.6990e-07,8.2137e-07
62.1560,1.2122e-07,2.7708e-07,8.9149e-07
63.1500,1.3633e-07,2.8486e-07,9.9843e-07
64.1440,1.5299e-07,2.9263e-07,1.0869e-06
65.1390,1.6841e-07,3.1207e-07,1.1831e-06
66.1330,1.7822e-07,3.3716e-07,1.2177e-06
67.1280,1.8641e-07,3.6505e-07,1.2579e-06
68.1220,1.9149e-07,4.0058e-07,1.3212e-06
69.1170,1.9334e-07,4.3970e-07,1.3689e-06
70.1110,1.9470e-07,4.8580e-07,1.4590e-06
71.1060,1.9637e-07,5.3920e-07,1.5586e-06
72.1000,2.0343e-07,5.9811e-07,1.6804e-06
73.0940,2.0911e-07,6.5653e-07,1.8647e-06
74.0890,2.3186e-07,7.1743e-07,2.0727e-06
75.0830,2.3990e-07,7.7465e-07,2.3314e-06
76.0780,2.5466e-07,8.4404e-07,2.6249e-06
77.0720,2.6396e-07,8.7445e-07,2.9122e-06
78.0670,2.9303e-07,9.3123e-07,3.2966e-06
79.0610,3.1437e-07,9.9390e-07,3.6296e-06
80.0560,3.4152e-07,9.8381e-07,3.9596e-06
81.0500,3.6702e-07,1.0950e-06,4.2454e-06
82.0440,3.4722e-07,9.9646e-07,4.5823e-06
83.0390,4.6361e-07,1.0830e-06,4.6427e-06
84.0330,3.7331e-07,1.1578e-06,4.6791e-06
85.0280,3.7442e-07,1.2525e-06,4.4049e-06
86.0220,5.0294e-07,1.3283e-06,6.2088e-06
87.0170,4.9001e-07,1.4551e-06,4.4020e-06
88.0110,5.1588e-07,1.5738e-06,4.4590e-06
89.0060,5.7416e-07,1.3315e-06,4.3042e-06
