# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14dd for E = 50.0 keV, L* = 5.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.0723e-04,1.4875e-04,8.8045e-05
1.4940,1.0810e-04,1.4997e-04,8.8784e-05
2.4890,1.0903e-04,1.5127e-04,8.9608e-05
3.4830,1.1003e-04,1.5269e-04,9.0518e-05
4.4780,1.1110e-04,1.5420e-04,9.1517e-05
5.4720,1.1224e-04,1.5584e-04,9.2608e-05
6.4670,1.1345e-04,1.5757e-04,9.3795e-05
7.4610,1.1473e-04,1.5944e-04,9.5080e-05
8.4560,1.1609e-04,1.6140e-04,9.6467e-05
9.4500,1.1752e-04,1.6350e-04,9.7962e-05
10.4440,1.1903e-04,1.6573e-04,9.9569e-05
11.4390,1.2061e-04,1.6807e-04,1.0129e-04
12.4330,1.2227e-04,1.7056e-04,1.0314e-04
13.4280,1.2402e-04,1.7317e-04,1.0512e-04
14.4220,1.2585e-04,1.7594e-04,1.0725e-04
15.4170,1.2779e-04,1.7883e-04,1.0952e-04
16.4110,1.2983e-04,1.8189e-04,1.1195e-04
17.4060,1.3197e-04,1.8509e-04,1.1455e-04
18.4000,1.3423e-04,1.8848e-04,1.1733e-04
19.3940,1.3659e-04,1.9204e-04,1.2031e-04
20.3890,1.3905e-04,1.9575e-04,1.2348e-04
21.3830,1.4161e-04,1.9967e-04,1.2685e-04
22.3780,1.4426e-04,2.0374e-04,1.3041e-04
23.3720,1.4702e-04,2.0805e-04,1.3423e-04
24.3670,1.4988e-04,2.1252e-04,1.3832e-04
25.3610,1.5283e-04,2.1726e-04,1.4268e-04
26.3560,1.5586e-04,2.2217e-04,1.4729e-04
27.3500,1.5894e-04,2.2736e-04,1.5212e-04
28.3440,1.6203e-04,2.3279e-04,1.5711e-04
29.3390,1.6494e-04,2.3840e-04,1.6223e-04
30.3330,1.6776e-04,2.4431e-04,1.6756e-04
31.3280,1.7068e-04,2.5042e-04,1.7306e-04
32.3220,1.7373e-04,2.5684e-04,1.7873e-04
33.3170,1.7698e-04,2.6348e-04,1.8460e-04
34.3110,1.8051e-04,2.7046e-04,1.9068e-04
35.3060,1.8442e-04,2.7766e-04,1.9696e-04
36.3000,1.8879e-04,2.8524e-04,2.0335e-04
37.2940,1.9342e-04,2.9314e-04,2.0978e-04
38.2890,1.9830e-04,3.0133e-04,2.1631e-04
39.2830,2.0341e-04,3.0999e-04,2.2320e-04
40.2780,2.0871e-04,3.1898e-04,2.3050e-04
41.2720,2.1405e-04,3.2848e-04,2.3815e-04
42.2670,2.1892e-04,3.3831e-04,2.4621e-04
43.2610,2.2186e-04,3.4862e-04,2.5469e-04
44.2560,2.2471e-04,3.5917e-04,2.6353e-04
45.2500,2.2788e-04,3.7019e-04,2.7272e-04
46.2440,2.3184e-04,3.8158e-04,2.8229e-04
47.2390,2.3721e-04,3.9324e-04,2.9217e-04
48.2330,2.4415e-04,4.0533e-04,3.0196e-04
49.2280,2.5220e-04,4.1761e-04,3.1149e-04
50.2220,2.6153e-04,4.3029e-04,3.2080e-04
51.2170,2.7208e-04,4.4304e-04,3.3017e-04
52.2110,2.8316e-04,4.5587e-04,3.3897e-04
53.2060,2.9035e-04,4.6835e-04,3.4782e-04
54.2000,2.9568e-04,4.8068e-04,3.5703e-04
55.1940,3.0118e-04,4.9264e-04,3.6592e-04
56.1890,3.0672e-04,5.0395e-04,3.7473e-04
57.1830,3.1207e-04,5.1456e-04,3.8400e-04
58.1780,3.1713e-04,5.2407e-04,3.9260e-04
59.1720,3.2171e-04,5.3260e-04,3.9791e-04
60.1670,3.2566e-04,5.3991e-04,4.0048e-04
61.1610,3.2863e-04,5.4610e-04,4.0131e-04
62.1560,3.3046e-04,5.5054e-04,4.0095e-04
63.1500,3.3110e-04,5.5334e-04,4.0148e-04
64.1440,3.2931e-04,5.5444e-04,4.0371e-04
65.1390,3.2464e-04,5.5266e-04,4.0473e-04
66.1330,3.1690e-04,5.4760e-04,4.0424e-04
67.1280,3.0575e-04,5.3823e-04,3.9902e-04
68.1220,2.9115e-04,5.2515e-04,3.8920e-04
69.1170,2.7341e-04,5.0847e-04,3.7565e-04
70.1110,2.5311e-04,4.8930e-04,3.5863e-04
71.1060,2.3063e-04,4.6925e-04,3.3205e-04
72.1000,2.1149e-04,4.4993e-04,2.9769e-04
73.0940,1.9077e-04,4.3229e-04,2.3397e-04
74.0890,1.7778e-04,4.2417e-04,1.6179e-04
75.0830,1.5939e-04,4.2696e-04,1.2469e-04
76.0780,1.5856e-04,4.0912e-04,7.9548e-05
77.0720,1.7342e-04,3.9570e-04,8.2105e-05
78.0670,1.7346e-04,3.9012e-04,7.0707e-05
79.0610,1.6111e-04,3.4134e-04,4.6045e-05
80.0560,1.7956e-04,3.6502e-04,4.0129e-05
81.0500,2.0858e-04,2.8146e-04,5.9471e-05
82.0440,2.0047e-04,1.9365e-04,7.9907e-05
83.0390,2.1750e-04,1.1350e-04,5.5868e-05
84.0330,8.5654e-05,6.6170e-05,3.1711e-05
85.0280,2.3525e-05,4.2529e-05,2.6083e-05
86.0220,1.2826e-06,2.7031e-05,1.5982e-05
87.0170,8.6188e-08,1.5129e-05,9.3774e-06
88.0110,3.7534e-15,6.9479e-06,8.4555e-07
89.0060,1.0000e-31,2.9178e-06,9.6169e-08
