# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14e for E = 5000.0 keV, L* = 5.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.8494e-15,4.6719e-09,1.7769e-09
1.4940,5.5332e-15,4.7456e-09,1.8185e-09
2.4890,9.2813e-15,4.8581e-09,1.8900e-09
3.4830,1.6052e-14,5.0134e-09,1.9937e-09
4.4780,2.7654e-14,5.2110e-09,2.1313e-09
5.4720,4.7323e-14,5.4576e-09,2.3068e-09
6.4670,8.0768e-14,5.7524e-09,2.5371e-09
7.4610,1.3818e-13,6.1050e-09,2.8549e-09
8.4560,2.3799e-13,6.5139e-09,3.2055e-09
9.4500,4.1250e-13,6.9919e-09,3.5512e-09
10.4440,7.1839e-13,7.5419e-09,3.9460e-09
11.4390,1.2531e-12,8.1630e-09,4.4024e-09
12.4330,2.1637e-12,8.8717e-09,4.8654e-09
13.4280,3.6300e-12,9.6598e-09,5.2190e-09
14.4220,6.0040e-12,1.0542e-08,5.5319e-09
15.4170,9.8542e-12,1.1495e-08,5.8566e-09
16.4110,1.6193e-11,1.2524e-08,6.0103e-09
17.4060,2.6474e-11,1.3579e-08,5.9603e-09
18.4000,4.2818e-11,1.4626e-08,5.8369e-09
19.3940,6.7338e-11,1.5478e-08,5.8345e-09
20.3890,1.0264e-10,1.6203e-08,5.9095e-09
21.3830,1.5319e-10,1.7231e-08,6.0941e-09
22.3780,2.2442e-10,1.8581e-08,6.5794e-09
23.3720,3.2718e-10,2.0290e-08,7.1798e-09
24.3670,4.7501e-10,2.2474e-08,7.9518e-09
25.3610,6.8543e-10,2.5625e-08,8.6755e-09
26.3560,9.7607e-10,2.9755e-08,9.4626e-09
27.3500,1.3783e-09,3.5130e-08,1.0579e-08
28.3440,1.9117e-09,4.1994e-08,1.2917e-08
29.3390,2.5388e-09,4.9830e-08,1.5372e-08
30.3330,3.4687e-09,5.8603e-08,1.6638e-08
31.3280,4.5016e-09,6.8035e-08,1.7977e-08
32.3220,5.7030e-09,7.7833e-08,1.9878e-08
33.3170,7.2294e-09,8.6774e-08,2.2581e-08
34.3110,8.7089e-09,9.5408e-08,2.5162e-08
35.3060,9.8451e-09,1.0075e-07,2.8369e-08
36.3000,1.1182e-08,1.0676e-07,3.1995e-08
37.2940,1.2416e-08,1.1324e-07,3.7112e-08
38.2890,1.4308e-08,1.2027e-07,4.4390e-08
39.2830,1.7366e-08,1.2931e-07,5.1672e-08
40.2780,2.0110e-08,1.3812e-07,6.0794e-08
41.2720,2.3505e-08,1.4612e-07,7.1458e-08
42.2670,2.6563e-08,1.5410e-07,8.3030e-08
43.2610,3.0369e-08,1.5903e-07,9.3814e-08
44.2560,3.2285e-08,1.6275e-07,1.0296e-07
45.2500,3.3471e-08,1.6608e-07,1.1057e-07
46.2440,3.4917e-08,1.6924e-07,1.1982e-07
47.2390,3.7130e-08,1.7349e-07,1.2954e-07
48.2330,3.9973e-08,1.7734e-07,1.4088e-07
49.2280,4.2864e-08,1.8132e-07,1.5350e-07
50.2220,4.6871e-08,1.8597e-07,1.6973e-07
51.2170,5.1644e-08,1.8927e-07,1.8689e-07
52.2110,5.7011e-08,1.9219e-07,2.0645e-07
53.2060,6.2629e-08,1.9712e-07,2.2872e-07
54.2000,6.9505e-08,2.0187e-07,2.5368e-07
55.1940,7.5720e-08,2.0764e-07,2.8047e-07
56.1890,8.7516e-08,2.1430e-07,3.1590e-07
57.1830,1.0457e-07,2.2247e-07,3.5402e-07
58.1780,1.2781e-07,2.3296e-07,3.9920e-07
59.1720,1.5845e-07,2.4606e-07,4.5192e-07
60.1670,1.9337e-07,2.6177e-07,5.1225e-07
61.1610,2.3422e-07,2.7892e-07,5.8850e-07
62.1560,2.7854e-07,3.0169e-07,6.7251e-07
63.1500,3.2233e-07,3.2751e-07,7.7775e-07
64.1440,3.7679e-07,3.5960e-07,9.0467e-07
65.1390,4.2372e-07,3.9521e-07,1.0575e-06
66.1330,4.5220e-07,4.3345e-07,1.2165e-06
67.1280,4.7544e-07,4.7653e-07,1.4047e-06
68.1220,4.9696e-07,5.2990e-07,1.5915e-06
69.1170,5.1524e-07,5.9434e-07,1.7695e-06
70.1110,5.3421e-07,6.7647e-07,1.9500e-06
71.1060,5.6547e-07,7.7400e-07,2.1182e-06
72.1000,6.0110e-07,8.9059e-07,2.2175e-06
73.0940,6.4302e-07,1.0200e-06,2.4144e-06
74.0890,6.8922e-07,1.1707e-06,2.5273e-06
75.0830,7.6778e-07,1.3133e-06,2.7798e-06
76.0780,8.1877e-07,1.4764e-06,2.9871e-06
77.0720,9.3057e-07,1.6109e-06,3.1960e-06
78.0670,9.8113e-07,1.7785e-06,3.4631e-06
79.0610,1.2361e-06,1.8737e-06,3.6658e-06
80.0560,1.1412e-06,2.0054e-06,4.0000e-06
81.0500,1.4442e-06,2.1157e-06,3.9651e-06
82.0440,1.5088e-06,2.1678e-06,4.3327e-06
83.0390,1.8620e-06,2.3751e-06,4.2918e-06
84.0330,1.8043e-06,2.5267e-06,4.1185e-06
85.0280,2.1688e-06,2.7278e-06,4.0242e-06
86.0220,2.2570e-06,2.8539e-06,3.7835e-06
87.0170,2.1467e-06,3.0410e-06,4.2420e-06
88.0110,2.3681e-06,3.2172e-06,4.2928e-06
89.0060,2.6281e-06,3.2579e-06,3.9479e-06
