# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14f for E = 5000.0 keV, L* = 5.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,8.8256e-16,6.2535e-09,1.7769e-09
1.4940,1.4329e-15,6.3439e-09,1.8185e-09
2.4890,2.9285e-15,6.4777e-09,1.8900e-09
3.4830,6.5779e-15,6.6595e-09,1.9937e-09
4.4780,1.4855e-14,6.8885e-09,2.1313e-09
5.4720,3.2569e-14,7.1721e-09,2.3068e-09
6.4670,6.8813e-14,7.5090e-09,2.5371e-09
7.4610,1.4049e-13,7.9101e-09,2.8549e-09
8.4560,2.7739e-13,8.3738e-09,3.2055e-09
9.4500,5.2990e-13,8.9149e-09,3.5512e-09
10.4440,9.8888e-13,9.5364e-09,3.9460e-09
11.4390,1.8252e-12,1.0237e-08,4.4024e-09
12.4330,3.3320e-12,1.1033e-08,4.8654e-09
13.4280,5.9853e-12,1.1911e-08,5.2190e-09
14.4220,1.0511e-11,1.2885e-08,5.5319e-09
15.4170,1.7990e-11,1.3926e-08,5.8566e-09
16.4110,3.0136e-11,1.5039e-08,6.0103e-09
17.4060,4.8100e-11,1.6182e-08,5.9603e-09
18.4000,7.5011e-11,1.7333e-08,5.8369e-09
19.3940,1.1887e-10,1.8269e-08,5.8345e-09
20.3890,1.8898e-10,1.8941e-08,5.9095e-09
21.3830,2.8314e-10,1.9856e-08,6.0941e-09
22.3780,3.9913e-10,2.1150e-08,6.5794e-09
23.3720,5.7824e-10,2.2859e-08,7.1798e-09
24.3670,8.2183e-10,2.4880e-08,7.9518e-09
25.3610,1.0517e-09,2.7581e-08,8.6755e-09
26.3560,1.3036e-09,3.1077e-08,9.4626e-09
27.3500,1.4382e-09,3.5486e-08,1.0579e-08
28.3440,1.5947e-09,4.1371e-08,1.2917e-08
29.3390,1.8483e-09,4.8752e-08,1.5372e-08
30.3330,2.1739e-09,5.7173e-08,1.6638e-08
31.3280,2.5454e-09,6.6561e-08,1.7977e-08
32.3220,3.1047e-09,7.6097e-08,1.9878e-08
33.3170,3.5722e-09,8.5116e-08,2.2581e-08
34.3110,4.1359e-09,9.3944e-08,2.5162e-08
35.3060,4.5624e-09,1.0093e-07,2.8369e-08
36.3000,4.9688e-09,1.0899e-07,3.1995e-08
37.2940,5.4889e-09,1.1799e-07,3.7112e-08
38.2890,6.2093e-09,1.2762e-07,4.4390e-08
39.2830,7.2649e-09,1.3839e-07,5.1672e-08
40.2780,8.1579e-09,1.4893e-07,6.0794e-08
41.2720,1.0140e-08,1.6093e-07,7.1458e-08
42.2670,1.1943e-08,1.7356e-07,8.3030e-08
43.2610,1.3534e-08,1.8162e-07,9.3814e-08
44.2560,1.4285e-08,1.8496e-07,1.0296e-07
45.2500,1.4955e-08,1.8726e-07,1.1057e-07
46.2440,1.5908e-08,1.8889e-07,1.1982e-07
47.2390,1.7301e-08,1.9110e-07,1.2954e-07
48.2330,1.9578e-08,1.9183e-07,1.4088e-07
49.2280,2.2145e-08,1.9240e-07,1.5350e-07
50.2220,2.5651e-08,1.9358e-07,1.6973e-07
51.2170,2.9204e-08,1.9420e-07,1.8689e-07
52.2110,3.4199e-08,1.9840e-07,2.0645e-07
53.2060,3.8541e-08,1.9931e-07,2.2872e-07
54.2000,4.2029e-08,2.0553e-07,2.5368e-07
55.1940,4.3988e-08,2.1295e-07,2.8047e-07
56.1890,4.6455e-08,2.2023e-07,3.1590e-07
57.1830,5.2214e-08,2.2905e-07,3.5402e-07
58.1780,6.0869e-08,2.3917e-07,3.9920e-07
59.1720,7.2268e-08,2.5303e-07,4.5192e-07
60.1670,9.0021e-08,2.6890e-07,5.1225e-07
61.1610,1.0769e-07,2.8994e-07,5.8850e-07
62.1560,1.3232e-07,3.1455e-07,6.7251e-07
63.1500,1.5996e-07,3.4388e-07,7.7775e-07
64.1440,1.9318e-07,3.8022e-07,9.0467e-07
65.1390,2.2039e-07,4.1870e-07,1.0575e-06
66.1330,2.4125e-07,4.5984e-07,1.2165e-06
67.1280,2.6418e-07,5.0942e-07,1.4047e-06
68.1220,2.9093e-07,5.7011e-07,1.5915e-06
69.1170,3.1707e-07,6.4894e-07,1.7695e-06
70.1110,3.4900e-07,7.4944e-07,1.9500e-06
71.1060,3.8134e-07,8.7520e-07,2.1182e-06
72.1000,4.3705e-07,1.0319e-06,2.2175e-06
73.0940,5.0300e-07,1.2126e-06,2.4144e-06
74.0890,5.9722e-07,1.4334e-06,2.5273e-06
75.0830,7.2100e-07,1.6809e-06,2.7798e-06
76.0780,8.6543e-07,1.9275e-06,2.9871e-06
77.0720,1.0144e-06,2.2020e-06,3.1960e-06
78.0670,1.2135e-06,2.4385e-06,3.4631e-06
79.0610,1.3474e-06,2.6867e-06,3.6658e-06
80.0560,1.5529e-06,2.9169e-06,4.0000e-06
81.0500,1.8802e-06,3.1053e-06,3.9651e-06
82.0440,1.7974e-06,3.4147e-06,4.3327e-06
83.0390,2.1378e-06,3.8327e-06,4.2918e-06
84.0330,2.1988e-06,3.4975e-06,4.1185e-06
85.0280,2.7651e-06,3.9856e-06,4.0242e-06
86.0220,2.6111e-06,4.3251e-06,3.7835e-06
87.0170,2.8799e-06,4.5475e-06,4.2420e-06
88.0110,2.6533e-06,4.8337e-06,4.2928e-06
89.0060,3.3445e-06,4.9842e-06,3.9479e-06
