# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14g for E = 1000.0 keV, L* = 3.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.5288e-09,1.0873e-19,1.7535e-07
1.4940,1.5706e-09,1.0918e-19,1.7697e-07
2.4890,1.6438e-09,1.0967e-19,1.7890e-07
3.4830,1.7498e-09,1.1021e-19,1.8114e-07
4.4780,1.8907e-09,1.1078e-19,1.8369e-07
5.4720,2.0687e-09,1.1139e-19,1.8655e-07
6.4670,2.2868e-09,1.1205e-19,1.8975e-07
7.4610,2.5487e-09,1.1274e-19,1.9332e-07
8.4560,2.8587e-09,1.1347e-19,1.9729e-07
9.4500,3.2223e-09,1.1423e-19,2.0170e-07
10.4440,3.6460e-09,1.1503e-19,2.0666e-07
11.4390,4.1385e-09,1.1585e-19,2.1243e-07
12.4330,4.7111e-09,1.1669e-19,2.1946e-07
13.4280,5.3791e-09,1.1755e-19,2.2825e-07
14.4220,6.1646e-09,1.1843e-19,2.3940e-07
15.4170,7.0998e-09,1.1929e-19,2.5357e-07
16.4110,8.2214e-09,1.2017e-19,2.7055e-07
17.4060,9.4957e-09,1.2104e-19,2.8889e-07
18.4000,1.0926e-08,1.2190e-19,3.0851e-07
19.3940,1.2533e-08,1.2273e-19,3.2994e-07
20.3890,1.4341e-08,1.2352e-19,3.5348e-07
21.3830,1.6386e-08,1.2427e-19,3.8030e-07
22.3780,1.8716e-08,1.2494e-19,4.0959e-07
23.3720,2.1381e-08,1.2552e-19,4.3728e-07
24.3670,2.4373e-08,1.2600e-19,4.6501e-07
25.3610,2.7783e-08,1.2637e-19,4.9448e-07
26.3560,3.1680e-08,1.2662e-19,5.2022e-07
27.3500,3.5972e-08,1.2673e-19,5.3741e-07
28.3440,4.0638e-08,1.2670e-19,5.5214e-07
29.3390,4.5634e-08,1.2651e-19,5.6830e-07
30.3330,5.0810e-08,1.2614e-19,5.7923e-07
31.3280,5.5877e-08,1.2561e-19,5.9131e-07
32.3220,6.0614e-08,1.2495e-19,6.1339e-07
33.3170,6.4934e-08,1.2419e-19,6.3604e-07
34.3110,6.9425e-08,1.2322e-19,6.4986e-07
35.3060,7.4735e-08,1.2213e-19,6.6370e-07
36.3000,8.0832e-08,1.2106e-19,6.7746e-07
37.2940,8.7914e-08,1.2012e-19,7.0160e-07
38.2890,9.6408e-08,1.1936e-19,7.3849e-07
39.2830,1.0869e-07,1.1885e-19,7.7960e-07
40.2780,1.2199e-07,1.1867e-19,8.1791e-07
41.2720,1.3449e-07,1.1892e-19,8.5515e-07
42.2670,1.4381e-07,1.1920e-19,8.8932e-07
43.2610,1.4799e-07,1.1994e-19,9.2222e-07
44.2560,1.4893e-07,1.2115e-19,9.5964e-07
45.2500,1.4987e-07,1.2246e-19,9.9695e-07
46.2440,1.5060e-07,1.2385e-19,1.0260e-06
47.2390,1.5155e-07,1.2533e-19,1.0500e-06
48.2330,1.5472e-07,1.2686e-19,1.0786e-06
49.2280,1.6002e-07,1.2851e-19,1.1082e-06
50.2220,1.5630e-07,1.3034e-19,1.1414e-06
51.2170,1.5488e-07,1.3195e-19,1.1703e-06
52.2110,1.5592e-07,1.3414e-19,1.1955e-06
53.2060,1.5574e-07,1.3580e-19,1.2177e-06
54.2000,1.6134e-07,1.3669e-19,1.2514e-06
55.1940,1.6856e-07,1.3737e-19,1.2954e-06
56.1890,1.7611e-07,1.3791e-19,1.3525e-06
57.1830,1.8604e-07,1.3822e-19,1.4240e-06
58.1780,1.9954e-07,1.3844e-19,1.5029e-06
59.1720,2.1375e-07,1.3868e-19,1.5946e-06
60.1670,2.2536e-07,1.3902e-19,1.7005e-06
61.1610,2.3915e-07,1.3991e-19,1.8090e-06
62.1560,2.4402e-07,1.4217e-19,1.9282e-06
63.1500,2.5287e-07,1.4284e-19,2.0938e-06
64.1440,2.6202e-07,1.4134e-19,2.2877e-06
65.1390,2.7107e-07,1.4286e-19,2.4312e-06
66.1330,2.8536e-07,1.4402e-19,2.4615e-06
67.1280,3.1024e-07,1.4495e-19,2.5491e-06
68.1220,3.2248e-07,1.4569e-19,2.7561e-06
69.1170,3.2447e-07,1.4599e-19,2.9086e-06
70.1110,3.2779e-07,1.4634e-19,3.1099e-06
71.1060,3.4451e-07,1.4846e-19,3.3665e-06
72.1000,3.8810e-07,1.4448e-19,3.5967e-06
73.0940,4.2878e-07,1.4359e-19,3.8977e-06
74.0890,4.8139e-07,1.4685e-19,4.2160e-06
75.0830,5.5912e-07,1.5125e-19,4.5832e-06
76.0780,7.6674e-07,1.5956e-19,4.9935e-06
77.0720,6.3000e-07,1.4930e-19,5.4148e-06
78.0670,4.9376e-07,1.5518e-19,5.9210e-06
79.0610,4.6067e-07,1.9893e-19,6.8920e-06
80.0560,4.6090e-07,1.5716e-19,7.4028e-06
81.0500,4.5848e-07,1.4680e-19,7.7724e-06
82.0440,4.5649e-07,1.4099e-19,7.7142e-06
83.0390,5.6686e-07,1.5374e-19,7.5308e-06
84.0330,6.6147e-07,1.7068e-19,6.1530e-06
85.0280,8.5311e-07,1.9607e-19,5.3187e-06
86.0220,5.9268e-07,2.0861e-19,5.6843e-06
87.0170,6.6707e-07,1.9351e-19,6.5354e-06
88.0110,7.0519e-07,1.5897e-19,1.1154e-05
89.0060,6.7908e-07,1.5098e-19,2.8933e-05
