# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14h for E = 1000.0 keV, L* = 3.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.2542e-10,4.9212e-07,2.9023e-07
1.4940,2.7642e-10,4.9627e-07,2.9285e-07
2.4890,3.7834e-10,5.0087e-07,2.9593e-07
3.4830,5.3361e-10,5.0598e-07,2.9949e-07
4.4780,7.4534e-10,5.1154e-07,3.0356e-07
5.4720,1.0174e-09,5.1763e-07,3.0815e-07
6.4670,1.3543e-09,5.2415e-07,3.1327e-07
7.4610,1.7616e-09,5.3123e-07,3.1893e-07
8.4560,2.2454e-09,5.3872e-07,3.2514e-07
9.4500,2.8127e-09,5.4676e-07,3.3193e-07
10.4440,3.4716e-09,5.5527e-07,3.3932e-07
11.4390,4.2322e-09,5.6415e-07,3.4734e-07
12.4330,5.1059e-09,5.7353e-07,3.5603e-07
13.4280,6.1065e-09,5.8322e-07,3.6540e-07
14.4220,7.2514e-09,5.9332e-07,3.7548e-07
15.4170,8.5645e-09,6.0358e-07,3.8629e-07
16.4110,1.0081e-08,6.1424e-07,3.9789e-07
17.4060,1.1855e-08,6.2505e-07,4.1062e-07
18.4000,1.3977e-08,6.3612e-07,4.2481e-07
19.3940,1.6609e-08,6.4726e-07,4.3990e-07
20.3890,2.0039e-08,6.5827e-07,4.5641e-07
21.3830,2.4251e-08,6.6926e-07,4.7508e-07
22.3780,2.9213e-08,6.7986e-07,4.9515e-07
23.3720,3.5013e-08,6.9010e-07,5.1559e-07
24.3670,4.1799e-08,6.9965e-07,5.3713e-07
25.3610,4.9663e-08,7.0860e-07,5.6052e-07
26.3560,5.8687e-08,7.1662e-07,5.8314e-07
27.3500,6.8914e-08,7.2352e-07,6.0481e-07
28.3440,8.0215e-08,7.2917e-07,6.2727e-07
29.3390,9.2182e-08,7.3333e-07,6.5121e-07
30.3330,1.0404e-07,7.3564e-07,6.7341e-07
31.3280,1.1445e-07,7.3611e-07,6.9806e-07
32.3220,1.2318e-07,7.3501e-07,7.2485e-07
33.3170,1.3169e-07,7.3230e-07,7.5660e-07
34.3110,1.4116e-07,7.2718e-07,7.9198e-07
35.3060,1.5265e-07,7.2081e-07,8.3168e-07
36.3000,1.6830e-07,7.1421e-07,8.7220e-07
37.2940,1.8940e-07,7.0804e-07,9.1452e-07
38.2890,2.1455e-07,7.0280e-07,9.5809e-07
39.2830,2.4286e-07,6.9882e-07,1.0032e-06
40.2780,2.7117e-07,6.9669e-07,1.0528e-06
41.2720,2.9572e-07,6.9675e-07,1.1054e-06
42.2670,3.1489e-07,6.9633e-07,1.1602e-06
43.2610,3.3102e-07,6.9977e-07,1.1956e-06
44.2560,3.4776e-07,7.0704e-07,1.2267e-06
45.2500,3.6725e-07,7.1488e-07,1.2592e-06
46.2440,3.9174e-07,7.2327e-07,1.2955e-06
47.2390,4.2528e-07,7.3189e-07,1.3429e-06
48.2330,4.6216e-07,7.4068e-07,1.3923e-06
49.2280,4.9994e-07,7.5044e-07,1.4408e-06
50.2220,5.3960e-07,7.6170e-07,1.4978e-06
51.2170,5.7019e-07,7.7276e-07,1.5543e-06
52.2110,5.8489e-07,7.8974e-07,1.6143e-06
53.2060,6.2179e-07,8.0080e-07,1.6700e-06
54.2000,6.6678e-07,8.0637e-07,1.7124e-06
55.1940,7.1050e-07,8.1011e-07,1.7623e-06
56.1890,7.5301e-07,8.1334e-07,1.8152e-06
57.1830,7.9353e-07,8.1605e-07,1.8607e-06
58.1780,8.3074e-07,8.1883e-07,1.9154e-06
59.1720,8.5982e-07,8.2117e-07,1.9281e-06
60.1670,8.8887e-07,8.2316e-07,1.9658e-06
61.1610,9.6106e-07,8.2785e-07,1.9535e-06
62.1560,1.0690e-06,8.4087e-07,1.9561e-06
63.1500,1.1831e-06,8.5411e-07,1.9888e-06
64.1440,1.2533e-06,8.4303e-07,2.0535e-06
65.1390,1.3373e-06,8.4700e-07,2.1489e-06
66.1330,1.4074e-06,8.4791e-07,2.2920e-06
67.1280,1.4502e-06,8.4805e-07,2.4367e-06
68.1220,1.4464e-06,8.5016e-07,2.5809e-06
69.1170,1.4121e-06,8.5194e-07,2.7689e-06
70.1110,1.3938e-06,8.5609e-07,3.0249e-06
71.1060,1.4259e-06,8.7462e-07,3.3024e-06
72.1000,1.4785e-06,8.6058e-07,3.6062e-06
73.0940,1.5572e-06,8.5345e-07,3.9907e-06
74.0890,1.8041e-06,8.1590e-07,4.3939e-06
75.0830,2.0037e-06,8.0802e-07,4.8667e-06
76.0780,2.1963e-06,8.3237e-07,5.3544e-06
77.0720,2.3827e-06,7.7976e-07,6.0227e-06
78.0670,2.9187e-06,8.4987e-07,5.3141e-06
79.0610,3.9198e-06,1.2673e-06,5.7135e-06
80.0560,2.6682e-06,1.1402e-06,6.2463e-06
81.0500,2.0923e-06,8.4139e-07,5.8337e-06
82.0440,2.0185e-06,7.7387e-07,6.0642e-06
83.0390,2.0667e-06,8.0540e-07,5.2620e-06
84.0330,1.8365e-06,9.8001e-07,4.8064e-06
85.0280,1.8654e-06,1.3078e-06,3.8645e-06
86.0220,1.9361e-06,1.5842e-06,4.0573e-06
87.0170,2.3247e-06,1.4385e-06,4.4130e-06
88.0110,2.8169e-06,9.6496e-07,4.1044e-06
89.0060,3.2397e-06,8.5657e-07,1.5304e-05
