# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14j for E = 1000.0 keV, L* = 4.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.5341e-09,2.4267e-06,1.8540e-06
1.4940,1.7445e-09,2.4475e-06,1.8683e-06
2.4890,2.1607e-09,2.4709e-06,1.8829e-06
3.4830,2.7932e-09,2.4974e-06,1.8980e-06
4.4780,3.6558e-09,2.5264e-06,1.9136e-06
5.4720,4.7655e-09,2.5586e-06,1.9298e-06
6.4670,6.1431e-09,2.5936e-06,1.9467e-06
7.4610,7.8131e-09,2.6319e-06,1.9642e-06
8.4560,9.8045e-09,2.6731e-06,1.9828e-06
9.4500,1.2154e-08,2.7179e-06,2.0024e-06
10.4440,1.4905e-08,2.7662e-06,2.0236e-06
11.4390,1.8107e-08,2.8177e-06,2.0466e-06
12.4330,2.1824e-08,2.8734e-06,2.0718e-06
13.4280,2.6138e-08,2.9324e-06,2.0992e-06
14.4220,3.1163e-08,2.9960e-06,2.1294e-06
15.4170,3.7064e-08,3.0633e-06,2.1629e-06
16.4110,4.4086e-08,3.1357e-06,2.1996e-06
17.4060,5.2632e-08,3.2118e-06,2.2395e-06
18.4000,6.3394e-08,3.2928e-06,2.2829e-06
19.3940,7.7595e-08,3.3783e-06,2.3297e-06
20.3890,9.5797e-08,3.4681e-06,2.3793e-06
21.3830,1.1737e-07,3.5642e-06,2.4316e-06
22.3780,1.4294e-07,3.6635e-06,2.4875e-06
23.3720,1.7181e-07,3.7669e-06,2.5476e-06
24.3670,2.0423e-07,3.8721e-06,2.6132e-06
25.3610,2.4056e-07,3.9798e-06,2.6901e-06
26.3560,2.8100e-07,4.0868e-06,2.7745e-06
27.3500,3.2545e-07,4.1919e-06,2.8670e-06
28.3440,3.7330e-07,4.2909e-06,2.9610e-06
29.3390,4.2377e-07,4.3831e-06,3.0547e-06
30.3330,4.7544e-07,4.4694e-06,3.1450e-06
31.3280,5.2439e-07,4.5461e-06,3.2299e-06
32.3220,5.6958e-07,4.6130e-06,3.3000e-06
33.3170,6.0435e-07,4.6728e-06,3.3668e-06
34.3110,6.3210e-07,4.7310e-06,3.4343e-06
35.3060,6.6840e-07,4.7848e-06,3.5065e-06
36.3000,7.2993e-07,4.8482e-06,3.5901e-06
37.2940,8.1314e-07,4.9190e-06,3.6734e-06
38.2890,9.0921e-07,4.9973e-06,3.7447e-06
39.2830,1.0151e-06,5.0866e-06,3.8074e-06
40.2780,1.1178e-06,5.1888e-06,3.8756e-06
41.2720,1.2138e-06,5.3112e-06,3.9605e-06
42.2670,1.2974e-06,5.4478e-06,4.0638e-06
43.2610,1.3760e-06,5.5960e-06,4.1645e-06
44.2560,1.4627e-06,5.7576e-06,4.2668e-06
45.2500,1.5662e-06,5.9176e-06,4.3749e-06
46.2440,1.6891e-06,6.0768e-06,4.4934e-06
47.2390,1.8318e-06,6.2424e-06,4.6346e-06
48.2330,1.9922e-06,6.4126e-06,4.7740e-06
49.2280,2.1839e-06,6.5802e-06,4.9714e-06
50.2220,2.4218e-06,6.7541e-06,5.2400e-06
51.2170,2.6451e-06,6.9408e-06,5.5790e-06
52.2110,2.8451e-06,7.1362e-06,6.0162e-06
53.2060,3.0581e-06,7.3279e-06,6.5655e-06
54.2000,3.2999e-06,7.5064e-06,7.1716e-06
55.1940,3.5664e-06,7.7025e-06,7.8489e-06
56.1890,3.8681e-06,7.9181e-06,8.6146e-06
57.1830,4.2290e-06,8.1748e-06,9.4782e-06
58.1780,4.6471e-06,8.4850e-06,1.0441e-05
59.1720,5.0514e-06,8.8615e-06,1.1439e-05
60.1670,5.3991e-06,9.2877e-06,1.2467e-05
61.1610,5.7532e-06,9.7586e-06,1.3530e-05
62.1560,6.1436e-06,1.0269e-05,1.5108e-05
63.1500,6.4911e-06,1.0851e-05,1.7166e-05
64.1440,6.9727e-06,1.1596e-05,1.9090e-05
65.1390,7.3612e-06,1.2203e-05,2.0901e-05
66.1330,7.5838e-06,1.2774e-05,2.2401e-05
67.1280,7.6992e-06,1.3348e-05,2.4140e-05
68.1220,7.6057e-06,1.3939e-05,2.4986e-05
69.1170,7.3152e-06,1.4573e-05,2.6548e-05
70.1110,7.2774e-06,1.5309e-05,2.8133e-05
71.1060,7.5826e-06,1.6142e-05,2.9904e-05
72.1000,8.2184e-06,1.7007e-05,3.2122e-05
73.0940,8.7949e-06,1.7747e-05,3.4514e-05
74.0890,9.1977e-06,1.8280e-05,3.8346e-05
75.0830,9.0462e-06,1.8460e-05,4.2769e-05
76.0780,8.0365e-06,1.8189e-05,4.8174e-05
77.0720,7.9636e-06,1.7741e-05,5.1893e-05
78.0670,7.8680e-06,1.7523e-05,5.1683e-05
79.0610,7.6490e-06,1.8348e-05,5.0832e-05
80.0560,7.7052e-06,2.0302e-05,5.4805e-05
81.0500,8.1328e-06,2.5025e-05,6.3421e-05
82.0440,1.0555e-05,3.1139e-05,6.6551e-05
83.0390,9.9959e-06,2.6010e-05,6.4321e-05
84.0330,8.1249e-06,1.9879e-05,6.5197e-05
85.0280,1.1401e-05,1.8717e-05,7.2804e-05
86.0220,1.0372e-05,2.0853e-05,9.1553e-05
87.0170,6.5080e-06,2.2806e-05,1.0311e-04
88.0110,7.9489e-06,2.1957e-05,5.0237e-05
89.0060,9.9384e-06,2.2151e-05,2.9767e-05
